dt,vram,m,n,k,tile_m,tile_n,tile_k,ms
bf16,2.97,16729,13277,21606,8951,2,15657,27163.105
bf16,2.56,9445,3845,2725,4347,26,770,268.135
f64,1.83,1585,2116,2768,1544,2,1023,48.103
f64,1.08,4937,2437,3121,1519,2,2351,212.757
f64,5.59,9531,11694,1141,5110,6,737,917.530
f64,4.46,7632,62,2884,5871,12,624,65.835
f32,4.41,11992,2064,16350,8964,4,3878,3390.980
f16,1.37,13944,6313,3956,2001,10,1803,873.363
bf16,0.49,8120,492,3093,5869,16,1235,54.913
bf16,0.87,3207,3342,706,1395,114,202,57.272
f16,0.42,2055,8326,849,1666,22,640,27.570
f32,0.97,6960,945,5498,6658,2,3968,177.502
f16,5.01,19370,28621,9512,12468,6,1502,12976.984
f16,1.40,9382,13406,4433,3954,16,1887,1574.354
f32,4.35,5130,17328,15458,5130,2,5070,8398.835
f16,0.45,4817,4570,5982,2995,20,1513,388.952
bf16,0.32,5440,2067,6927,3106,2,2057,143.513
f32,0.81,4672,1792,5452,3256,2,4797,282.796
f64,2.57,8806,4175,5041,5819,2,3776,1833.492
bf16,1.96,6802,10084,7618,4404,2,1740,1160.312
f32,3.40,3939,4199,12174,3939,2,4521,1217.532
f16,0.27,2050,437,4188,1540,26,495,25.746
f32,1.57,520,9931,8275,520,4,4022,294.578
f64,0.29,2922,1631,2176,2922,2,2176,73.208
f32,2.79,10882,3986,8628,5162,6,2472,2590.118
f64,1.18,646,2311,4160,210,2,1592,29.717
f32,0.72,308,4681,7697,308,4,3808,51.273
f16,0.24,4419,4092,1715,833,76,424,100.716
f32,0.18,2104,262,2396,2104,6,2396,6.388
f32,1.33,3734,3604,1397,3515,2,966,38.904
f32,6.26,16461,10890,21374,9811,2,2066,17235.072
f64,7.27,6090,2910,15674,774,2,3622,2751.118
f64,2.99,10610,7703,4614,6072,2,3693,3749.054
f16,4.61,18989,8724,24091,11585,2,6861,17621.209
f16,4.21,3551,2704,137,2476,82,129,12.686
f16,4.26,16939,13802,15054,13270,10,2902,14134.598
f32,4.83,11810,10672,2114,11792,22,644,1380.734
f32,5.27,121,6176,2147,87,10,1401,5.854
f32,4.88,10063,7552,6952,4079,2,3313,2423.130
f16,0.74,10324,10754,9604,4147,2,8787,3662.391
bf16,0.10,3886,558,1099,3886,2,1099,5.782
f64,4.54,3612,3694,11129,3403,10,595,1195.280
f64,0.70,2486,3830,935,1,2,1,36543.039
bf16,3.03,10066,13691,13194,1806,2,8157,5392.243
f64,4.78,8306,11879,5987,7339,2,3338,5717.609
f64,0.56,331,2819,3774,117,2,3156,29.355
bf16,6.23,32560,29559,2843,15469,22,741,7046.673
f64,1.50,3373,1250,3826,1255,2,3088,164.644
f32,4.03,13661,13779,5038,12887,2,4572,5632.538
f32,3.03,12216,4112,8101,2769,2,6639,3635.042
bf16,3.11,16673,11218,19423,10365,6,3220,13325.514
f32,0.89,961,5629,5325,961,2,4401,124.431
bf16,0.23,3543,1608,915,1091,22,805,14.088
f64,2.99,11040,9551,11040,5425,6,1099,9570.637
f64,1.47,3650,1362,5896,1987,18,241,277.055
bf16,1.63,9752,4048,8575,5379,56,258,1436.237
f32,0.69,4952,7314,7836,2475,2,435,779.423
f16,4.81,17023,10959,13891,13875,4,3252,9952.975
f32,1.21,560,8750,8400,87,2,2285,88.775
f32,1.97,3083,9020,11387,1429,4,1673,1279.615
f16,0.43,8409,3459,5587,1246,8,2630,420.644
f64,1.97,3306,7170,593,3306,2,34,527.335
f32,1.91,6083,7317,4430,646,12,219,501.547
bf16,0.64,2607,2934,1608,152,8,151,34.194
f16,0.48,2122,8471,4727,1327,22,1191,234.167
bf16,3.14,16002,13709,4676,7132,2,20,17589.195
f32,2.95,1604,9310,11938,1604,8,1758,1097.461
f64,3.43,4165,6514,3535,2982,10,449,661.790
f16,3.51,2512,21601,8510,1180,2,5087,900.112
f16,0.44,2615,7682,2780,67,8,200,139.992
f16,3.99,7335,6474,12064,85,50,138,1791.012
f16,2.71,11169,9492,21026,5075,20,418,4894.386
f32,4.71,4355,3868,14433,1921,2,2729,883.190
bf16,0.87,621,34,6193,621,2,2626,1.806
bf16,4.25,25286,9463,26428,678,2,16384,28047.544
f32,5.60,8562,6238,15424,3256,14,442,2560.586
bf16,0.90,3802,873,8415,2315,2,7666,78.524
f64,4.93,3989,8304,5379,1698,6,1334,1413.809
bf16,4.94,5528,11086,22253,19,142,3,143092.026
f64,0.49,436,2053,4569,1,466,1,25466.329
f32,2.79,6282,9469,15137,1117,2,2749,3412.624
