dt	VRAMGB	m	n	k	tile_m	tile_n	tile_k	ms
bf16	3.47	2245	2209	129	1312	66	77	10.550
f16	3.47	2245	2209	129	1312	66	77	9.043
f32	3.47	2245	2209	129	1312	66	77	9.195
f64	3.47	2245	2209	129	1312	66	77	20.857
bf16	5.07	391	5532	4619	361	2	2830	16.822
f16	5.07	391	5532	4619	361	2	2830	15.722
f32	5.07	391	5532	4619	361	2	2830	31.805
f64	5.07	391	5532	4619	361	2	2830	83.811
bf16	0.32	3577	748	2055	2186	4	899	10.026
f16	0.32	3577	748	2055	2186	4	899	8.799
f32	0.32	3577	748	2055	2186	4	899	11.704
f64	0.32	3577	748	2055	2186	4	899	34.811
bf16	2.21	3240	735	4195	3059	2	2871	15.661
f16	2.21	3240	735	4195	3059	2	2871	13.655
f32	2.21	3240	735	4195	3059	2	2871	32.629
f64	2.21	3240	735	4195	3059	2	2871	77.444
bf16	5.20	5840	6361	269	2936	26	144	31.441
f16	5.20	5840	6361	269	2936	26	144	29.432
f32	5.20	5840	6361	269	2936	26	144	31.220
f64	5.20	5840	6361	269	2936	26	144	111.103
bf16	7.39	4754	3823	550	4521	70	49	160.039
f16	7.39	4754	3823	550	4521	70	49	156.370
f32	7.39	4754	3823	550	4521	70	49	159.429
f64	7.39	4754	3823	550	4521	70	49	352.343
bf16	7.91	2136	5199	900	1428	8	828	16.897
f16	7.91	2136	5199	900	1428	8	828	15.004
f32	7.91	2136	5199	900	1428	8	828	26.148
f64	7.91	2136	5199	900	1428	8	828	78.363
bf16	6.24	1076	2386	3892	218	6	279	22.585
f16	6.24	1076	2386	3892	218	6	279	20.436
f32	6.24	1076	2386	3892	218	6	279	23.706
f64	6.24	1076	2386	3892	218	6	279	75.014
bf16	2.26	878	3358	3390	63	2	3301	14.253
f16	2.26	878	3358	3390	63	2	3301	12.612
f32	2.26	878	3358	3390	63	2	3301	34.643
f64	2.26	878	3358	3390	63	2	3301	73.956
bf16	3.86	2029	1987	2478	898	6	870	16.750
f16	3.86	2029	1987	2478	898	6	870	14.665
f32	3.86	2029	1987	2478	898	6	870	23.688
f64	3.86	2029	1987	2478	898	6	870	63.163
f64	5.25	2095	2287	2086	105	62	131	142.114
f64	5.25	2095	2287	2086	2049	36	147	152.558
bf16	4.16	1614	3895	1589	693	44	11	466.292
bf16	4.16	1614	3895	1589	413	8	711	17.909
f64	8.41	3812	1845	1421	102	112	73	254.485
f64	8.41	3812	1845	1421	1884	24	234	116.740
f64	2.51	2014	4064	1221	499	36	37	360.385
f64	2.51	2014	4064	1221	284	6	459	65.136
f32	6.70	2675	1279	2921	413	714	7	23163.544
f32	6.70	2675	1279	2921	1267	6	1142	24.738
f32	5.26	666	1664	1556	666	188	31	217.968
f32	5.26	666	1664	1556	206	8	833	3.871
f32	3.92	4633	2420	153	64	354	2	544.493
f32	3.92	4633	2420	153	1311	4	86	6.301
bf16	3.62	1334	1072	1205	1334	4	245	5.788
bf16	3.62	1334	1072	1205	996	4	301	5.458
f64	8.00	3137	254	2158	181	162	50	510.577
f64	8.00	3137	254	2158	3079	4	1949	20.272
bf16	0.85	1514	672	1693	1514	8	291	7.503
bf16	0.85	1514	672	1693	771	8	392	6.249
f16	5.04	419	5668	725	419	30	262	4.527
f16	5.04	419	5668	725	330	58	125	8.590
f16	3.72	500	1102	3128	287	54	58	57.498
f16	3.72	500	1102	3128	79	2	2246	2.508
f32	6.24	1258	2178	629	649	172	42	115.015
f32	6.24	1258	2178	629	1195	102	62	50.409
f32	2.10	1075	1127	1422	1075	160	51	173.649
f32	2.10	1075	1127	1422	94	6	1202	4.641
f16	5.58	1443	840	1423	1443	160	51	222.293
f16	5.58	1443	840	1423	1243	16	190	9.467
f32	3.84	1309	1018	1294	1115	190	43	271.733
f32	3.84	1309	1018	1294	146	12	424	5.544
