dt_bf16,dt_f16,dt_f32,dt_f64,vram,m,n,k,tile_m,tile_n,tile_k
1,0,0,0,3.4700,11.132500,11.109178,7.011227,10.357552,6.044394,6.266787
0,1,0,0,3.4700,11.132500,11.109178,7.011227,10.357552,6.044394,6.266787
0,0,1,0,3.4700,11.132500,11.109178,7.011227,10.357552,6.044394,6.266787
0,0,0,1,3.4700,11.132500,11.109178,7.011227,10.357552,6.044394,6.266787
1,0,0,0,5.0700,8.611025,12.433585,12.173365,8.495855,1.000000,11.466586
0,1,0,0,5.0700,8.611025,12.433585,12.173365,8.495855,1.000000,11.466586
0,0,1,0,5.0700,8.611025,12.433585,12.173365,8.495855,1.000000,11.466586
0,0,0,1,5.0700,8.611025,12.433585,12.173365,8.495855,1.000000,11.466586
1,0,0,0,0.3200,11.804534,9.546894,11.004923,11.094078,2.000000,9.812177
0,1,0,0,0.3200,11.804534,9.546894,11.004923,11.094078,2.000000,9.812177
0,0,1,0,0.3200,11.804534,9.546894,11.004923,11.094078,2.000000,9.812177
0,0,0,1,0.3200,11.804534,9.546894,11.004923,11.094078,2.000000,9.812177
1,0,0,0,2.2100,11.661778,9.521600,12.034455,11.578844,1.000000,11.487338
0,1,0,0,2.2100,11.661778,9.521600,12.034455,11.578844,1.000000,11.487338
0,0,1,0,2.2100,11.661778,9.521600,12.034455,11.578844,1.000000,11.487338
0,0,0,1,2.2100,11.661778,9.521600,12.034455,11.578844,1.000000,11.487338
1,0,0,0,5.2000,12.511753,12.635038,8.071462,11.519636,4.700440,7.169925
0,1,0,0,5.2000,12.511753,12.635038,8.071462,11.519636,4.700440,7.169925
0,0,1,0,5.2000,12.511753,12.635038,8.071462,11.519636,4.700440,7.169925
0,0,0,1,5.2000,12.511753,12.635038,8.071462,11.519636,4.700440,7.169925
1,0,0,0,7.3900,12.214926,11.900489,9.103288,12.142426,6.129283,5.614710
0,1,0,0,7.3900,12.214926,11.900489,9.103288,12.142426,6.129283,5.614710
0,0,1,0,7.3900,12.214926,11.900489,9.103288,12.142426,6.129283,5.614710
0,0,0,1,7.3900,12.214926,11.900489,9.103288,12.142426,6.129283,5.614710
1,0,0,0,7.9100,11.060696,12.344018,9.813781,10.479780,3.000000,9.693487
0,1,0,0,7.9100,11.060696,12.344018,9.813781,10.479780,3.000000,9.693487
0,0,1,0,7.9100,11.060696,12.344018,9.813781,10.479780,3.000000,9.693487
0,0,0,1,7.9100,11.060696,12.344018,9.813781,10.479780,3.000000,9.693487
1,0,0,0,6.2400,10.071462,11.220378,11.926296,7.768184,2.584963,8.124121
0,1,0,0,6.2400,10.071462,11.220378,11.926296,7.768184,2.584963,8.124121
0,0,1,0,6.2400,10.071462,11.220378,11.926296,7.768184,2.584963,8.124121
0,0,0,1,6.2400,10.071462,11.220378,11.926296,7.768184,2.584963,8.124121
1,0,0,0,2.2600,9.778077,11.713387,11.727070,5.977280,1.000000,11.688687
0,1,0,0,2.2600,9.778077,11.713387,11.727070,5.977280,1.000000,11.688687
0,0,1,0,2.2600,9.778077,11.713387,11.727070,5.977280,1.000000,11.688687
0,0,0,1,2.2600,9.778077,11.713387,11.727070,5.977280,1.000000,11.688687
1,0,0,0,3.8600,10.986553,10.956376,11.274960,9.810572,2.584963,9.764872
0,1,0,0,3.8600,10.986553,10.956376,11.274960,9.810572,2.584963,9.764872
0,0,1,0,3.8600,10.986553,10.956376,11.274960,9.810572,2.584963,9.764872
0,0,0,1,3.8600,10.986553,10.956376,11.274960,9.810572,2.584963,9.764872
0,0,0,1,5.2500,11.032735,11.159241,11.026523,6.714246,5.954196,7.033423
0,0,0,1,5.2500,11.032735,11.159241,11.026523,11.000704,5.169925,7.199672
1,0,0,0,4.1600,10.656425,11.927408,10.633903,9.436712,5.459432,3.459432
1,0,0,0,4.1600,10.656425,11.927408,10.633903,8.689998,3.000000,9.473706
0,0,0,1,8.4100,11.896332,10.849405,10.472691,6.672425,6.807355,6.189825
0,0,0,1,8.4100,11.896332,10.849405,10.472691,10.879583,4.584963,7.870365
0,0,0,1,2.5100,10.975848,11.988685,10.253847,8.962896,5.169925,5.209453
0,0,0,1,2.5100,10.975848,11.988685,10.253847,8.149747,2.584963,8.842350
0,0,1,0,6.7000,11.385323,10.320801,11.512247,8.689998,9.479780,2.807355
0,0,1,0,6.7000,11.385323,10.320801,11.512247,10.307201,2.584963,10.157347
0,0,1,0,5.2600,9.379378,10.700440,10.603626,9.379378,7.554589,4.954196
0,0,1,0,5.2600,9.379378,10.700440,10.603626,7.686501,3.000000,9.702173
0,0,1,0,3.9200,12.177731,11.240791,7.257388,6.000000,8.467606,1.000000
0,0,1,0,3.9200,12.177731,11.240791,7.257388,10.356452,2.000000,6.426265
1,0,0,0,3.6200,10.381543,10.066089,10.234817,10.381543,2.000000,7.936638
1,0,0,0,3.6200,10.381543,10.066089,10.234817,9.960002,2.000000,8.233620
0,0,0,1,8.0000,11.615170,7.988685,11.075479,7.499846,7.339850,5.643856
0,0,0,1,8.0000,11.615170,7.988685,11.075479,11.588246,2.000000,10.928518
1,0,0,0,0.8500,10.564149,9.392317,10.725366,10.564149,3.000000,8.184875
1,0,0,0,0.8500,10.564149,9.392317,10.725366,9.590587,3.000000,8.614710
0,1,0,0,5.0400,8.710806,12.468624,9.501837,8.710806,4.906891,8.033423
0,1,0,0,5.0400,8.710806,12.468624,9.501837,8.366322,5.857981,6.965784
0,1,0,0,3.7200,8.965784,10.105909,11.611025,8.164907,5.754888,5.857981
0,1,0,0,3.7200,8.965784,10.105909,11.611025,6.303781,1.000000,11.133142
0,0,1,0,6.2400,10.296916,11.088788,9.296916,9.342075,7.426265,5.392317
0,0,1,0,6.2400,10.296916,11.088788,9.296916,10.222795,6.672425,5.954196
0,0,1,0,2.1000,10.070121,10.138272,10.473706,10.070121,7.321928,5.672425
0,0,1,0,2.1000,10.070121,10.138272,10.473706,6.554589,2.584963,10.231221
0,1,0,0,5.5800,10.494856,9.714246,10.474720,10.494856,7.321928,5.672425
0,1,0,0,5.5800,10.494856,9.714246,10.474720,10.279611,4.000000,7.569856
0,0,1,0,3.8400,10.354249,9.991522,10.337622,10.122828,7.569856,5.426265
0,0,1,0,3.8400,10.354249,9.991522,10.337622,7.189825,3.584963,8.727920
1,0,0,0,8.7300,11.014718,9.164907,10.502832,11.014718,1.000000,9.605480
1,0,0,0,8.7300,11.014718,9.164907,10.502832,9.746514,2.000000,10.448116
0,0,0,1,7.0500,11.416798,10.019591,9.245553,8.625709,4.000000,8.927778
0,0,0,1,7.0500,11.416798,10.019591,9.245553,9.674192,3.807355,8.988685
0,0,1,0,6.2600,4.169925,13.110810,11.988330,4.169925,1.000000,10.145932
0,0,1,0,6.2600,4.169925,13.110810,11.988330,3.459432,1.000000,10.628446
1,0,0,0,4.5300,10.806550,8.951285,10.924070,10.806550,1.000000,9.876517
1,0,0,0,4.5300,10.806550,8.951285,10.924070,9.092757,2.584963,9.611025
0,0,0,1,6.1000,9.865733,10.323055,10.494856,8.754888,3.807355,9.157347
0,0,0,1,6.1000,9.865733,10.323055,10.494856,6.247928,1.000000,10.009829
0,0,0,1,4.3000,9.887221,10.841564,9.952741,9.430453,3.807355,9.087463
0,0,0,1,4.3000,9.887221,10.841564,9.952741,8.370687,4.459432,7.988685
0,1,0,0,0.1100,10.394463,10.264443,10.023754,6.000000,6.832890,5.700440
0,1,0,0,0.1100,10.394463,10.264443,10.023754,9.285402,3.000000,9.980140
0,1,0,0,4.4500,10.063395,7.800900,12.813380,7.357552,4.700440,8.247928
0,1,0,0,4.4500,10.063395,7.800900,12.813380,6.954196,1.000000,11.320801
0,0,1,0,6.7700,10.333155,10.376125,9.972980,9.350939,6.321928,6.108524
0,0,1,0,6.7700,10.333155,10.376125,9.972980,8.071462,3.000000,9.204571
0,0,1,0,6.4400,10.324181,10.105909,10.252665,9.784635,6.392317,6.228819
0,0,1,0,6.4400,10.324181,10.105909,10.252665,8.519636,2.584963,9.970106
0,1,0,0,2.2800,11.950556,6.965784,11.758640,6.108524,5.807355,7.149747
0,1,0,0,2.2800,11.950556,6.965784,11.758640,9.481799,2.000000,8.113742
0,0,0,1,0.2600,11.034111,8.499846,8.409391,7.451211,6.857981,6.129283
0,0,0,1,0.2600,11.034111,8.499846,8.409391,9.952741,3.321928,8.271463
0,1,0,0,0.1700,9.432542,9.548822,11.319672,9.296916,4.169925,7.741467
0,1,0,0,0.1700,9.432542,9.548822,11.319672,8.957102,1.000000,11.078818
0,0,1,0,4.8600,10.301496,10.272630,10.108524,9.618386,6.523562,6.475733
0,0,1,0,4.8600,10.301496,10.272630,10.108524,10.263269,1.000000,8.016808
0,0,1,0,0.3800,11.183635,8.044394,11.451211,10.848623,6.321928,6.672425
0,0,1,0,0.3800,11.183635,8.044394,11.451211,6.129283,1.000000,10.992938
