input_a,input_b,target
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
blue,green,1
green,yellow,2
yellow,orange,0
orange,purple,1
purple,red,2
red,blue,0
