material,finish,region,target
iron,satin,east,1
steel,satin,south,1
glass,gloss,north,1
copper,satin,south,1
copper,satin,north,1
iron,matte,north,1
copper,matte,north,1
copper,satin,north,1
copper,satin,north,1
steel,matte,east,1
brass,matte,south,1
glass,gloss,west,1
pine,gloss,east,1
cedar,gloss,west,1
pine,gloss,north,1
iron,satin,west,1
cedar,gloss,east,1
steel,matte,south,1
cedar,gloss,west,1
steel,satin,west,1
copper,matte,east,1
pine,gloss,east,1
pine,gloss,west,1
brass,matte,north,1
steel,satin,north,1
steel,matte,east,1
cedar,gloss,north,1
brass,matte,west,1
pine,gloss,east,1
pine,gloss,south,1
steel,satin,north,1
oak,gloss,east,1
brass,satin,west,1
oak,gloss,south,1
pine,gloss,south,1
glass,gloss,east,1
copper,satin,south,1
iron,satin,north,1
copper,matte,north,1
iron,matte,north,1
oak,gloss,north,1
iron,matte,north,1
glass,gloss,west,1
iron,matte,west,1
cedar,gloss,west,1
copper,satin,north,1
pine,gloss,west,1
copper,satin,north,1
glass,gloss,east,1
glass,gloss,east,1
brass,satin,north,1
brass,satin,north,1
copper,satin,north,1
pine,gloss,east,1
brass,satin,west,1
oak,gloss,east,1
pine,gloss,west,1
copper,matte,west,1
iron,matte,south,1
iron,satin,south,1
glass,gloss,east,1
glass,gloss,west,1
steel,satin,south,1
cedar,gloss,west,1
glass,gloss,east,1
brass,matte,north,1
oak,gloss,east,1
copper,satin,west,1
glass,gloss,east,1
brass,satin,east,1
cedar,gloss,west,1
copper,satin,east,1
cedar,gloss,north,1
pine,gloss,west,1
brass,matte,north,1
copper,satin,north,1
oak,gloss,east,1
brass,matte,south,1
copper,satin,south,1
steel,satin,south,1
iron,satin,south,1
iron,satin,south,1
cedar,gloss,north,1
steel,matte,east,1
oak,gloss,north,1
copper,satin,south,1
oak,gloss,south,1
copper,satin,west,1
iron,matte,west,1
iron,matte,south,1
copper,matte,north,1
pine,gloss,north,1
brass,matte,south,1
brass,matte,south,1
brass,satin,north,1
steel,satin,north,1
copper,satin,west,1
oak,gloss,south,1
steel,satin,west,1
brass,satin,south,1
steel,matte,east,1
brass,matte,west,1
iron,satin,south,1
iron,satin,south,1
glass,gloss,west,1
steel,matte,east,1
brass,matte,north,1
copper,satin,west,1
brass,satin,north,1
oak,gloss,west,1
oak,gloss,north,1
steel,matte,east,1
iron,matte,north,1
steel,matte,north,1
glass,gloss,east,1
steel,matte,east,1
steel,satin,north,1
oak,gloss,west,1
steel,satin,east,1
copper,satin,west,1
oak,gloss,west,1
iron,satin,east,1
steel,satin,east,1
brass,satin,west,1
cedar,gloss,north,1
steel,matte,east,1
cedar,gloss,east,1
iron,matte,east,1
oak,gloss,east,1
copper,matte,south,1
copper,matte,east,1
iron,satin,west,1
oak,gloss,east,1
steel,matte,south,1
glass,gloss,west,1
iron,matte,west,1
steel,matte,south,1
steel,satin,north,1
copper,satin,east,1
steel,satin,east,1
brass,matte,west,1
cedar,gloss,south,1
iron,matte,south,1
steel,satin,west,1
iron,matte,west,1
steel,matte,east,1
iron,satin,east,1
steel,satin,south,1
iron,satin,north,1
pine,gloss,south,1
copper,matte,south,1
cedar,gloss,south,1
cedar,gloss,south,1
brass,satin,south,1
iron,matte,east,1
pine,gloss,north,1
copper,matte,east,1
oak,gloss,south,1
pine,gloss,north,1
copper,satin,north,1
iron,satin,east,1
cedar,gloss,east,1
copper,matte,east,1
pine,gloss,east,1
glass,gloss,west,1
iron,satin,west,1
brass,satin,east,1
steel,satin,south,1
iron,matte,north,1
oak,gloss,west,1
copper,matte,south,1
iron,satin,south,1
oak,gloss,west,1
copper,satin,north,1
iron,matte,south,1
steel,matte,east,1
pine,gloss,south,1
brass,matte,north,1
iron,satin,north,1
steel,satin,west,1
cedar,gloss,east,1
brass,satin,east,1
copper,satin,west,1
brass,matte,west,1
glass,gloss,north,1
oak,gloss,west,1
steel,satin,west,1
steel,matte,north,1
steel,matte,north,1
cedar,gloss,north,1
oak,gloss,north,1
iron,satin,east,1
steel,matte,east,1
steel,satin,north,1
brass,matte,west,1
pine,gloss,south,1
steel,satin,west,1
copper,matte,north,1
copper,matte,west,1
copper,satin,south,1
iron,matte,east,1
oak,gloss,north,1
iron,matte,west,1
cedar,gloss,east,1
iron,satin,north,1
steel,matte,south,1
copper,matte,north,1
cedar,gloss,east,1
brass,matte,west,1
glass,gloss,south,1
steel,matte,north,1
copper,satin,west,1
copper,satin,north,1
iron,satin,east,1
glass,gloss,east,1
iron,satin,west,1
steel,matte,west,1
iron,satin,north,1
brass,satin,east,1
iron,matte,west,1
iron,satin,west,1
brass,matte,east,1
steel,satin,west,1
iron,satin,south,1
brass,matte,east,1
iron,matte,east,1
pine,gloss,east,1
cedar,gloss,south,1
steel,matte,north,1
steel,matte,east,1
iron,matte,north,1
copper,satin,north,1
brass,satin,east,1
brass,satin,east,1
iron,matte,south,1
iron,satin,north,1
pine,gloss,west,1
oak,gloss,east,1
brass,satin,east,1
iron,matte,north,1
copper,matte,north,1
glass,gloss,west,1
brass,matte,west,1
cedar,gloss,north,1
iron,satin,west,1
pine,gloss,north,1
copper,satin,west,1
brass,satin,east,1
iron,satin,east,1
oak,gloss,south,1
glass,gloss,west,1
steel,satin,north,1
brass,matte,east,1
iron,satin,west,1
cedar,gloss,east,1
brass,satin,east,1
steel,matte,east,1
brass,matte,east,1
brass,matte,south,1
iron,matte,south,1
cedar,gloss,north,1
pine,gloss,west,1
oak,gloss,north,1
cedar,gloss,east,1
copper,satin,east,1
