input_a,input_b,target_a,target_b
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
green,yellow,2,0
yellow,orange,0,1
orange,purple,1,2
purple,red,2,0
red,blue,0,1
blue,green,1,2
