material,finish,region,target,defect_flag
steel,satin,west,1,0
copper,satin,west,1,0
steel,satin,south,1,0
iron,matte,south,1,0
glass,gloss,south,1,0
copper,matte,east,1,1
brass,satin,north,1,1
iron,matte,east,1,1
iron,matte,east,1,1
iron,satin,south,1,0
brass,matte,east,1,1
brass,satin,east,1,
cedar,gloss,east,1,1
copper,satin,east,1,1
cedar,gloss,east,1,1
glass,gloss,south,1,0
steel,satin,east,1,
pine,gloss,east,1,1
iron,matte,east,1,1
cedar,gloss,west,1,0
steel,satin,west,1,0
oak,gloss,south,1,0
steel,matte,east,1,1
iron,satin,west,1,0
glass,gloss,east,1,1
glass,gloss,south,1,0
brass,satin,west,1,0
copper,matte,north,1,1
iron,matte,south,1,
iron,matte,north,1,1
copper,matte,south,1,0
copper,matte,east,1,1
pine,gloss,south,1,
iron,matte,west,1,0
oak,gloss,south,1,0
glass,gloss,east,1,1
brass,matte,south,1,0
glass,gloss,east,1,1
cedar,gloss,east,1,
brass,satin,west,1,0
steel,matte,north,1,1
copper,satin,west,1,0
glass,gloss,west,1,0
steel,matte,east,1,1
copper,matte,west,1,
steel,matte,south,1,0
brass,matte,north,1,1
iron,satin,south,1,0
copper,satin,north,1,1
steel,matte,west,1,
copper,matte,west,1,0
glass,gloss,north,1,1
brass,satin,east,1,1
iron,satin,east,1,1
steel,satin,west,1,0
steel,matte,west,1,0
iron,satin,north,1,1
cedar,gloss,north,1,1
iron,matte,north,1,1
iron,satin,north,1,1
copper,satin,north,1,1
copper,matte,north,1,1
iron,satin,east,1,
glass,gloss,south,1,0
steel,matte,west,1,0
brass,satin,north,1,1
copper,matte,west,1,0
copper,matte,west,1,0
copper,matte,east,1,1
glass,gloss,east,1,1
steel,matte,south,1,0
iron,matte,east,1,
cedar,gloss,north,1,1
brass,matte,west,1,0
pine,gloss,south,1,0
iron,matte,east,1,1
iron,satin,south,1,0
oak,gloss,east,1,
iron,matte,north,1,1
brass,satin,west,1,0
cedar,gloss,north,1,1
copper,satin,west,1,0
oak,gloss,east,1,1
copper,matte,west,1,0
steel,satin,west,1,0
steel,matte,south,1,
steel,satin,south,1,0
copper,satin,east,1,1
oak,gloss,west,1,0
pine,gloss,west,1,0
cedar,gloss,east,1,1
pine,gloss,south,1,0
copper,satin,north,1,
iron,matte,south,1,0
copper,matte,west,1,0
iron,matte,south,1,0
iron,satin,west,1,0
copper,satin,south,1,0
steel,satin,west,1,0
copper,satin,east,1,1
brass,satin,west,1,0
brass,matte,west,1,
pine,gloss,east,1,1
oak,gloss,west,1,0
oak,gloss,west,1,0
oak,gloss,south,1,0
pine,gloss,north,1,
glass,gloss,north,1,1
steel,matte,west,1,0
copper,satin,west,1,0
brass,satin,south,1,0
iron,satin,west,1,0
brass,matte,south,1,0
cedar,gloss,east,1,1
brass,matte,south,1,0
brass,matte,east,1,1
oak,gloss,south,1,0
oak,gloss,south,1,0
steel,matte,south,1,0
iron,satin,north,1,1
oak,gloss,west,1,0
steel,matte,west,1,0
oak,gloss,north,1,
copper,matte,east,1,1
copper,satin,west,1,0
steel,matte,north,1,1
copper,satin,south,1,
brass,satin,west,1,0
oak,gloss,west,1,0
pine,gloss,south,1,0
copper,matte,east,1,
steel,matte,south,1,0
steel,matte,east,1,1
brass,satin,north,1,1
copper,matte,east,1,1
copper,satin,east,1,1
copper,matte,west,1,0
brass,matte,north,1,1
cedar,gloss,south,1,0
glass,gloss,east,1,1
copper,satin,west,1,0
iron,satin,north,1,1
brass,matte,north,1,1
pine,gloss,north,1,1
brass,matte,west,1,0
iron,satin,south,1,0
glass,gloss,north,1,1
glass,gloss,west,1,0
copper,matte,west,1,0
copper,matte,west,1,0
brass,matte,north,1,1
oak,gloss,north,1,1
brass,satin,east,1,1
iron,matte,west,1,0
brass,matte,west,1,0
iron,matte,west,1,0
pine,gloss,south,1,0
steel,satin,east,1,1
cedar,gloss,south,1,0
glass,gloss,north,1,1
steel,matte,east,1,1
glass,gloss,west,1,0
glass,gloss,west,1,0
copper,matte,west,1,0
steel,matte,south,1,0
oak,gloss,north,1,1
steel,matte,south,1,0
brass,matte,north,1,1
oak,gloss,north,1,1
cedar,gloss,north,1,1
pine,gloss,south,1,0
iron,satin,north,1,1
cedar,gloss,south,1,
cedar,gloss,north,1,1
iron,matte,west,1,0
