material,finish,region,target
cedar,matte,east,0
glass,matte,north,0
brass,satin,east,1
iron,gloss,west,0
copper,satin,north,1
brass,matte,north,1
brass,satin,west,1
iron,matte,south,1
glass,satin,east,0
oak,satin,east,0
steel,matte,west,1
pine,matte,south,0
oak,matte,north,0
iron,satin,east,1
glass,matte,north,0
steel,matte,east,1
glass,gloss,east,1
steel,gloss,west,0
oak,gloss,south,1
oak,matte,east,0
steel,satin,east,1
brass,gloss,east,0
steel,satin,south,1
oak,gloss,north,1
iron,satin,east,1
steel,gloss,east,0
steel,gloss,north,0
iron,gloss,east,0
steel,satin,north,1
oak,gloss,west,1
steel,gloss,north,0
copper,matte,north,1
steel,satin,west,1
pine,matte,east,0
copper,matte,east,1
glass,gloss,south,1
brass,gloss,west,0
pine,matte,east,0
pine,matte,south,0
brass,gloss,south,0
glass,satin,east,0
steel,matte,south,1
glass,gloss,east,1
cedar,satin,north,0
iron,gloss,north,0
glass,matte,east,0
copper,matte,south,1
cedar,gloss,north,1
glass,satin,east,0
pine,satin,north,0
iron,matte,south,1
iron,gloss,north,0
pine,satin,east,0
pine,gloss,north,1
copper,satin,north,1
glass,matte,south,0
iron,matte,north,1
pine,satin,west,0
pine,gloss,west,1
brass,matte,west,1
glass,satin,east,0
cedar,gloss,west,1
cedar,satin,west,0
iron,matte,west,1
oak,gloss,east,1
brass,matte,east,1
oak,gloss,south,1
cedar,matte,west,0
steel,gloss,east,0
cedar,matte,south,0
oak,gloss,west,1
cedar,satin,south,0
glass,matte,south,0
copper,matte,west,1
pine,matte,north,0
oak,gloss,north,1
pine,matte,west,0
copper,matte,south,1
cedar,gloss,west,1
oak,satin,north,0
iron,satin,east,1
glass,matte,east,0
steel,gloss,west,0
copper,matte,south,1
pine,satin,south,0
glass,matte,north,0
glass,gloss,east,1
oak,gloss,north,1
