input,target_a,target_b
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
blue,1,2
green,2,0
yellow,0,1
orange,1,2
purple,2,0
red,0,1
