material,target,defect_flag
cedar,1,0
copper,0,0
granite,0,0
granite,0,1
copper,1,0
cedar,1,0
basalt,1,
cedar,2,0
copper,2,1
cedar,2,1
basalt,1,0
birch,0,0
basalt,0,1
granite,1,0
copper,2,1
granite,0,1
copper,0,0
birch,2,0
birch,0,0
cedar,1,0
cedar,2,1
cedar,2,1
basalt,2,1
birch,2,0
copper,2,1
granite,2,1
basalt,0,1
basalt,2,1
granite,1,0
basalt,2,1
copper,1,1
copper,0,1
cedar,1,0
copper,0,
birch,1,0
granite,0,1
birch,0,0
copper,0,1
birch,1,0
basalt,0,1
cedar,1,0
birch,0,0
birch,1,0
cedar,2,1
birch,2,1
granite,1,
granite,1,0
cedar,2,1
birch,2,1
granite,2,0
copper,0,1
basalt,0,1
birch,0,0
birch,2,0
basalt,1,1
granite,2,1
birch,2,0
birch,0,0
granite,2,
basalt,1,1
copper,1,0
copper,1,1
cedar,1,0
basalt,2,1
copper,1,0
birch,2,0
cedar,1,0
granite,2,0
cedar,0,
copper,1,0
cedar,0,0
basalt,2,1
basalt,0,1
copper,0,1
cedar,2,0
cedar,0,0
copper,1,1
granite,0,1
copper,0,1
granite,0,0
copper,0,1
basalt,1,1
granite,2,1
granite,2,1
basalt,2,1
basalt,0,1
granite,1,
copper,0,1
cedar,1,0
granite,1,1
copper,2,1
birch,2,0
copper,0,1
granite,0,1
basalt,0,1
copper,0,1
birch,1,0
copper,2,1
copper,1,
birch,2,0
birch,0,0
copper,1,0
cedar,0,0
copper,1,0
granite,1,0
granite,1,
copper,2,1
cedar,2,0
cedar,1,0
copper,2,1
cedar,0,0
cedar,1,
granite,0,0
copper,1,1
granite,0,1
cedar,1,0
birch,1,0
basalt,2,1
birch,1,0
basalt,1,1
granite,0,1
granite,0,1
basalt,0,1
cedar,2,0
copper,2,1
copper,1,0
birch,0,0
basalt,1,0
copper,1,0
basalt,2,1
cedar,1,
cedar,2,0
granite,0,0
basalt,0,1
birch,1,0
granite,2,1
birch,0,0
birch,1,0
birch,1,0
granite,0,0
granite,0,0
granite,1,1
basalt,1,1
birch,2,0
granite,0,
cedar,2,1
granite,1,1
copper,1,0
birch,1,0
copper,2,1
birch,0,0
cedar,2,0
granite,2,0
cedar,2,1
granite,1,0
granite,1,0
cedar,2,1
birch,0,0
cedar,0,0
copper,1,0
cedar,0,0
basalt,1,0
granite,2,1
birch,2,0
cedar,2,1
cedar,0,0
granite,0,1
granite,2,0
copper,2,1
copper,2,1
basalt,1,1
granite,0,0
cedar,1,0
granite,2,1
basalt,0,1
copper,2,1
cedar,0,0
basalt,2,1
granite,2,1
birch,1,0
copper,1,0
cedar,1,0
basalt,0,1
birch,1,0
granite,1,0
granite,0,1
copper,0,0
cedar,1,0
basalt,0,1
granite,1,0
cedar,1,0
granite,0,1
cedar,2,0
cedar,1,0
cedar,1,0
granite,0,1
copper,1,1
birch,0,0
copper,1,0
copper,1,1
copper,0,0
copper,2,1
basalt,2,1
cedar,1,0
granite,0,0
basalt,0,1
birch,0,0
copper,0,1
cedar,2,1
birch,0,0
granite,2,0
basalt,1,1
basalt,0,1
basalt,1,1
granite,2,1
granite,1,1
granite,1,1
basalt,0,1
cedar,0,0
granite,0,0
birch,1,0
granite,1,
granite,1,1
granite,1,0
granite,0,1
birch,2,1
birch,1,0
cedar,1,0
granite,0,0
basalt,0,1
granite,2,0
basalt,2,1
granite,0,1
cedar,1,0
birch,1,0
granite,0,1
granite,2,1
basalt,1,1
copper,2,1
copper,0,1
granite,2,
granite,0,0
birch,2,0
granite,1,1
granite,0,0
copper,0,
copper,1,1
cedar,0,1
granite,0,1
copper,1,1
basalt,1,1
granite,1,0
granite,0,0
granite,1,1
granite,2,1
granite,0,1
basalt,0,1
basalt,1,1
basalt,0,1
copper,1,1
copper,0,0
birch,0,0
cedar,2,
cedar,1,0
basalt,0,
copper,0,1
birch,2,0
granite,0,1
basalt,0,1
cedar,1,0
cedar,2,0
granite,0,1
birch,2,1
cedar,0,0
cedar,1,0
copper,0,0
basalt,0,1
copper,1,1
basalt,0,1
cedar,1,0
cedar,1,0
granite,0,1
basalt,2,1
basalt,2,1
copper,2,1
granite,1,0
birch,2,1
granite,1,0
copper,1,0
copper,0,1
granite,2,1
basalt,2,1
copper,0,0
birch,1,0
basalt,2,1
cedar,1,0
granite,1,0
cedar,2,1
basalt,1,1
cedar,2,0
granite,1,0
birch,0,0
birch,0,0
cedar,2,0
granite,2,1
cedar,1,0
copper,2,
copper,0,1
birch,0,0
copper,0,
basalt,0,1
granite,2,1
granite,1,0
copper,2,1
copper,1,1
birch,2,0
granite,1,0
basalt,1,1
copper,0,1
copper,0,0
granite,2,1
granite,1,1
basalt,1,1
copper,1,1
cedar,1,0
granite,0,1
granite,0,
copper,1,1
basalt,2,1
basalt,2,1
copper,2,1
granite,0,0
basalt,1,1
basalt,1,0
granite,0,1
basalt,2,1
granite,0,0
birch,1,0
granite,0,
copper,1,1
basalt,1,1
cedar,2,0
birch,2,0
cedar,0,0
birch,1,0
basalt,0,1
granite,1,0
basalt,2,1
cedar,1,0
granite,2,1
granite,0,0
birch,0,0
cedar,2,1
cedar,2,1
basalt,0,1
copper,1,0
basalt,2,1
copper,1,0
basalt,0,1
basalt,0,1
granite,1,0
granite,0,1
basalt,2,1
granite,2,1
copper,0,0
copper,0,1
birch,0,0
copper,1,1
copper,0,1
cedar,1,0
copper,1,1
copper,2,1
copper,0,1
basalt,2,1
granite,0,0
cedar,2,1
cedar,2,0
copper,1,0
basalt,0,1
basalt,2,1
copper,1,
granite,0,1
granite,1,0
copper,1,1
granite,1,0
basalt,1,0
granite,1,0
birch,1,0
basalt,1,1
granite,0,1
basalt,1,1
basalt,0,1
birch,2,1
birch,2,
granite,1,0
copper,1,0
basalt,0,1
cedar,0,1
birch,0,0
birch,1,0
cedar,2,1
cedar,2,1
basalt,2,1
cedar,2,0
cedar,0,0
copper,2,1
cedar,0,0
birch,2,0
birch,0,0
granite,2,1
cedar,0,0
copper,2,1
birch,1,0
cedar,2,0
birch,1,0
granite,1,0
cedar,0,
copper,2,1
birch,0,0
birch,2,0
cedar,2,1
birch,0,0
cedar,1,0
basalt,1,1
basalt,0,1
granite,1,0
cedar,1,0
granite,0,0
granite,2,1
basalt,2,1
basalt,0,1
cedar,1,0
copper,1,1
basalt,0,1
copper,1,1
copper,1,0
basalt,1,1
granite,0,1
cedar,1,0
cedar,2,1
birch,1,0
copper,1,1
basalt,2,1
cedar,1,0
copper,2,1
copper,2,1
copper,2,1
cedar,0,0
basalt,2,1
birch,1,0
basalt,2,1
birch,1,0
copper,0,1
copper,1,0
granite,2,0
cedar,0,0
granite,0,1
granite,1,0
cedar,0,0
basalt,0,1
birch,1,0
granite,0,0
basalt,0,1
cedar,2,1
copper,1,0
birch,0,0
granite,0,0
cedar,0,1
granite,0,1
birch,2,0
birch,2,1
cedar,1,0
copper,0,0
copper,0,0
cedar,1,0
granite,0,
basalt,1,1
birch,2,0
cedar,0,0
granite,1,0
cedar,0,0
basalt,1,
basalt,2,1
copper,1,1
copper,0,1
birch,0,0
birch,1,0
copper,0,1
basalt,2,1
copper,2,1
granite,1,0
copper,0,1
birch,2,0
birch,2,1
cedar,1,0
copper,0,1
birch,1,
birch,0,0
birch,2,1
cedar,1,0
granite,0,0
granite,0,
copper,1,0
basalt,2,1
copper,1,0
cedar,0,0
copper,1,0
copper,0,1
basalt,1,1
cedar,2,1
granite,1,0
cedar,1,0
granite,0,1
copper,0,0
basalt,1,1
cedar,0,0
basalt,2,1
cedar,0,0
birch,1,0
cedar,1,0
granite,0,
copper,0,
copper,0,1
copper,0,1
birch,1,0
basalt,0,1
granite,1,0
cedar,2,0
birch,0,0
granite,2,1
copper,1,1
cedar,1,0
cedar,1,0
copper,0,1
copper,1,1
granite,1,1
copper,0,1
birch,2,0
copper,1,0
basalt,0,1
basalt,0,1
cedar,0,0
cedar,1,0
copper,0,0
cedar,1,0
basalt,2,1
cedar,0,
cedar,0,0
granite,1,0
birch,1,0
granite,2,1
cedar,0,0
cedar,0,1
cedar,0,0
granite,1,0
granite,1,1
basalt,2,1
copper,1,0
birch,0,0
copper,1,1
cedar,1,0
birch,0,0
copper,2,1
copper,2,1
copper,2,1
basalt,2,1
granite,1,0
granite,1,1
granite,2,0
birch,2,0
basalt,0,1
granite,0,0
birch,0,0
copper,1,1
copper,2,1
cedar,0,0
copper,1,0
copper,0,1
granite,2,1
basalt,1,0
basalt,1,1
cedar,1,0
cedar,0,1
cedar,0,0
cedar,2,
birch,2,1
copper,2,1
basalt,2,1
birch,0,0
basalt,2,1
cedar,0,1
granite,0,0
granite,1,0
basalt,1,0
copper,0,0
granite,2,1
birch,0,0
birch,1,0
basalt,1,1
copper,1,0
basalt,2,1
copper,1,0
cedar,0,0
cedar,2,1
basalt,2,1
copper,2,1
basalt,0,1
granite,1,0
copper,0,0
birch,2,0
basalt,2,1
granite,0,0
granite,2,1
basalt,1,1
birch,2,0
basalt,2,1
birch,1,
basalt,2,1
birch,1,0
cedar,1,0
granite,2,0
copper,0,1
granite,1,1
birch,0,0
basalt,2,1
basalt,1,1
birch,2,0
granite,2,
granite,0,0
granite,1,0
birch,0,0
granite,2,1
birch,2,0
granite,2,0
birch,0,0
cedar,1,0
copper,0,0
basalt,2,1
granite,1,1
basalt,2,1
birch,1,0
copper,0,1
granite,0,0
cedar,2,0
granite,0,0
birch,1,0
cedar,1,
birch,2,0
birch,0,0
copper,2,1
basalt,1,1
birch,0,0
copper,2,1
cedar,1,0
copper,1,1
cedar,1,0
basalt,2,1
cedar,1,0
copper,2,1
copper,2,1
basalt,0,1
cedar,1,0
cedar,2,0
basalt,0,1
basalt,0,1
cedar,1,
cedar,0,
birch,2,0
cedar,0,0
basalt,2,1
birch,0,0
birch,2,1
basalt,1,1
copper,0,1
copper,1,1
copper,2,1
birch,2,0
birch,0,0
cedar,2,0
birch,2,1
copper,0,
copper,0,1
copper,1,0
copper,0,1
basalt,1,0
cedar,2,1
copper,0,1
cedar,2,
copper,2,1
copper,2,1
basalt,0,1
birch,1,0
copper,0,0
copper,1,1
copper,2,1
cedar,0,0
copper,0,1
birch,1,0
basalt,2,1
birch,1,0
basalt,1,1
basalt,2,1
granite,1,0
copper,0,1
birch,1,0
birch,1,0
copper,2,1
cedar,1,0
basalt,2,
cedar,2,0
copper,1,0
cedar,0,0
cedar,2,0
granite,0,0
granite,0,1
copper,2,1
birch,2,0
copper,2,1
birch,2,0
cedar,0,0
copper,2,1
granite,1,0
birch,1,
birch,0,0
birch,1,0
birch,1,0
basalt,2,1
basalt,0,1
granite,1,1
birch,2,1
birch,2,0
birch,0,0
birch,1,0
granite,1,0
birch,1,0
granite,2,1
basalt,0,1
copper,1,1
granite,1,
copper,1,1
cedar,1,0
birch,0,0
basalt,2,1
granite,2,0
basalt,1,1
granite,0,1
birch,1,0
copper,0,1
copper,1,0
basalt,2,1
cedar,0,0
granite,1,0
cedar,2,0
basalt,0,1
granite,1,0
cedar,0,0
birch,1,0
birch,2,0
basalt,0,1
basalt,0,1
copper,2,1
cedar,1,0
copper,1,0
basalt,2,1
granite,2,1
cedar,0,0
copper,0,1
copper,0,1
basalt,2,1
birch,1,0
granite,2,1
copper,1,0
granite,0,1
copper,0,1
birch,1,0
granite,0,0
basalt,2,1
basalt,0,1
birch,0,0
basalt,0,1
granite,1,
granite,2,1
copper,0,1
granite,2,1
basalt,0,1
granite,0,1
basalt,2,1
cedar,2,1
basalt,0,1
copper,2,1
birch,1,0
copper,2,1
granite,0,
copper,2,1
birch,2,0
cedar,1,0
copper,2,1
birch,2,0
copper,0,1
basalt,1,1
cedar,0,0
granite,0,0
copper,0,1
birch,2,0
cedar,2,1
birch,2,
granite,2,1
cedar,2,1
copper,2,1
copper,2,
cedar,1,0
cedar,2,
basalt,0,1
birch,1,0
granite,2,0
granite,1,0
birch,2,0
birch,2,0
birch,2,1
cedar,0,1
copper,1,
granite,2,0
cedar,0,0
birch,1,0
basalt,0,1
birch,2,1
copper,0,
copper,2,1
birch,0,0
granite,2,1
basalt,0,1
basalt,0,1
copper,2,1
copper,2,1
copper,0,0
birch,0,0
cedar,2,1
copper,2,1
basalt,2,1
birch,1,0
cedar,2,1
birch,0,0
copper,1,1
copper,1,0
granite,2,1
basalt,2,1
cedar,2,0
birch,0,0
birch,2,0
cedar,0,0
granite,0,0
basalt,1,0
granite,1,
granite,2,1
birch,2,1
copper,2,
birch,0,0
granite,1,1
basalt,0,1
cedar,2,1
copper,0,1
granite,0,1
basalt,0,1
granite,0,0
basalt,0,1
cedar,1,0
birch,1,0
copper,1,1
birch,1,0
granite,1,0
copper,2,
granite,1,0
basalt,2,1
cedar,1,0
birch,0,0
birch,1,0
copper,2,
copper,1,1
cedar,1,
birch,2,0
cedar,1,0
copper,1,0
copper,1,1
granite,1,0
birch,2,1
birch,2,
cedar,1,0
birch,1,0
copper,2,1
cedar,2,0
cedar,2,1
copper,0,1
copper,0,1
granite,0,1
granite,1,0
copper,1,1
cedar,2,0
birch,1,0
copper,0,0
cedar,0,0
birch,0,0
copper,2,1
copper,2,1
birch,1,0
basalt,2,1
cedar,1,0
birch,0,0
basalt,1,0
copper,0,1
copper,0,0
birch,1,0
birch,2,
birch,0,0
birch,2,1
copper,2,1
granite,0,1
basalt,0,1
granite,0,0
copper,1,1
cedar,0,0
cedar,0,0
basalt,1,0
copper,2,1
basalt,1,0
copper,1,0
birch,0,0
cedar,1,0
birch,1,0
basalt,1,1
granite,0,1
cedar,2,1
basalt,1,0
birch,2,0
basalt,0,1
copper,0,1
cedar,2,1
cedar,2,1
copper,2,1
birch,0,0
copper,2,1
cedar,0,0
cedar,0,0
copper,1,0
copper,1,0
granite,2,0
cedar,2,0
basalt,1,1
basalt,1,
granite,2,1
