material,target,defect_flag
oak,0,1
brass,1,1
copper,0,
glass,0,0
cedar,1,1
brass,1,0
iron,0,1
steel,1,1
copper,1,1
pine,0,0
iron,0,1
glass,0,0
cedar,0,0
cedar,0,
brass,0,0
oak,0,1
pine,0,1
copper,1,1
oak,0,0
iron,0,1
iron,0,0
brass,1,1
pine,1,0
pine,1,1
brass,1,
pine,0,1
oak,0,0
copper,0,1
steel,0,0
brass,0,1
oak,0,1
pine,0,0
iron,0,0
oak,0,0
steel,1,1
steel,1,
brass,1,1
brass,0,1
pine,0,0
oak,0,0
iron,1,1
oak,0,0
pine,0,0
brass,1,1
pine,0,0
steel,1,1
pine,0,
glass,0,1
glass,0,1
copper,1,1
oak,1,1
copper,1,1
copper,0,0
iron,0,1
iron,0,0
cedar,1,1
oak,0,0
copper,1,
steel,1,1
steel,0,0
copper,0,0
pine,0,0
brass,0,1
pine,0,1
pine,0,0
pine,0,0
iron,1,0
copper,1,1
copper,1,
oak,0,1
copper,0,0
iron,1,0
brass,0,1
brass,1,0
cedar,0,1
pine,1,1
steel,1,0
copper,0,0
steel,1,1
brass,1,
brass,1,1
cedar,0,0
copper,1,0
iron,1,1
glass,0,1
pine,0,1
cedar,1,1
pine,0,1
oak,0,1
steel,1,0
steel,0,
copper,1,0
brass,0,0
iron,1,0
copper,1,1
brass,1,1
brass,0,0
brass,1,1
glass,0,0
brass,0,1
glass,1,0
copper,1,
glass,0,0
glass,0,0
copper,1,0
steel,0,1
glass,0,0
brass,1,1
steel,1,0
brass,1,1
oak,1,0
iron,1,0
iron,0,
oak,0,0
pine,0,1
steel,1,1
pine,0,0
brass,1,1
brass,1,0
copper,1,1
iron,1,0
oak,1,0
pine,0,1
glass,1,
brass,1,0
glass,0,1
cedar,1,1
oak,1,0
pine,0,1
oak,0,0
steel,0,0
iron,1,1
cedar,0,1
cedar,0,0
steel,0,
steel,1,0
pine,0,1
iron,1,1
brass,1,0
pine,0,0
cedar,1,1
cedar,1,1
pine,1,0
copper,0,1
cedar,0,1
steel,1,
copper,1,0
steel,1,0
copper,0,0
steel,1,0
pine,0,0
glass,0,0
copper,1,0
steel,0,1
glass,0,0
glass,0,0
copper,0,
cedar,0,0
pine,0,1
oak,1,1
brass,1,0
pine,0,0
pine,0,1
pine,0,0
glass,1,1
pine,1,1
steel,1,0
iron,1,
iron,1,1
cedar,1,1
glass,0,0
iron,0,0
brass,1,1
copper,1,0
