input,target
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,0
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,1
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,0
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,1
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,0
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,1
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,0
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,1
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,1
blue,0
green,1
yellow,0
purple,1
orange,0
black,1
white,0
red,0
blue,0
