input,target
images/0000.png,0
images/0001.jpg,1
images/0002.bmp,2
images/0003.webp,3
images/0004.pgm,0
images/0005.png,1
images/0006.jpg,2
images/0007.bmp,3
images/0008.webp,0
images/0009.pgm,1
images/0010.png,2
images/0011.jpg,3
images/0012.bmp,0
images/0013.webp,1
images/0014.pgm,2
images/0015.png,3
images/0016.jpg,0
images/0017.bmp,1
images/0018.webp,2
images/0019.pgm,3
images/0020.png,0
images/0021.jpg,1
images/0022.bmp,2
images/0023.webp,3
images/0024.pgm,0
images/0025.png,1
images/0026.jpg,2
images/0027.bmp,3
images/0028.webp,0
images/0029.pgm,1
images/0030.png,2
images/0031.jpg,3
images/0032.bmp,0
images/0033.webp,1
images/0034.pgm,2
images/0035.png,3
images/0036.jpg,0
images/0037.bmp,1
images/0038.webp,2
images/0039.pgm,3
images/0040.png,0
images/0041.jpg,1
images/0042.bmp,2
images/0043.webp,3
images/0044.pgm,0
images/0045.png,1
images/0046.jpg,2
images/0047.bmp,3
images/0048.webp,0
images/0049.pgm,1
images/0050.png,2
images/0051.jpg,3
images/0052.bmp,0
images/0053.webp,1
images/0054.pgm,2
images/0055.png,3
images/0056.jpg,0
images/0057.bmp,1
images/0058.webp,2
images/0059.pgm,3
images/0060.png,0
images/0061.jpg,1
images/0062.bmp,2
images/0063.webp,3
images/0064.pgm,0
images/0065.png,1
images/0066.jpg,2
images/0067.bmp,3
images/0068.webp,0
images/0069.pgm,1
images/0070.png,2
images/0071.jpg,3
images/0072.bmp,0
images/0073.webp,1
images/0074.pgm,2
images/0075.png,3
images/0076.jpg,0
images/0077.bmp,1
images/0078.webp,2
images/0079.pgm,3
images/0080.png,0
images/0081.jpg,1
images/0082.bmp,2
images/0083.webp,3
images/0084.pgm,0
images/0085.png,1
images/0086.jpg,2
images/0087.bmp,3
images/0088.webp,0
images/0089.pgm,1
images/0090.png,2
images/0091.jpg,3
images/0092.bmp,0
images/0093.webp,1
images/0094.pgm,2
images/0095.png,3
images/0096.jpg,0
images/0097.bmp,1
images/0098.webp,2
images/0099.pgm,3
images/0100.png,0
images/0101.jpg,1
images/0102.bmp,2
images/0103.webp,3
images/0104.pgm,0
images/0105.png,1
images/0106.jpg,2
images/0107.bmp,3
images/0108.webp,0
images/0109.pgm,1
images/0110.png,2
images/0111.jpg,3
images/0112.bmp,0
images/0113.webp,1
images/0114.pgm,2
images/0115.png,3
images/0116.jpg,0
images/0117.bmp,1
images/0118.webp,2
images/0119.pgm,3
images/0120.png,0
images/0121.jpg,1
images/0122.bmp,2
images/0123.webp,3
images/0124.pgm,0
images/0125.png,1
images/0126.jpg,2
images/0127.bmp,3
images/0128.webp,0
images/0129.pgm,1
images/0130.png,2
images/0131.jpg,3
images/0132.bmp,0
images/0133.webp,1
images/0134.pgm,2
images/0135.png,3
images/0136.jpg,0
images/0137.bmp,1
images/0138.webp,2
images/0139.pgm,3
images/0140.png,0
images/0141.jpg,1
images/0142.bmp,2
images/0143.webp,3
images/0144.pgm,0
images/0145.png,1
images/0146.jpg,2
images/0147.bmp,3
images/0148.webp,0
images/0149.pgm,1
images/0150.png,2
images/0151.jpg,3
images/0152.bmp,0
images/0153.webp,1
images/0154.pgm,2
images/0155.png,3
images/0156.jpg,0
images/0157.bmp,1
images/0158.webp,2
images/0159.pgm,3
images/0160.png,0
images/0161.jpg,1
images/0162.bmp,2
images/0163.webp,3
images/0164.pgm,0
images/0165.png,1
images/0166.jpg,2
images/0167.bmp,3
images/0168.webp,0
images/0169.pgm,1
images/0170.png,2
images/0171.jpg,3
images/0172.bmp,0
images/0173.webp,1
images/0174.pgm,2
images/0175.png,3
images/0176.jpg,0
images/0177.bmp,1
images/0178.webp,2
images/0179.pgm,3
