view_front,view_side,target,mask_area
4;1;0;2;4;1;4;0;5;5;2;3;5;1;5;2;2;0;4;5;3;5;5;5;4;2;2;0;4;1;3;4;0;2;4;5;1;4;3;2;2;1;1;5;1;1;5;0;2;2;3;5;1;0;3;3;4;1;0;3;4;3;4;1;5;1;2;4;0;2;4;4;4;1;220;220;220;220;220;220;220;220;3;3;3;5;220;220;220;220;220;220;220;220;1;4;5;3;0;3;4;2;4;2;5;5;4;1;4;5;2;5;2;5;3;5;2;1;5;0;2;1;0;1;4;0;1;5;5;3;0;3;5;4;5;5;4;1;0;5;5;1;0;5,5;0;2;1;3;0;1;5;0;2;4;4;1;5;3;2;5;4;3;0;4;4;1;1;3;0;220;220;220;220;220;220;220;220;3;2;4;5;220;3;0;2;2;1;0;220;3;5;1;0;220;0;5;3;3;4;3;220;4;5;5;3;220;2;0;2;1;4;4;220;4;5;1;5;220;3;4;2;3;1;3;220;5;3;4;3;220;2;2;3;0;3;4;220;5;1;0;1;220;5;3;5;0;5;1;220;4;0;0;1;220;220;220;220;220;220;220;220;5;4;4;1;4;0;0;2;2;1;5;5;5;3;3;0;2;4;1;0;1;3;4;3;2;0,0,16
0;0;2;4;4;2;4;1;4;3;5;3;1;4;3;3;5;0;3;2;0;0;3;0;3;0;220;220;220;220;220;220;220;220;1;2;0;1;220;0;4;2;2;5;5;220;5;4;0;5;220;2;3;3;1;5;2;220;5;5;1;5;220;2;2;0;2;3;5;220;5;5;2;5;220;3;5;0;5;5;4;220;4;3;0;2;220;2;2;4;3;4;1;220;0;1;1;0;220;2;3;2;4;3;1;220;0;4;3;1;220;220;220;220;220;220;220;220;1;2;5;4;2;5;4;2;2;4;3;0;1;2;0;2;4;5;0;0;4;1;2;4;0;4,4;5;5;5;3;2;1;3;2;4;0;3;2;0;0;4;1;1;0;0;1;0;2;1;0;5;220;0;1;4;4;0;5;220;3;3;2;3;1;220;5;5;5;3;220;2;2;1;5;3;2;5;220;1;5;220;2;4;2;4;0;2;4;1;3;220;220;4;4;5;0;5;0;0;5;0;5;220;220;5;0;3;5;5;3;3;3;1;220;5;4;220;0;4;5;4;0;4;2;220;0;0;2;3;220;4;1;5;1;1;220;2;5;3;2;3;4;220;3;2;0;4;0;4;2;5;1;2;5;5;3;4;1;1;3;2;0;4;4;2;4;5;2;5,1,28
1;1;5;5;4;1;3;2;1;4;4;5;5;4;5;5;1;2;3;0;4;3;4;3;4;2;220;2;1;5;0;5;3;220;1;1;4;3;4;220;0;5;2;3;220;4;3;5;5;0;1;4;220;3;5;220;2;1;5;0;1;0;3;5;5;220;220;1;5;2;5;0;2;0;2;0;1;220;220;5;3;5;0;3;4;0;1;1;220;1;2;220;2;3;5;3;0;3;2;220;3;0;5;2;220;5;3;3;1;4;220;5;0;5;0;1;4;220;0;2;3;2;5;3;1;4;1;4;0;5;0;4;3;5;5;0;0;4;4;2;5;2;0;4,4;2;2;1;1;4;2;4;0;5;3;3;5;0;3;0;1;1;0;5;4;3;0;2;5;2;0;4;4;4;5;3;0;0;5;3;5;2;0;3;1;1;5;5;1;2;2;2;5;1;5;0;2;1;220;3;4;4;1;0;3;2;5;4;5;220;220;220;4;3;1;1;1;3;3;1;220;220;220;220;220;2;2;0;2;4;4;2;2;220;220;220;3;1;2;0;2;4;1;1;0;3;220;0;1;1;1;5;3;4;5;4;5;2;2;1;3;3;3;0;0;3;3;2;5;0;1;4;0;5;2;3;0;1;0;2;2;4;1;1;2;1;0;4,2,16
4;0;1;2;1;4;4;4;1;1;4;2;3;3;1;4;2;2;4;5;0;2;0;4;4;5;0;0;2;3;0;0;1;5;3;3;2;4;2;3;4;1;5;1;2;2;1;5;3;3;5;5;0;2;220;3;5;2;4;0;1;0;5;4;2;220;220;220;3;2;5;5;1;3;2;3;220;220;220;220;220;2;5;3;4;0;0;2;2;220;220;220;3;2;1;4;1;3;2;0;5;3;220;4;1;1;0;3;2;4;3;0;2;0;1;3;4;1;0;0;4;3;1;0;0;3;5;2;0;3;5;1;4;1;4;1;1;4;1;1;1;1;4;2,0;1;5;3;4;2;0;3;4;1;2;3;1;3;4;4;5;2;1;2;1;0;5;2;2;1;4;2;5;1;0;0;2;1;0;5;0;5;2;3;3;1;3;2;3;5;0;3;0;2;1;3;0;5;2;0;4;3;0;2;0;2;2;5;0;2;1;0;0;2;5;1;3;3;220;220;220;220;220;220;220;220;2;0;3;0;220;220;220;220;220;220;220;220;3;0;1;3;2;0;5;3;2;4;4;1;3;5;1;5;1;4;1;4;2;5;0;0;5;0;1;0;5;3;0;5;3;3;0;4;3;2;4;4;1;0;5;0;2;2;2;4;3;2,3,13
5;2;2;3;3;1;2;1;0;2;0;2;4;1;2;1;3;0;3;0;4;5;5;0;1;2;5;3;0;1;0;0;0;1;5;2;3;2;1;2;0;4;5;1;0;1;1;5;2;0;2;1;0;1;2;4;2;5;1;2;2;2;3;1;3;4;2;5;5;5;5;3;2;1;220;220;220;220;220;220;220;220;1;3;0;3;220;220;220;220;220;220;220;220;5;5;1;0;5;5;5;4;2;2;1;4;2;5;5;4;1;4;2;1;5;4;1;3;4;1;3;5;2;0;1;1;0;2;2;2;4;4;0;2;0;1;2;1;4;3;3;3;3;4,2;4;4;1;0;2;2;4;4;4;4;5;2;4;2;4;2;4;4;3;0;2;1;2;2;0;220;220;220;220;220;220;220;220;2;4;3;0;220;0;5;4;2;2;4;220;0;4;0;0;220;2;3;0;1;4;0;220;3;5;5;2;220;0;4;3;4;3;4;220;5;5;5;0;220;3;4;3;2;3;4;220;1;5;4;5;220;3;1;2;3;2;3;220;0;5;0;3;220;1;3;4;0;0;3;220;2;4;5;0;220;220;220;220;220;220;220;220;1;4;1;0;2;1;3;4;3;0;2;5;0;2;5;3;0;5;3;3;4;5;3;2;2;0,0,
5;1;2;0;5;3;5;3;5;5;4;0;2;1;0;2;2;0;5;4;1;3;5;3;2;0;220;220;220;220;220;220;220;220;0;3;1;3;220;1;4;3;5;1;0;220;4;1;4;5;220;2;1;1;3;4;4;220;4;4;4;3;220;2;1;3;4;1;2;220;0;5;4;1;220;0;2;3;4;1;2;220;4;2;2;3;220;1;4;4;0;0;2;220;0;1;4;1;220;4;1;2;4;4;3;220;1;3;5;3;220;220;220;220;220;220;220;220;2;2;3;5;2;2;1;1;3;5;4;2;3;0;4;2;2;3;2;5;3;4;2;1;0;3,4;0;4;5;4;5;5;5;0;1;1;3;2;2;3;3;1;5;3;4;2;3;3;4;5;5;220;2;0;4;4;2;5;220;3;1;4;4;4;220;0;4;0;1;220;3;3;4;5;0;3;3;220;5;2;220;0;1;5;4;4;5;2;5;3;220;220;2;3;2;2;1;3;2;3;0;5;220;220;1;4;5;1;2;2;1;5;2;220;5;4;220;1;1;5;3;2;3;3;220;0;2;2;2;220;3;1;5;2;2;220;3;0;1;4;3;4;220;1;5;4;1;2;1;5;5;5;3;0;3;4;3;4;4;1;5;3;3;5;4;2;5;4;2,1,28
5;2;1;4;2;4;2;0;2;0;4;4;0;2;4;4;1;1;4;3;2;2;0;4;1;5;220;3;4;5;0;1;0;220;3;3;0;4;3;220;2;5;5;0;220;0;1;0;2;1;2;2;220;0;5;220;1;3;3;4;5;0;0;1;4;220;220;5;4;3;0;5;5;0;1;4;0;220;220;2;5;5;3;0;1;3;2;5;220;0;4;220;0;1;4;3;0;3;4;220;5;0;5;0;220;2;2;0;4;3;220;3;1;1;5;5;0;220;3;1;5;4;4;0;0;4;1;0;1;4;0;1;0;2;5;5;0;4;2;5;3;5;0;0,1;2;1;1;3;3;0;2;1;2;2;1;3;5;1;4;2;2;2;1;3;2;5;3;5;3;2;0;0;3;0;2;5;1;2;1;2;2;4;0;1;5;5;0;0;1;5;4;1;4;2;3;2;1;220;4;3;2;5;3;5;2;0;3;2;220;220;220;0;3;1;0;4;4;4;2;220;220;220;220;220;0;1;4;2;1;5;2;1;220;220;220;2;3;0;1;0;3;4;3;2;0;220;4;2;0;4;4;4;1;0;3;1;5;0;3;0;0;1;2;4;4;3;5;1;0;5;1;3;5;2;0;0;1;2;2;0;4;0;3;1;4;3;1,2,16
2;1;0;2;3;0;4;5;2;3;1;1;0;3;0;3;1;1;5;1;5;1;4;2;5;1;1;3;1;5;0;1;0;4;4;2;2;1;2;0;2;1;1;5;4;5;4;0;4;1;0;5;4;2;220;1;0;5;0;2;1;2;1;2;4;220;220;220;3;1;1;3;2;2;2;3;220;220;220;220;220;2;4;3;3;4;5;0;5;220;220;220;3;0;2;2;2;0;2;0;3;4;220;3;5;1;4;3;3;2;0;0;5;1;1;1;0;1;5;0;1;3;5;5;4;3;1;5;3;5;2;4;2;1;1;2;5;1;1;2;0;5;0;5,5;1;5;3;1;2;5;2;2;2;3;2;0;4;3;3;2;0;3;1;5;4;5;1;2;1;3;4;4;4;5;3;5;1;1;2;1;4;1;1;0;1;0;0;2;2;2;2;4;5;0;3;0;4;5;1;0;5;3;5;4;1;1;1;1;2;2;5;4;2;4;4;0;3;220;220;220;220;220;220;220;220;5;5;5;2;220;220;220;220;220;220;220;220;3;4;1;0;1;1;0;3;0;2;1;1;3;3;0;3;1;0;1;1;4;1;1;5;2;2;0;3;2;5;2;2;0;2;3;1;3;5;0;0;3;2;3;4;1;0;3;4;2;4,3,13
2;1;3;2;0;2;1;4;0;4;3;5;5;1;5;0;2;0;5;3;5;2;4;2;0;4;2;2;4;2;5;5;3;5;5;2;1;5;5;4;1;0;3;2;5;1;5;3;0;2;3;4;1;1;3;4;2;4;2;1;5;2;1;5;1;2;0;4;2;4;5;3;4;2;220;220;220;220;220;220;220;220;0;5;2;1;220;220;220;220;220;220;220;220;2;0;1;0;3;5;4;1;5;1;0;4;2;3;3;0;3;1;2;0;4;4;1;1;5;1;2;5;5;5;1;4;0;5;3;0;1;4;2;0;0;5;5;4;2;2;5;1;5;3,2;3;2;1;0;2;4;4;1;3;5;0;3;2;2;0;5;3;0;3;0;2;5;3;1;1;220;220;220;220;220;220;220;220;5;1;4;2;220;0;0;0;1;4;1;220;4;4;5;4;220;2;1;2;1;4;1;220;2;0;4;1;220;1;4;1;4;4;4;220;3;2;2;0;220;4;5;0;1;1;1;220;0;5;3;3;220;0;4;4;2;1;1;220;3;5;4;1;220;3;3;1;1;0;5;220;0;3;2;3;220;220;220;220;220;220;220;220;3;3;1;4;4;3;0;0;1;1;3;4;1;2;2;0;3;2;5;1;2;1;3;4;4;5,0,16
1;5;0;5;4;3;5;0;3;1;2;1;5;2;2;3;5;3;5;2;4;4;0;4;5;0;220;220;220;220;220;220;220;220;2;0;1;1;220;0;1;4;5;0;3;220;2;2;4;2;220;5;5;0;3;4;3;220;3;5;2;3;220;4;2;3;3;1;1;220;4;4;4;2;220;2;5;5;2;0;0;220;4;3;2;2;220;1;1;4;3;1;0;220;0;3;5;5;220;0;0;2;1;3;0;220;5;0;5;1;220;220;220;220;220;220;220;220;0;3;3;2;4;1;4;1;4;1;0;2;5;1;4;5;0;4;5;1;3;2;0;0;3;3,4;2;2;1;2;4;0;5;5;4;2;1;0;3;4;3;3;3;0;5;0;3;4;1;2;1;220;1;1;5;2;2;0;220;3;3;2;2;4;220;0;2;0;4;220;3;4;0;0;2;3;2;220;5;1;220;4;4;0;4;4;4;4;5;1;220;220;3;4;5;2;0;2;4;1;0;4;220;220;1;2;5;1;1;1;1;3;4;220;4;5;220;5;1;2;0;0;5;4;220;0;5;0;1;220;0;2;0;3;0;220;3;4;3;1;4;5;220;0;0;2;2;5;0;2;3;2;4;4;3;0;1;4;0;2;4;1;5;2;4;4;0;5;5,1,28
