view_front,view_side,target,mask_area
images/image-0000-front.png,images/image-0000-side.png,0,16
images/image-0001-front.jpg,images/image-0001-side.jpg,1,28
images/image-0002-front.bmp,images/image-0002-side.bmp,2,16
images/image-0003-front.webp,images/image-0003-side.webp,3,13
images/image-0004-front.png,images/image-0004-side.png,0,
images/image-0005-front.jpg,images/image-0005-side.jpg,1,28
images/image-0006-front.bmp,images/image-0006-side.bmp,2,16
images/image-0007-front.webp,images/image-0007-side.webp,3,13
images/image-0008-front.png,images/image-0008-side.png,0,16
images/image-0009-front.jpg,images/image-0009-side.jpg,1,28
