view_front,view_side,target,mask_area
images/image-0000-front.png,images/image-0000-side.png,0,16
images/image-0001-front.png,images/image-0001-side.png,1,28
images/image-0002-front.png,images/image-0002-side.png,2,16
images/image-0003-front.png,images/image-0003-side.png,3,13
images/image-0004-front.png,images/image-0004-side.png,0,
images/image-0005-front.png,images/image-0005-side.png,1,28
images/image-0006-front.png,images/image-0006-side.png,2,16
images/image-0007-front.png,images/image-0007-side.png,3,13
images/image-0008-front.png,images/image-0008-side.png,0,16
images/image-0009-front.png,images/image-0009-side.png,1,28
images/image-0010-front.png,images/image-0010-side.png,2,16
images/image-0011-front.png,images/image-0011-side.png,3,13
images/image-0012-front.png,images/image-0012-side.png,0,16
images/image-0013-front.png,images/image-0013-side.png,1,28
images/image-0014-front.png,images/image-0014-side.png,2,16
images/image-0015-front.png,images/image-0015-side.png,3,
images/image-0016-front.png,images/image-0016-side.png,0,16
images/image-0017-front.png,images/image-0017-side.png,1,28
images/image-0018-front.png,images/image-0018-side.png,2,16
images/image-0019-front.png,images/image-0019-side.png,3,13
images/image-0020-front.png,images/image-0020-side.png,0,16
images/image-0021-front.png,images/image-0021-side.png,1,28
images/image-0022-front.png,images/image-0022-side.png,2,16
images/image-0023-front.png,images/image-0023-side.png,3,13
images/image-0024-front.png,images/image-0024-side.png,0,16
images/image-0025-front.png,images/image-0025-side.png,1,28
images/image-0026-front.png,images/image-0026-side.png,2,
images/image-0027-front.png,images/image-0027-side.png,3,13
images/image-0028-front.png,images/image-0028-side.png,0,16
images/image-0029-front.png,images/image-0029-side.png,1,28
