input,target_a,target_b
0;13;26;39;52;65;78;91;104;117;130;143;156;169;182;195,0,1
17;30;43;56;69;82;95;108;121;134;147;160;173;186;199;212,1,2
34;47;60;73;86;99;112;125;138;151;164;177;190;203;216;229,2,3
51;64;77;90;103;116;129;142;155;168;181;194;207;220;233;246,3,4
68;81;94;107;120;133;146;159;172;185;198;211;224;237;250;7,4,5
85;98;111;124;137;150;163;176;189;202;215;228;241;254;11;24,5,6
102;115;128;141;154;167;180;193;206;219;232;245;2;15;28;41,6,7
119;132;145;158;171;184;197;210;223;236;249;6;19;32;45;58,7,8
136;149;162;175;188;201;214;227;240;253;10;23;36;49;62;75,8,9
153;166;179;192;205;218;231;244;1;14;27;40;53;66;79;92,9,0
170;183;196;209;222;235;248;5;18;31;44;57;70;83;96;109,0,1
187;200;213;226;239;252;9;22;35;48;61;74;87;100;113;126,1,2
204;217;230;243;0;13;26;39;52;65;78;91;104;117;130;143,2,3
221;234;247;4;17;30;43;56;69;82;95;108;121;134;147;160,3,4
238;251;8;21;34;47;60;73;86;99;112;125;138;151;164;177,4,5
255;12;25;38;51;64;77;90;103;116;129;142;155;168;181;194,5,6
16;29;42;55;68;81;94;107;120;133;146;159;172;185;198;211,6,7
33;46;59;72;85;98;111;124;137;150;163;176;189;202;215;228,7,8
50;63;76;89;102;115;128;141;154;167;180;193;206;219;232;245,8,9
67;80;93;106;119;132;145;158;171;184;197;210;223;236;249;6,9,0
84;97;110;123;136;149;162;175;188;201;214;227;240;253;10;23,0,1
101;114;127;140;153;166;179;192;205;218;231;244;1;14;27;40,1,2
118;131;144;157;170;183;196;209;222;235;248;5;18;31;44;57,2,3
135;148;161;174;187;200;213;226;239;252;9;22;35;48;61;74,3,4
152;165;178;191;204;217;230;243;0;13;26;39;52;65;78;91,4,5
169;182;195;208;221;234;247;4;17;30;43;56;69;82;95;108,5,6
186;199;212;225;238;251;8;21;34;47;60;73;86;99;112;125,6,7
203;216;229;242;255;12;25;38;51;64;77;90;103;116;129;142,7,8
220;233;246;3;16;29;42;55;68;81;94;107;120;133;146;159,8,9
237;250;7;20;33;46;59;72;85;98;111;124;137;150;163;176,9,0
254;11;24;37;50;63;76;89;102;115;128;141;154;167;180;193,0,1
15;28;41;54;67;80;93;106;119;132;145;158;171;184;197;210,1,2
32;45;58;71;84;97;110;123;136;149;162;175;188;201;214;227,2,3
49;62;75;88;101;114;127;140;153;166;179;192;205;218;231;244,3,4
66;79;92;105;118;131;144;157;170;183;196;209;222;235;248;5,4,5
83;96;109;122;135;148;161;174;187;200;213;226;239;252;9;22,5,6
100;113;126;139;152;165;178;191;204;217;230;243;0;13;26;39,6,7
117;130;143;156;169;182;195;208;221;234;247;4;17;30;43;56,7,8
134;147;160;173;186;199;212;225;238;251;8;21;34;47;60;73,8,9
151;164;177;190;203;216;229;242;255;12;25;38;51;64;77;90,9,0
168;181;194;207;220;233;246;3;16;29;42;55;68;81;94;107,0,1
185;198;211;224;237;250;7;20;33;46;59;72;85;98;111;124,1,2
202;215;228;241;254;11;24;37;50;63;76;89;102;115;128;141,2,3
219;232;245;2;15;28;41;54;67;80;93;106;119;132;145;158,3,4
236;249;6;19;32;45;58;71;84;97;110;123;136;149;162;175,4,5
253;10;23;36;49;62;75;88;101;114;127;140;153;166;179;192,5,6
14;27;40;53;66;79;92;105;118;131;144;157;170;183;196;209,6,7
31;44;57;70;83;96;109;122;135;148;161;174;187;200;213;226,7,8
48;61;74;87;100;113;126;139;152;165;178;191;204;217;230;243,8,9
65;78;91;104;117;130;143;156;169;182;195;208;221;234;247;4,9,0
82;95;108;121;134;147;160;173;186;199;212;225;238;251;8;21,0,1
99;112;125;138;151;164;177;190;203;216;229;242;255;12;25;38,1,2
116;129;142;155;168;181;194;207;220;233;246;3;16;29;42;55,2,3
133;146;159;172;185;198;211;224;237;250;7;20;33;46;59;72,3,4
150;163;176;189;202;215;228;241;254;11;24;37;50;63;76;89,4,5
167;180;193;206;219;232;245;2;15;28;41;54;67;80;93;106,5,6
184;197;210;223;236;249;6;19;32;45;58;71;84;97;110;123,6,7
201;214;227;240;253;10;23;36;49;62;75;88;101;114;127;140,7,8
218;231;244;1;14;27;40;53;66;79;92;105;118;131;144;157,8,9
235;248;5;18;31;44;57;70;83;96;109;122;135;148;161;174,9,0
252;9;22;35;48;61;74;87;100;113;126;139;152;165;178;191,0,1
13;26;39;52;65;78;91;104;117;130;143;156;169;182;195;208,1,2
30;43;56;69;82;95;108;121;134;147;160;173;186;199;212;225,2,3
47;60;73;86;99;112;125;138;151;164;177;190;203;216;229;242,3,4
64;77;90;103;116;129;142;155;168;181;194;207;220;233;246;3,4,5
81;94;107;120;133;146;159;172;185;198;211;224;237;250;7;20,5,6
