view_front,target,mask_area
images/image-0000-front.png,0,16
images/image-0001-front.jpg,1,28
images/image-0002-front.bmp,2,16
images/image-0003-front.webp,3,13
images/image-0004-front.png,0,
images/image-0005-front.jpg,1,28
images/image-0006-front.bmp,2,16
images/image-0007-front.webp,3,13
images/image-0008-front.png,0,16
images/image-0009-front.jpg,1,28
images/image-0010-front.bmp,2,16
images/image-0011-front.webp,3,13
images/image-0012-front.png,0,16
images/image-0013-front.jpg,1,28
images/image-0014-front.bmp,2,16
images/image-0015-front.webp,3,
images/image-0016-front.png,0,16
images/image-0017-front.jpg,1,28
images/image-0018-front.bmp,2,16
images/image-0019-front.webp,3,13
images/image-0020-front.png,0,16
images/image-0021-front.jpg,1,28
images/image-0022-front.bmp,2,16
images/image-0023-front.webp,3,13
