view_front,target,mask_area
images/image-0000-front.png,0,16
images/image-0001-front.png,1,28
images/image-0002-front.png,2,16
images/image-0003-front.png,3,13
images/image-0004-front.png,0,
images/image-0005-front.png,1,28
images/image-0006-front.png,2,16
images/image-0007-front.png,3,13
images/image-0008-front.png,0,16
images/image-0009-front.png,1,28
images/image-0010-front.png,2,16
images/image-0011-front.png,3,13
images/image-0012-front.png,0,16
images/image-0013-front.png,1,28
images/image-0014-front.png,2,16
images/image-0015-front.png,3,
images/image-0016-front.png,0,16
images/image-0017-front.png,1,28
images/image-0018-front.png,2,16
images/image-0019-front.png,3,13
images/image-0020-front.png,0,16
images/image-0021-front.png,1,28
images/image-0022-front.png,2,16
images/image-0023-front.png,3,13
images/image-0024-front.png,0,16
images/image-0025-front.png,1,28
images/image-0026-front.png,2,
images/image-0027-front.png,3,13
images/image-0028-front.png,0,16
images/image-0029-front.png,1,28
images/image-0030-front.png,2,16
images/image-0031-front.png,3,13
images/image-0032-front.png,0,16
images/image-0033-front.png,1,28
images/image-0034-front.png,2,16
images/image-0035-front.png,3,13
images/image-0036-front.png,0,16
images/image-0037-front.png,1,
images/image-0038-front.png,2,16
images/image-0039-front.png,3,13
images/image-0040-front.png,0,16
images/image-0041-front.png,1,28
images/image-0042-front.png,2,16
images/image-0043-front.png,3,13
images/image-0044-front.png,0,16
images/image-0045-front.png,1,28
images/image-0046-front.png,2,16
images/image-0047-front.png,3,13
images/image-0048-front.png,0,
images/image-0049-front.png,1,28
images/image-0050-front.png,2,16
images/image-0051-front.png,3,13
images/image-0052-front.png,0,16
images/image-0053-front.png,1,28
images/image-0054-front.png,2,16
images/image-0055-front.png,3,13
images/image-0056-front.png,0,16
images/image-0057-front.png,1,28
images/image-0058-front.png,2,16
