input,target
images/image-0000.png,0
images/image-0001.jpg,1
images/image-0002.bmp,2
images/image-0003.webp,3
images/image-0004.png,0
images/image-0005.jpg,1
images/image-0006.bmp,2
images/image-0007.webp,3
images/image-0008.png,0
images/image-0009.jpg,1
images/image-0010.bmp,2
images/image-0011.webp,3
images/image-0012.png,0
images/image-0013.jpg,1
images/image-0014.bmp,2
images/image-0015.webp,3
images/image-0016.png,0
images/image-0017.jpg,1
images/image-0018.bmp,2
images/image-0019.webp,3
images/image-0020.png,0
images/image-0021.jpg,1
images/image-0022.bmp,2
images/image-0023.webp,3
images/image-0024.png,0
images/image-0025.jpg,1
images/image-0026.bmp,2
images/image-0027.webp,3
images/image-0028.png,0
images/image-0029.jpg,1
images/image-0030.bmp,2
images/image-0031.webp,3
images/image-0032.png,0
images/image-0033.jpg,1
images/image-0034.bmp,2
images/image-0035.webp,3
images/image-0036.png,0
images/image-0037.jpg,1
images/image-0038.bmp,2
images/image-0039.webp,3
images/image-0040.png,0
images/image-0041.jpg,1
images/image-0042.bmp,2
images/image-0043.webp,3
images/image-0044.png,0
images/image-0045.jpg,1
images/image-0046.bmp,2
images/image-0047.webp,3
images/image-0048.png,0
images/image-0049.jpg,1
images/image-0050.bmp,2
images/image-0051.webp,3
images/image-0052.png,0
images/image-0053.jpg,1
images/image-0054.bmp,2
images/image-0055.webp,3
images/image-0056.png,0
images/image-0057.jpg,1
images/image-0058.bmp,2
images/image-0059.webp,3
images/image-0060.png,0
images/image-0061.jpg,1
images/image-0062.bmp,2
images/image-0063.webp,3
images/image-0064.png,0
images/image-0065.jpg,1
images/image-0066.bmp,2
images/image-0067.webp,3
images/image-0068.png,0
images/image-0069.jpg,1
images/image-0070.bmp,2
images/image-0071.webp,3
images/image-0072.png,0
images/image-0073.jpg,1
images/image-0074.bmp,2
images/image-0075.webp,3
images/image-0076.png,0
images/image-0077.jpg,1
images/image-0078.bmp,2
images/image-0079.webp,3
images/image-0080.png,0
images/image-0081.jpg,1
images/image-0082.bmp,2
images/image-0083.webp,3
images/image-0084.png,0
images/image-0085.jpg,1
images/image-0086.bmp,2
images/image-0087.webp,3
images/image-0088.png,0
images/image-0089.jpg,1
images/image-0090.bmp,2
images/image-0091.webp,3
images/image-0092.png,0
images/image-0093.jpg,1
images/image-0094.bmp,2
images/image-0095.webp,3
images/image-0096.png,0
images/image-0097.jpg,1
images/image-0098.bmp,2
images/image-0099.webp,3
images/image-0100.png,0
images/image-0101.jpg,1
images/image-0102.bmp,2
images/image-0103.webp,3
images/image-0104.png,0
images/image-0105.jpg,1
images/image-0106.bmp,2
images/image-0107.webp,3
images/image-0108.png,0
images/image-0109.jpg,1
images/image-0110.bmp,2
images/image-0111.webp,3
images/image-0112.png,0
images/image-0113.jpg,1
images/image-0114.bmp,2
images/image-0115.webp,3
images/image-0116.png,0
images/image-0117.jpg,1
images/image-0118.bmp,2
images/image-0119.webp,3
images/image-0120.png,0
images/image-0121.jpg,1
images/image-0122.bmp,2
images/image-0123.webp,3
images/image-0124.png,0
images/image-0125.jpg,1
images/image-0126.bmp,2
images/image-0127.webp,3
images/image-0128.png,0
images/image-0129.jpg,1
images/image-0130.bmp,2
images/image-0131.webp,3
images/image-0132.png,0
images/image-0133.jpg,1
images/image-0134.bmp,2
images/image-0135.webp,3
images/image-0136.png,0
images/image-0137.jpg,1
images/image-0138.bmp,2
images/image-0139.webp,3
images/image-0140.png,0
images/image-0141.jpg,1
images/image-0142.bmp,2
images/image-0143.webp,3
images/image-0144.png,0
images/image-0145.jpg,1
images/image-0146.bmp,2
images/image-0147.webp,3
images/image-0148.png,0
images/image-0149.jpg,1
images/image-0150.bmp,2
images/image-0151.webp,3
images/image-0152.png,0
images/image-0153.jpg,1
images/image-0154.bmp,2
images/image-0155.webp,3
images/image-0156.png,0
images/image-0157.jpg,1
images/image-0158.bmp,2
images/image-0159.webp,3
images/image-0160.png,0
images/image-0161.jpg,1
images/image-0162.bmp,2
images/image-0163.webp,3
images/image-0164.png,0
images/image-0165.jpg,1
images/image-0166.bmp,2
images/image-0167.webp,3
images/image-0168.png,0
images/image-0169.jpg,1
images/image-0170.bmp,2
images/image-0171.webp,3
images/image-0172.png,0
images/image-0173.jpg,1
images/image-0174.bmp,2
images/image-0175.webp,3
images/image-0176.png,0
images/image-0177.jpg,1
images/image-0178.bmp,2
images/image-0179.webp,3
