input_a,input_b,target
-11.35000000,88.65000000,123.14750000
-11.25000000,88.75000000,120.93750000
-11.15000000,88.85000000,118.74750000
-11.05000000,88.95000000,116.57750000
-10.95000000,89.05000000,114.42750000
-10.85000000,89.15000000,112.29750000
-10.75000000,89.25000000,110.18750000
-10.65000000,89.35000000,108.09750000
-10.55000000,89.45000000,106.02750000
-10.45000000,89.55000000,103.97750000
-10.35000000,89.65000000,101.94750000
-10.25000000,89.75000000,99.93750000
-10.15000000,89.85000000,97.94750000
-10.05000000,89.95000000,95.97750000
-9.95000000,90.05000000,94.02750000
-9.85000000,90.15000000,92.09750000
-9.75000000,90.25000000,90.18750000
-9.65000000,90.35000000,88.29750000
-9.55000000,90.45000000,86.42750000
-9.45000000,90.55000000,84.57750000
-9.35000000,90.65000000,82.74750000
-9.25000000,90.75000000,80.93750000
-9.15000000,90.85000000,79.14750000
-9.05000000,90.95000000,77.37750000
-8.95000000,91.05000000,75.62750000
-8.85000000,91.15000000,73.89750000
-8.75000000,91.25000000,72.18750000
-8.65000000,91.35000000,70.49750000
-8.55000000,91.45000000,68.82750000
-8.45000000,91.55000000,67.17750000
-8.35000000,91.65000000,65.54750000
-8.25000000,91.75000000,63.93750000
-8.15000000,91.85000000,62.34750000
-8.05000000,91.95000000,60.77750000
-7.95000000,92.05000000,59.22750000
-7.85000000,92.15000000,57.69750000
-7.75000000,92.25000000,56.18750000
-7.65000000,92.35000000,54.69750000
-7.55000000,92.45000000,53.22750000
-7.45000000,92.55000000,51.77750000
-7.35000000,92.65000000,50.34750000
-7.25000000,92.75000000,48.93750000
-7.15000000,92.85000000,47.54750000
-7.05000000,92.95000000,46.17750000
-6.95000000,93.05000000,44.82750000
-6.85000000,93.15000000,43.49750000
-6.75000000,93.25000000,42.18750000
-6.65000000,93.35000000,40.89750000
-6.55000000,93.45000000,39.62750000
-6.45000000,93.55000000,38.37750000
-6.35000000,93.65000000,37.14750000
-6.25000000,93.75000000,35.93750000
-6.15000000,93.85000000,34.74750000
-6.05000000,93.95000000,33.57750000
-5.95000000,94.05000000,32.42750000
-5.85000000,94.15000000,31.29750000
-5.75000000,94.25000000,30.18750000
-5.65000000,94.35000000,29.09750000
-5.55000000,94.45000000,28.02750000
-5.45000000,94.55000000,26.97750000
-5.35000000,94.65000000,25.94750000
-5.25000000,94.75000000,24.93750000
-5.15000000,94.85000000,23.94750000
-5.05000000,94.95000000,22.97750000
-4.95000000,95.05000000,22.02750000
-4.85000000,95.15000000,21.09750000
-4.75000000,95.25000000,20.18750000
-4.65000000,95.35000000,19.29750000
-4.55000000,95.45000000,18.42750000
-4.45000000,95.55000000,17.57750000
-4.35000000,95.65000000,16.74750000
-4.25000000,95.75000000,15.93750000
-4.15000000,95.85000000,15.14750000
-4.05000000,95.95000000,14.37750000
-3.95000000,96.05000000,13.62750000
-3.85000000,96.15000000,12.89750000
-3.75000000,96.25000000,12.18750000
-3.65000000,96.35000000,11.49750000
-3.55000000,96.45000000,10.82750000
-3.45000000,96.55000000,10.17750000
-3.35000000,96.65000000,9.54750000
-3.25000000,96.75000000,8.93750000
-3.15000000,96.85000000,8.34750000
-3.05000000,96.95000000,7.77750000
-2.95000000,97.05000000,7.22750000
-2.85000000,97.15000000,6.69750000
-2.75000000,97.25000000,6.18750000
-2.65000000,97.35000000,5.69750000
-2.55000000,97.45000000,5.22750000
-2.45000000,97.55000000,4.77750000
-2.35000000,97.65000000,4.34750000
-2.25000000,97.75000000,3.93750000
-2.15000000,97.85000000,3.54750000
-2.05000000,97.95000000,3.17750000
-1.95000000,98.05000000,2.82750000
-1.85000000,98.15000000,2.49750000
-1.75000000,98.25000000,2.18750000
-1.65000000,98.35000000,1.89750000
-1.55000000,98.45000000,1.62750000
-1.45000000,98.55000000,1.37750000
-1.35000000,98.65000000,1.14750000
-1.25000000,98.75000000,0.93750000
-1.15000000,98.85000000,0.74750000
-1.05000000,98.95000000,0.57750000
-0.95000000,99.05000000,0.42750000
-0.85000000,99.15000000,0.29750000
-0.75000000,99.25000000,0.18750000
-0.65000000,99.35000000,0.09750000
-0.55000000,99.45000000,0.02750000
-0.45000000,99.55000000,-0.02250000
-0.35000000,99.65000000,-0.05250000
-0.25000000,99.75000000,-0.06250000
-0.15000000,99.85000000,-0.05250000
-0.05000000,99.95000000,-0.02250000
0.05000000,100.05000000,0.02750000
0.15000000,100.15000000,0.09750000
0.25000000,100.25000000,0.18750000
0.35000000,100.35000000,0.29750000
0.45000000,100.45000000,0.42750000
0.55000000,100.55000000,0.57750000
0.65000000,100.65000000,0.74750000
0.75000000,100.75000000,0.93750000
0.85000000,100.85000000,1.14750000
0.95000000,100.95000000,1.37750000
1.05000000,101.05000000,1.62750000
1.15000000,101.15000000,1.89750000
1.25000000,101.25000000,2.18750000
1.35000000,101.35000000,2.49750000
1.45000000,101.45000000,2.82750000
1.55000000,101.55000000,3.17750000
1.65000000,101.65000000,3.54750000
1.75000000,101.75000000,3.93750000
1.85000000,101.85000000,4.34750000
1.95000000,101.95000000,4.77750000
2.05000000,102.05000000,5.22750000
2.15000000,102.15000000,5.69750000
2.25000000,102.25000000,6.18750000
2.35000000,102.35000000,6.69750000
2.45000000,102.45000000,7.22750000
2.55000000,102.55000000,7.77750000
2.65000000,102.65000000,8.34750000
2.75000000,102.75000000,8.93750000
2.85000000,102.85000000,9.54750000
2.95000000,102.95000000,10.17750000
3.05000000,103.05000000,10.82750000
3.15000000,103.15000000,11.49750000
3.25000000,103.25000000,12.18750000
3.35000000,103.35000000,12.89750000
3.45000000,103.45000000,13.62750000
3.55000000,103.55000000,14.37750000
3.65000000,103.65000000,15.14750000
3.75000000,103.75000000,15.93750000
3.85000000,103.85000000,16.74750000
3.95000000,103.95000000,17.57750000
4.05000000,104.05000000,18.42750000
4.15000000,104.15000000,19.29750000
4.25000000,104.25000000,20.18750000
4.35000000,104.35000000,21.09750000
4.45000000,104.45000000,22.02750000
4.55000000,104.55000000,22.97750000
4.65000000,104.65000000,23.94750000
4.75000000,104.75000000,24.93750000
4.85000000,104.85000000,25.94750000
4.95000000,104.95000000,26.97750000
5.05000000,105.05000000,28.02750000
5.15000000,105.15000000,29.09750000
5.25000000,105.25000000,30.18750000
5.35000000,105.35000000,31.29750000
5.45000000,105.45000000,32.42750000
5.55000000,105.55000000,33.57750000
5.65000000,105.65000000,34.74750000
5.75000000,105.75000000,35.93750000
5.85000000,105.85000000,37.14750000
5.95000000,105.95000000,38.37750000
6.05000000,106.05000000,39.62750000
6.15000000,106.15000000,40.89750000
6.25000000,106.25000000,42.18750000
6.35000000,106.35000000,43.49750000
6.45000000,106.45000000,44.82750000
6.55000000,106.55000000,46.17750000
6.65000000,106.65000000,47.54750000
6.75000000,106.75000000,48.93750000
6.85000000,106.85000000,50.34750000
6.95000000,106.95000000,51.77750000
7.05000000,107.05000000,53.22750000
7.15000000,107.15000000,54.69750000
7.25000000,107.25000000,56.18750000
7.35000000,107.35000000,57.69750000
7.45000000,107.45000000,59.22750000
7.55000000,107.55000000,60.77750000
7.65000000,107.65000000,62.34750000
7.75000000,107.75000000,63.93750000
7.85000000,107.85000000,65.54750000
7.95000000,107.95000000,67.17750000
8.05000000,108.05000000,68.82750000
8.15000000,108.15000000,70.49750000
8.25000000,108.25000000,72.18750000
