pressure_kpa,humidity_pct,airflow_cmh,target
90.0000,65.0000,8.3725,40.5789
90.9299,64.9964,8.3807,40.2617
91.8588,64.9856,8.3888,41.0181
92.7860,64.9675,8.3965,41.4803
93.7105,64.9422,8.4040,42.0997
94.6314,64.9097,8.4112,42.5446
95.5479,64.8701,8.4181,43.1493
96.4590,64.8232,8.4247,43.1312
97.3640,64.7692,8.4311,43.5540
98.2618,64.7080,8.4371,44.2550
99.1518,64.6396,8.4430,44.3098
100.0329,64.5642,8.4485,45.1230
100.9044,64.4816,8.4537,45.0012
101.7654,64.3920,8.4587,45.5936
102.6151,64.2953,8.4634,45.8526
103.4527,64.1916,8.4678,46.1856
104.2773,64.0809,8.4719,46.7486
105.0883,63.9632,8.4757,46.8540
105.8847,63.8387,8.4793,47.5425
106.6659,63.7072,8.4826,47.7671
107.4311,63.5689,8.4856,47.7620
108.1795,63.4237,8.4883,47.9956
108.9104,63.2718,8.4907,49.1997
109.6232,63.1132,8.4929,48.7795
110.3171,62.9479,8.4947,49.4175
110.9915,62.7760,8.4963,50.1139
111.6457,62.5974,8.4976,49.6409
112.2791,62.4124,8.4986,50.1968
112.8911,62.2209,8.4994,50.8632
113.4811,62.0229,8.4998,50.8350
114.0486,61.8186,8.5000,51.6677
114.5929,61.6080,8.4999,51.9169
115.1137,61.3911,8.4995,51.8917
115.6102,61.1681,8.4988,52.3275
116.0822,60.9389,8.4978,52.2649
116.5291,60.7037,8.4966,52.6130
116.9505,60.4625,8.4950,52.6096
117.3460,60.2154,8.4932,53.1268
117.7153,59.9625,8.4911,52.8310
118.0579,59.7037,8.4887,52.8297
118.3735,59.4393,8.4861,52.9709
118.6619,59.1693,8.4831,53.9814
118.9227,58.8937,8.4799,53.5636
119.1558,58.6127,8.4764,54.1804
119.3608,58.3263,8.4726,53.8747
119.5376,58.0346,8.4685,53.8544
119.6861,57.7376,8.4642,54.2451
119.8060,57.4356,8.4595,54.3046
119.8972,57.1285,8.4546,54.8809
119.9598,56.8165,8.4494,54.8963
119.9935,56.4996,8.4440,54.4324
119.9984,56.1779,8.4382,54.6028
119.9745,55.8516,8.4322,55.0254
119.9218,55.5207,8.4259,55.1280
119.8404,55.1853,8.4193,54.2284
119.7302,54.8455,8.4124,54.7218
119.5915,54.5014,8.4053,55.1166
119.4244,54.1531,8.3978,54.5690
119.2290,53.8007,8.3901,54.9701
119.0055,53.4444,8.3822,54.9980
118.7541,53.0841,8.3739,54.8348
118.4751,52.7201,8.3654,53.9995
118.1688,52.3524,8.3566,53.9791
117.8353,51.9812,8.3476,54.3311
117.4752,51.6064,8.3383,54.1862
117.0886,51.2284,8.3286,54.0910
116.6760,50.8470,8.3188,53.6158
116.2377,50.4626,8.3086,54.0751
115.7743,50.0751,8.2982,53.4550
115.2861,49.6847,8.2876,53.3584
114.7735,49.2915,8.2766,53.1554
114.2372,48.8956,8.2654,52.7849
113.6776,48.4972,8.2539,53.1859
113.0952,48.0963,8.2422,52.5462
112.4907,47.6930,8.2302,52.4482
111.8645,47.2875,8.2180,52.8060
111.2173,46.8800,8.2054,51.7984
110.5498,46.4704,8.1927,52.2462
109.8624,46.0590,8.1796,51.3736
109.1560,45.6458,8.1663,51.3737
108.4312,45.2310,8.1528,51.1040
107.6887,44.8146,8.1390,51.4540
106.9292,44.3969,8.1249,50.4230
106.1534,43.9779,8.1106,50.6208
105.3621,43.5578,8.0960,50.2958
104.5560,43.1366,8.0812,50.3314
103.7360,42.7145,8.0661,49.6085
102.9027,42.2917,8.0508,49.4656
102.0570,41.8682,8.0353,48.6079
101.1998,41.4441,8.0195,48.5801
100.3318,41.0196,8.0034,47.9852
99.4539,40.5949,7.9871,47.8546
98.5669,40.1699,7.9706,47.2921
97.6716,39.7449,7.9538,47.6242
96.7690,39.3200,7.9368,46.7973
95.8599,38.8953,7.9195,47.0398
94.9451,38.4709,7.9020,46.6280
94.0256,38.0469,7.8843,46.2255
93.1022,37.6235,7.8664,45.6065
92.1759,37.2008,7.8482,44.9279
91.2474,36.7789,7.8297,44.6295
90.3178,36.3579,7.8111,44.2479
89.3878,35.9380,7.7922,44.6233
88.4585,35.5193,7.7731,43.6266
87.5306,35.1018,7.7538,43.1541
86.6051,34.6858,7.7342,42.8943
85.6828,34.2713,7.7144,42.4342
84.7647,33.8584,7.6944,42.7626
83.8517,33.4474,7.6742,42.5873
82.9445,33.0382,7.6538,41.6554
82.0441,32.6310,7.6332,41.0755
81.1514,32.2260,7.6123,41.1328
80.2671,31.8232,7.5912,41.1261
79.3923,31.4228,7.5699,40.9684
78.5276,31.0248,7.5485,40.4848
77.6739,30.6295,7.5268,39.4208
76.8321,30.2368,7.5049,39.6195
76.0029,29.8470,7.4828,39.5595
75.1872,29.4601,7.4605,38.5171
74.3857,29.0763,7.4380,38.6378
73.5993,28.6956,7.4153,37.9648
72.8286,28.3182,7.3924,37.6545
72.0743,27.9441,7.3693,37.7347
71.3373,27.5736,7.3460,37.1077
70.6183,27.2066,7.3225,37.5911
69.9179,26.8433,7.2989,36.4703
69.2367,26.4839,7.2750,36.2295
68.5755,26.1283,7.2510,35.9974
67.9349,25.7768,7.2268,35.9698
67.3155,25.4293,7.2024,35.9482
66.7180,25.0861,7.1778,36.1542
66.1427,24.7472,7.1531,35.7056
