pressure_kpa;humidity_pct;airflow_cmh;target
89.7689;65.0072;8.2912;34.0845
90.9454;64.8107;8.3078;34.7260
92.0273;65.1059;8.3269;35.9803
92.7498;64.7467;8.3447;36.2034
93.4697;65.2111;8.3600;35.8164
94.5401;64.9128;8.3696;36.6481
95.2062;65.1726;8.3706;36.7132
96.6808;64.6426;8.3787;37.4429
97.4877;64.6196;8.3577;36.8427
97.7784;64.9033;8.3825;37.2133
98.9044;64.7613;8.3852;37.4593
99.6090;64.8882;8.4052;38.0550
101.0193;64.4775;8.3948;38.5753
102.0726;64.7995;8.4065;39.0404
102.4217;64.9371;8.4084;39.0259
103.1298;64.4841;8.3869;38.8043
104.4789;64.9633;8.3806;40.3229
105.1991;64.3763;8.3809;40.2845
106.3706;64.3583;8.4095;39.9755
107.4474;64.7530;8.3898;40.9007
107.9517;64.4777;8.3805;41.2877
109.2095;64.8631;8.3842;40.9330
109.9577;64.5632;8.3620;41.6404
111.0675;64.7333;8.3616;41.7350
111.6740;64.2764;8.3385;42.1159
112.2826;64.3542;8.3528;42.0713
113.1123;64.4583;8.3277;42.6257
114.2030;64.5133;8.3141;43.1505
114.8404;64.7211;8.2958;43.5497
116.1532;64.5519;8.2888;43.9067
117.0091;64.4335;8.2977;43.8072
117.5680;64.2642;8.2856;44.0474
118.9426;64.4757;8.2571;44.7800
119.8777;64.1175;8.2383;44.8410
90.4186;64.5428;8.2308;35.2630
91.8289;64.1104;8.2213;35.7216
92.7695;64.1479;8.2226;35.4018
93.5647;64.4736;8.2281;35.7713
93.8319;64.0159;8.2302;36.1257
95.2562;64.4331;8.2231;36.5966
95.9480;64.3283;8.2144;37.0720
96.5210;64.3786;8.2048;36.4833
98.1159;64.3338;8.2086;37.9655
98.8932;64.1675;8.2133;37.4155
99.6084;64.3060;8.1911;37.5616
100.4859;64.3637;8.1945;38.9642
101.1264;64.0435;8.2118;39.1272
101.9837;63.9587;8.2263;38.4068
103.0663;64.2246;8.2051;39.7473
103.9570;64.2405;8.2129;40.1151
105.0463;63.7158;8.2418;40.0796
106.2472;63.9500;8.2489;40.4814
106.4591;64.2571;8.2572;40.5616
107.4489;64.2224;8.2552;40.3445
108.2221;63.9846;8.2758;41.6423
109.1361;63.7158;8.2688;41.1432
110.2694;64.1029;8.2795;42.1765
111.2803;63.7072;8.2911;41.7341
112.3371;63.9853;8.3080;42.6544
113.0302;63.7051;8.3406;42.8450
113.8094;63.7041;8.3536;42.5895
114.6425;63.7783;8.3509;43.0457
115.9582;63.6605;8.3685;44.1237
116.6885;63.8359;8.3644;44.1314
117.6493;63.6855;8.3562;43.8258
118.7106;63.9035;8.3847;44.8172
119.0501;63.5222;8.3767;45.1812
89.9092;63.5160;8.3735;35.0057
91.3148;63.3788;8.4019;35.5560
92.1622;63.4882;8.4076;35.4564
92.6870;63.6270;8.4069;35.7630
93.7302;63.4105;8.4131;36.0585
94.5494;63.7956;8.4144;36.7063
95.9478;63.3926;8.4143;36.6380
96.9973;63.7436;8.4074;36.6171
97.8351;63.7042;8.3933;37.8450
98.3038;63.3845;8.3718;37.5240
