input_a,input_b,target_a,target_b
-8.50000000,91.50000000,68.00000000,78.00000000
-8.40000000,91.60000000,66.36000000,76.36000000
-8.30000000,91.70000000,64.74000000,74.74000000
-8.20000000,91.80000000,63.14000000,73.14000000
-8.10000000,91.90000000,61.56000000,71.56000000
-8.00000000,92.00000000,60.00000000,70.00000000
-7.90000000,92.10000000,58.46000000,68.46000000
-7.80000000,92.20000000,56.94000000,66.94000000
-7.70000000,92.30000000,55.44000000,65.44000000
-7.60000000,92.40000000,53.96000000,63.96000000
-7.50000000,92.50000000,52.50000000,62.50000000
-7.40000000,92.60000000,51.06000000,61.06000000
-7.30000000,92.70000000,49.64000000,59.64000000
-7.20000000,92.80000000,48.24000000,58.24000000
-7.10000000,92.90000000,46.86000000,56.86000000
-7.00000000,93.00000000,45.50000000,55.50000000
-6.90000000,93.10000000,44.16000000,54.16000000
-6.80000000,93.20000000,42.84000000,52.84000000
-6.70000000,93.30000000,41.54000000,51.54000000
-6.60000000,93.40000000,40.26000000,50.26000000
-6.50000000,93.50000000,39.00000000,49.00000000
-6.40000000,93.60000000,37.76000000,47.76000000
-6.30000000,93.70000000,36.54000000,46.54000000
-6.20000000,93.80000000,35.34000000,45.34000000
-6.10000000,93.90000000,34.16000000,44.16000000
-6.00000000,94.00000000,33.00000000,43.00000000
-5.90000000,94.10000000,31.86000000,41.86000000
-5.80000000,94.20000000,30.74000000,40.74000000
-5.70000000,94.30000000,29.64000000,39.64000000
-5.60000000,94.40000000,28.56000000,38.56000000
-5.50000000,94.50000000,27.50000000,37.50000000
-5.40000000,94.60000000,26.46000000,36.46000000
-5.30000000,94.70000000,25.44000000,35.44000000
-5.20000000,94.80000000,24.44000000,34.44000000
-5.10000000,94.90000000,23.46000000,33.46000000
-5.00000000,95.00000000,22.50000000,32.50000000
-4.90000000,95.10000000,21.56000000,31.56000000
-4.80000000,95.20000000,20.64000000,30.64000000
-4.70000000,95.30000000,19.74000000,29.74000000
-4.60000000,95.40000000,18.86000000,28.86000000
-4.50000000,95.50000000,18.00000000,28.00000000
-4.40000000,95.60000000,17.16000000,27.16000000
-4.30000000,95.70000000,16.34000000,26.34000000
-4.20000000,95.80000000,15.54000000,25.54000000
-4.10000000,95.90000000,14.76000000,24.76000000
-4.00000000,96.00000000,14.00000000,24.00000000
-3.90000000,96.10000000,13.26000000,23.26000000
-3.80000000,96.20000000,12.54000000,22.54000000
-3.70000000,96.30000000,11.84000000,21.84000000
-3.60000000,96.40000000,11.16000000,21.16000000
-3.50000000,96.50000000,10.50000000,20.50000000
-3.40000000,96.60000000,9.86000000,19.86000000
-3.30000000,96.70000000,9.24000000,19.24000000
-3.20000000,96.80000000,8.64000000,18.64000000
-3.10000000,96.90000000,8.06000000,18.06000000
-3.00000000,97.00000000,7.50000000,17.50000000
-2.90000000,97.10000000,6.96000000,16.96000000
-2.80000000,97.20000000,6.44000000,16.44000000
-2.70000000,97.30000000,5.94000000,15.94000000
-2.60000000,97.40000000,5.46000000,15.46000000
-2.50000000,97.50000000,5.00000000,15.00000000
-2.40000000,97.60000000,4.56000000,14.56000000
-2.30000000,97.70000000,4.14000000,14.14000000
-2.20000000,97.80000000,3.74000000,13.74000000
-2.10000000,97.90000000,3.36000000,13.36000000
-2.00000000,98.00000000,3.00000000,13.00000000
-1.90000000,98.10000000,2.66000000,12.66000000
-1.80000000,98.20000000,2.34000000,12.34000000
-1.70000000,98.30000000,2.04000000,12.04000000
-1.60000000,98.40000000,1.76000000,11.76000000
-1.50000000,98.50000000,1.50000000,11.50000000
-1.40000000,98.60000000,1.26000000,11.26000000
-1.30000000,98.70000000,1.04000000,11.04000000
-1.20000000,98.80000000,0.84000000,10.84000000
-1.10000000,98.90000000,0.66000000,10.66000000
-1.00000000,99.00000000,0.50000000,10.50000000
-0.90000000,99.10000000,0.36000000,10.36000000
-0.80000000,99.20000000,0.24000000,10.24000000
-0.70000000,99.30000000,0.14000000,10.14000000
-0.60000000,99.40000000,0.06000000,10.06000000
-0.50000000,99.50000000,0.00000000,10.00000000
-0.40000000,99.60000000,-0.04000000,9.96000000
-0.30000000,99.70000000,-0.06000000,9.94000000
-0.20000000,99.80000000,-0.06000000,9.94000000
-0.10000000,99.90000000,-0.04000000,9.96000000
0.00000000,100.00000000,0.00000000,10.00000000
0.10000000,100.10000000,0.06000000,10.06000000
0.20000000,100.20000000,0.14000000,10.14000000
0.30000000,100.30000000,0.24000000,10.24000000
0.40000000,100.40000000,0.36000000,10.36000000
0.50000000,100.50000000,0.50000000,10.50000000
0.60000000,100.60000000,0.66000000,10.66000000
0.70000000,100.70000000,0.84000000,10.84000000
0.80000000,100.80000000,1.04000000,11.04000000
0.90000000,100.90000000,1.26000000,11.26000000
1.00000000,101.00000000,1.50000000,11.50000000
1.10000000,101.10000000,1.76000000,11.76000000
1.20000000,101.20000000,2.04000000,12.04000000
1.30000000,101.30000000,2.34000000,12.34000000
1.40000000,101.40000000,2.66000000,12.66000000
1.50000000,101.50000000,3.00000000,13.00000000
1.60000000,101.60000000,3.36000000,13.36000000
1.70000000,101.70000000,3.74000000,13.74000000
1.80000000,101.80000000,4.14000000,14.14000000
1.90000000,101.90000000,4.56000000,14.56000000
2.00000000,102.00000000,5.00000000,15.00000000
2.10000000,102.10000000,5.46000000,15.46000000
2.20000000,102.20000000,5.94000000,15.94000000
2.30000000,102.30000000,6.44000000,16.44000000
2.40000000,102.40000000,6.96000000,16.96000000
2.50000000,102.50000000,7.50000000,17.50000000
2.60000000,102.60000000,8.06000000,18.06000000
2.70000000,102.70000000,8.64000000,18.64000000
2.80000000,102.80000000,9.24000000,19.24000000
2.90000000,102.90000000,9.86000000,19.86000000
3.00000000,103.00000000,10.50000000,20.50000000
3.10000000,103.10000000,11.16000000,21.16000000
3.20000000,103.20000000,11.84000000,21.84000000
3.30000000,103.30000000,12.54000000,22.54000000
3.40000000,103.40000000,13.26000000,23.26000000
3.50000000,103.50000000,14.00000000,24.00000000
3.60000000,103.60000000,14.76000000,24.76000000
3.70000000,103.70000000,15.54000000,25.54000000
3.80000000,103.80000000,16.34000000,26.34000000
3.90000000,103.90000000,17.16000000,27.16000000
4.00000000,104.00000000,18.00000000,28.00000000
4.10000000,104.10000000,18.86000000,28.86000000
4.20000000,104.20000000,19.74000000,29.74000000
4.30000000,104.30000000,20.64000000,30.64000000
4.40000000,104.40000000,21.56000000,31.56000000
4.50000000,104.50000000,22.50000000,32.50000000
4.60000000,104.60000000,23.46000000,33.46000000
4.70000000,104.70000000,24.44000000,34.44000000
4.80000000,104.80000000,25.44000000,35.44000000
4.90000000,104.90000000,26.46000000,36.46000000
5.00000000,105.00000000,27.50000000,37.50000000
5.10000000,105.10000000,28.56000000,38.56000000
5.20000000,105.20000000,29.64000000,39.64000000
5.30000000,105.30000000,30.74000000,40.74000000
5.40000000,105.40000000,31.86000000,41.86000000
5.50000000,105.50000000,33.00000000,43.00000000
5.60000000,105.60000000,34.16000000,44.16000000
5.70000000,105.70000000,35.34000000,45.34000000
5.80000000,105.80000000,36.54000000,46.54000000
5.90000000,105.90000000,37.76000000,47.76000000
6.00000000,106.00000000,39.00000000,49.00000000
6.10000000,106.10000000,40.26000000,50.26000000
6.20000000,106.20000000,41.54000000,51.54000000
6.30000000,106.30000000,42.84000000,52.84000000
6.40000000,106.40000000,44.16000000,54.16000000
6.50000000,106.50000000,45.50000000,55.50000000
6.60000000,106.60000000,46.86000000,56.86000000
6.70000000,106.70000000,48.24000000,58.24000000
6.80000000,106.80000000,49.64000000,59.64000000
6.90000000,106.90000000,51.06000000,61.06000000
7.00000000,107.00000000,52.50000000,62.50000000
7.10000000,107.10000000,53.96000000,63.96000000
7.20000000,107.20000000,55.44000000,65.44000000
7.30000000,107.30000000,56.94000000,66.94000000
7.40000000,107.40000000,58.46000000,68.46000000
7.50000000,107.50000000,60.00000000,70.00000000
7.60000000,107.60000000,61.56000000,71.56000000
7.70000000,107.70000000,63.14000000,73.14000000
7.80000000,107.80000000,64.74000000,74.74000000
7.90000000,107.90000000,66.36000000,76.36000000
8.00000000,108.00000000,68.00000000,78.00000000
8.10000000,108.10000000,69.66000000,79.66000000
8.20000000,108.20000000,71.34000000,81.34000000
8.30000000,108.30000000,73.04000000,83.04000000
8.40000000,108.40000000,74.76000000,84.76000000
