pressure_kpa,humidity_pct,airflow_cmh,target,energy_index
89.6345,64.9300,8.3014,34.1370,21.3442
90.7988,65.1715,8.3121,35.5881,21.5893
91.7270,65.0852,8.3060,35.4018,21.1946
92.3251,65.0094,8.3352,35.2685,21.4881
93.8672,64.8730,8.3439,36.3976,
94.8565,64.6536,8.3517,36.2632,21.7413
95.4128,64.8943,8.3762,36.6175,22.4038
96.5354,65.0430,8.3885,37.2838,22.0708
97.1223,65.0085,8.3823,36.9142,22.4121
97.8472,65.0496,8.3874,37.9067,22.3853
99.1148,64.5369,8.3914,37.8332,23.1875
100.0773,64.9947,8.3918,38.1830,23.2107
100.4213,64.7510,8.4016,38.1799,23.1023
101.9853,64.7723,8.4039,38.4431,23.2553
102.4476,64.8365,8.3885,38.8778,23.0847
103.8667,64.4008,8.4049,39.6010,
104.2017,64.6609,8.3826,39.6145,24.0808
105.6340,64.9490,8.3960,39.7297,23.8860
106.0057,64.8857,8.3963,39.9390,24.0209
106.8645,64.6707,8.3822,40.4251,24.5161
107.6183,64.7674,8.3903,40.7454,24.1490
109.0872,64.4292,8.3806,41.3664,24.6942
110.1052,64.6365,8.3460,41.6133,24.9399
110.5276,64.3163,8.3705,41.5919,25.0390
111.9994,64.5858,8.3646,42.9987,25.0704
112.1140,64.6875,8.3217,42.0747,25.5412
113.7390,64.7021,8.3349,43.4519,
114.4023,64.3888,8.3127,42.8776,25.7606
114.8878,64.4827,8.2886,43.9384,25.9217
115.8490,64.3813,8.3063,43.6139,25.5917
117.2152,64.1114,8.2989,44.7924,25.8445
118.2355,64.4137,8.2596,44.3416,26.0189
118.5564,64.2062,8.2479,44.4695,26.5752
119.6273,64.4413,8.2508,44.9763,26.2640
90.5074,64.3074,8.2437,35.1298,21.6119
91.3288,64.1884,8.2202,35.6700,21.3614
92.6153,64.1047,8.2277,36.1622,21.5671
93.0765,64.2062,8.2348,35.5577,
94.5416,64.1109,8.2298,36.8402,22.1189
95.2279,64.1240,8.2113,35.9645,21.7866
95.6935,64.0674,8.1867,37.2330,22.1638
97.0574,64.3726,8.2044,37.7124,22.0636
97.6258,64.1981,8.2136,36.9288,22.1525
98.6642,64.0001,8.2096,37.5234,22.5885
99.3360,64.0242,8.1993,37.4282,22.4453
100.1268,64.3411,8.1912,37.6621,22.6871
101.2609,64.2499,8.2135,38.1887,23.2984
102.1464,64.1221,8.2097,38.7299,23.1348
103.0226,64.1360,8.2361,38.9108,
104.1873,64.1804,8.2247,39.7852,23.3080
105.3192,63.9383,8.2499,40.1100,23.6093
105.5610,64.2787,8.2438,39.7436,23.8538
106.6594,63.8320,8.2665,40.3932,24.3634
107.8858,64.1372,8.2659,40.4836,24.3985
108.7345,64.1039,8.2544,41.2566,24.4278
109.4229,64.1778,8.2696,41.0045,24.6275
110.3527,63.9877,8.2929,41.7614,24.7608
111.1242,63.7025,8.3171,42.6017,24.8130
111.9007,63.9315,8.3185,42.7675,24.9649
112.7253,63.6849,8.3364,42.4143,
114.0472,64.0267,8.3311,43.1290,25.4929
114.7866,63.9539,8.3368,43.8581,25.8241
115.5640,64.0106,8.3590,43.4381,26.1013
117.0680,63.5998,8.3558,44.3323,26.4130
117.7772,63.4452,8.3928,44.1759,26.1174
118.6465,63.7417,8.3796,44.6366,26.2837
119.1698,63.6772,8.4062,45.2653,26.2401
90.4648,63.4414,8.3879,34.9031,20.9887
91.2771,63.7944,8.4015,35.7196,21.6060
92.0733,63.5582,8.4154,35.2427,21.6607
93.2352,63.4091,8.3827,35.9813,
94.2026,63.4132,8.4069,35.6722,21.8940
94.7762,63.8309,8.3870,36.7139,21.9656
95.7225,63.5327,8.3806,36.2919,22.2540
96.3779,63.5293,8.3972,36.7540,22.7255
97.8512,63.3578,8.3923,37.7425,22.8754
98.5208,63.6882,8.3976,37.9766,22.8667
99.0724,63.6644,8.3859,37.8869,23.0583
100.4615,63.5466,8.3738,38.5082,22.8682
101.3787,63.2248,8.3663,39.1192,23.5005
102.1873,63.5333,8.3569,38.8702,23.7798
102.5965,63.4586,8.3384,39.4836,
103.9984,63.3638,8.3388,39.7362,23.6590
104.9917,63.6132,8.3323,39.6799,24.0110
105.8715,63.1560,8.3001,40.0137,24.1129
106.3600,63.3609,8.3036,40.8039,24.1083
107.5645,62.9921,8.3058,40.9571,24.3081
108.4002,63.0323,8.2870,41.2827,24.2980
108.9887,63.2638,8.2711,41.4248,24.5842
110.0063,62.9301,8.2624,41.3373,24.8833
110.9087,62.9280,8.2298,41.8107,24.9783
112.1436,63.1749,8.2506,42.2607,25.3003
112.5321,63.3908,8.2096,43.0852,
113.5574,63.3477,8.2097,42.5789,25.5875
114.2524,63.0030,8.2181,42.7619,25.4589
115.2622,63.0499,8.1938,43.7711,26.0129
116.3725,62.9320,8.2127,43.4261,25.9257
117.3754,62.9664,8.2136,44.1578,25.7624
117.9448,63.0536,8.2046,44.8200,25.9396
119.2954,62.8496,8.2107,44.4003,26.1545
90.1712,62.9430,8.2164,34.7593,21.2201
91.1627,63.2685,8.1937,35.4635,21.0149
91.4345,63.1535,8.2254,35.4014,21.4603
92.8828,62.8847,8.2047,35.0683,
93.6160,62.6290,8.1978,35.3196,21.8734
94.8684,63.0934,8.2265,36.0966,21.6393
95.2433,62.5851,8.2451,35.9713,21.8045
96.5035,62.9321,8.2510,36.3588,22.2158
96.9536,62.8483,8.2586,37.5173,22.1092
97.7465,63.0627,8.2668,37.7865,22.2843
99.1958,62.8026,8.2636,37.6459,23.1012
99.8581,63.0159,8.2834,38.6605,22.9327
100.9909,62.6844,8.2813,38.7763,23.4411
102.0974,62.9575,8.3169,38.4070,23.3821
102.2508,62.7103,8.2943,38.4791,
103.5590,62.8400,8.3304,39.9109,23.3412
104.0903,62.8346,8.3141,39.6584,23.9618
105.2397,62.8418,8.3487,40.5500,24.0384
106.1135,62.6633,8.3330,40.0442,23.9141
107.2913,62.7158,8.3513,41.2379,24.2727
108.2390,62.4955,8.3527,41.0549,24.7145
109.2272,62.8100,8.3953,41.9076,24.6972
109.8523,62.5542,8.3841,41.3770,24.8045
110.6040,62.8032,8.3866,42.3820,24.5995
111.2904,62.3467,8.4022,42.4820,24.9336
112.3257,62.3526,8.4075,42.8063,
