pressure_kpa;humidity_pct;airflow_cmh;target;energy_index
90.2143;65.0485;8.2821;35.1792;20.9462
90.8951;65.0594;8.3113;35.3077;21.2167
91.7505;65.1688;8.3406;34.8110;21.8448
92.9270;65.0373;8.3457;35.5409;21.6603
93.3669;65.0651;8.3625;35.6922;
94.2471;65.0123;8.3479;36.3489;21.6974
95.7545;65.1544;8.3556;36.6606;22.6186
95.9119;65.0085;8.3590;37.2426;22.1883
97.4438;64.6214;8.3822;37.1952;22.7696
98.2371;64.5563;8.3714;37.1356;23.0332
99.1991;64.7493;8.3963;38.2859;22.5554
100.0453;64.9778;8.3920;38.5901;23.3081
100.9546;64.5538;8.4115;38.9929;23.5766
101.8394;65.0152;8.3967;38.9700;23.1743
102.2981;64.5792;8.4161;38.5792;23.4717
103.4158;64.5486;8.3878;39.2550;
104.1653;64.6652;8.3964;39.5452;24.1367
105.4668;64.6190;8.4021;40.3963;24.1168
105.9243;64.3771;8.3782;40.5414;24.1596
107.1985;64.5783;8.3788;40.9521;24.2911
108.0712;64.7277;8.3824;40.9858;24.6916
109.1007;64.6049;8.3806;41.9266;24.4389
110.1546;64.6740;8.3772;42.0416;24.4740
110.8592;64.6671;8.3471;42.5610;24.9730
111.9498;64.5964;8.3597;42.5404;25.1143
112.5207;64.7439;8.3531;42.9885;24.9008
113.4161;64.6554;8.3365;42.5702;
114.3675;64.1926;8.2982;43.3772;25.6044
114.9888;64.2577;8.2878;42.9674;25.8002
116.3557;64.1698;8.3049;43.8146;25.5286
116.9681;64.2057;8.2962;44.2201;26.1382
118.2303;64.4040;8.2548;44.1764;26.2544
119.1775;64.4759;8.2566;45.4679;26.5021
119.8201;64.5680;8.2645;45.5972;26.7970
90.7017;64.4557;8.2346;35.5377;21.1146
91.8026;64.4122;8.2302;35.8729;21.6757
92.2116;64.3732;8.2077;35.0839;21.7079
93.2807;64.0613;8.2125;35.3308;
93.8290;64.2591;8.2145;35.5527;21.6526
94.7522;63.9539;8.1908;36.2552;22.0937
95.7375;64.1047;8.2066;36.2747;22.3343
96.8122;64.4347;8.1970;36.5683;22.7346
97.7354;64.0030;8.2007;37.3745;22.8233
98.4481;64.1430;8.2040;37.9080;22.8943
99.7848;64.0904;8.1834;38.2709;23.2478
100.5668;63.9046;8.2083;37.9250;23.2376
101.6736;64.2375;8.1912;38.9363;23.3183
102.5814;64.3370;8.2304;38.5709;23.3863
103.3012;63.9706;8.2089;39.7147;
103.8893;63.8889;8.2116;39.2125;23.2429
105.1120;64.1296;8.2366;40.4128;23.6106
105.5805;63.9910;8.2254;40.3426;23.7470
107.1832;63.9796;8.2325;40.4191;24.1539
107.8863;63.9524;8.2437;40.5262;24.0090
108.8568;64.0498;8.2537;41.0923;24.3623
109.7706;63.7317;8.2866;41.3449;24.5739
110.7217;63.7312;8.2893;41.8341;24.9680
110.9051;63.6574;8.3200;41.4545;25.1134
112.2510;63.8409;8.3152;42.3627;25.0061
113.2876;64.1083;8.3124;42.9885;
113.9987;63.5360;8.3431;42.9489;25.2894
115.2436;63.6875;8.3416;43.1524;26.0088
115.6637;63.7219;8.3691;43.6440;26.2379
116.3452;63.7365;8.3737;44.1537;25.8523
117.8835;63.5962;8.3783;44.1099;26.2717
118.7598;63.9850;8.3954;44.8082;26.0567
119.4400;63.6925;8.3731;44.9613;26.5368
90.5857;63.6245;8.4099;35.3141;21.4459
91.2491;63.6774;8.4011;35.2199;21.3942
92.1222;63.3394;8.3913;35.8041;21.6793
93.2253;63.5521;8.3917;35.3227;
94.0188;63.7025;8.3927;36.3859;21.5678
94.9027;63.5996;8.4053;36.8865;22.0691
95.4810;63.3555;8.4054;36.5100;22.4805
96.8320;63.5003;8.3847;36.7422;22.0866
97.6864;63.7501;8.3849;37.8774;22.7533
98.1950;63.1924;8.3706;37.2354;22.9684
99.4251;63.4956;8.3796;37.7941;22.6906
99.8947;63.2324;8.3721;38.1060;22.9869
101.2145;63.4619;8.3639;38.9569;23.1255
101.7411;63.3592;8.3679;39.2270;23.4594
103.0324;63.2138;8.3297;39.7995;
104.1565;63.5909;8.3127;39.5595;24.0679
104.7536;63.4219;8.3269;40.0571;24.0484
105.7937;63.4835;8.3180;39.9108;24.0843
106.1759;63.5647;8.2885;40.4273;24.1669
107.5412;63.0240;8.2872;40.6774;24.3194
108.5926;63.1600;8.2894;41.1707;24.3332
109.1801;63.1461;8.2615;41.3880;24.8483
109.9604;63.3928;8.2583;41.5348;24.4607
111.1169;63.4224;8.2442;41.5619;24.7001
111.6459;62.9531;8.2390;42.3370;25.0875
113.1645;63.3548;8.2432;43.0359;
113.8953;63.2200;8.2190;43.5720;25.4961
114.4307;63.1049;8.2266;42.9260;25.1614
115.6228;63.1670;8.2013;43.3803;25.6048
116.4382;62.9430;8.2183;43.5127;25.9381
117.1047;63.3276;8.2143;43.7416;26.0374
117.9266;63.3319;8.2111;44.7257;25.9546
119.3509;63.0967;8.2042;45.1901;26.2578
89.6736;63.0113;8.1994;34.1832;21.0588
90.7621;63.0747;8.1981;35.0131;21.2474
92.1778;62.8796;8.2117;35.9143;21.6744
92.8375;63.0404;8.2222;36.0471;
93.4033;62.7630;8.2228;36.0771;22.0712
94.4276;62.8911;8.2241;36.1297;22.3139
95.6282;62.6647;8.2450;36.2434;21.9599
95.9658;62.7590;8.2405;36.6377;22.0487
96.8445;62.9213;8.2466;37.0106;22.2018
98.1213;63.0194;8.2437;37.6763;22.5791
99.0891;62.5670;8.2729;37.9241;22.9506
100.1711;62.9758;8.2705;37.7875;23.1315
100.7197;62.7940;8.3055;38.6455;22.8791
101.7259;62.7224;8.3162;38.8710;23.1411
102.6867;62.5634;8.2923;39.4696;
103.8808;62.6593;8.3161;40.0498;23.3184
104.3676;62.5550;8.3363;39.6143;23.7787
105.2501;62.8077;8.3341;39.9565;23.9884
106.0034;62.7267;8.3388;40.1398;24.4812
107.2571;62.4700;8.3600;41.1047;24.2153
107.9849;62.8189;8.3713;40.7692;24.3063
108.6924;62.3411;8.3686;40.9249;24.3905
109.9808;62.7411;8.3979;41.8076;24.7443
110.3319;62.2902;8.3882;42.1322;24.5060
111.8538;62.3684;8.3881;42.6789;25.0303
112.7689;62.6254;8.4149;43.1976;
113.2538;62.5702;8.4012;43.0387;25.6507
114.4687;62.5689;8.3983;43.5440;25.4415
115.3665;62.2906;8.3989;43.7303;25.9615
115.9243;62.6877;8.4012;43.6267;26.1503
117.2816;62.3136;8.4096;43.8201;26.3034
118.0521;62.3838;8.3773;44.8076;26.0662
118.7200;62.5483;8.3986;45.1455;26.4329
119.8128;62.2582;8.3903;45.4147;26.2745
90.8299;62.3847;8.3563;34.6242;21.2096
91.1505;62.1555;8.3790;35.4240;21.5794
92.4921;62.5133;8.3554;35.7749;
93.6628;62.2448;8.3298;36.1460;21.4733
94.2252;62.2596;8.3516;35.8997;21.6519
94.8001;62.0808;8.3306;36.8208;21.7661
96.2353;62.3983;8.3080;36.5948;22.0747
96.7059;62.4047;8.3144;36.3988;22.3241
97.5371;62.1325;8.3129;37.7627;22.7411
98.8503;62.0432;8.2851;37.1054;22.8165
99.2842;62.1507;8.2729;37.6147;23.0601
100.8694;62.3297;8.2518;37.9006;23.1267
101.6143;61.9009;8.2413;39.1579;23.1682
102.4625;61.8088;8.2518;38.7038;
102.8515;62.1861;8.2363;38.7208;23.7851
103.8107;61.9078;8.2386;39.5289;23.6340
105.3877;61.9125;8.2042;39.7730;23.8799
105.7105;62.0450;8.2304;40.4785;23.8084
106.5645;62.0399;8.2232;40.7884;23.8513
107.8580;62.0107;8.1999;40.2597;24.2969
108.2552;62.1760;8.2086;41.1634;24.4522
109.3027;61.6810;8.1847;40.7739;24.5405
110.0477;61.7621;8.2181;42.0811;24.9035
111.4190;61.8054;8.2158;41.9979;25.3112
112.0068;61.9473;8.1986;42.8363;
112.9818;61.7521;8.1969;42.5382;25.4694
114.2721;61.7654;8.1936;42.6533;25.2382
114.6719;61.7942;8.2140;43.6649;25.7417
115.7189;61.5396;8.2439;43.1703;26.0162
116.6030;61.7321;8.2352;44.3549;26.1308
117.5616;61.9524;8.2303;44.3592;25.8353
118.4591;61.4844;8.2340;44.8533;26.2413
119.7222;61.7969;8.2489;44.7241;26.6545
90.1051;61.4153;8.2852;34.9113;20.9678
91.4371;61.5115;8.2953;35.6311;21.4108
92.3513;61.8338;8.2954;35.4272;
93.2497;61.8389;8.3227;36.2981;21.6191
94.2442;61.7217;8.3186;35.5059;22.3313
94.4087;61.3265;8.3385;36.2908;21.6486
95.8968;61.7988;8.3234;36.6403;22.3565
96.4411;61.2560;8.3418;37.0606;22.1139
97.3766;61.4019;8.3548;37.5752;22.6592
98.6404;61.2909;8.3706;37.1935;22.5529
99.1823;61.6209;8.3824;37.2663;22.8810
100.4131;61.5521;8.3915;38.2111;23.4982
101.3240;61.4075;8.3754;38.4352;23.5775
102.1914;61.4623;8.3819;38.2885;
102.9329;61.4829;8.3807;38.8212;23.5327
103.7817;61.4409;8.4102;39.7318;23.3385
104.5673;61.4780;8.3957;39.9422;23.7509
105.3989;61.6166;8.4069;40.2945;24.0841
106.4292;61.0204;8.3989;39.7056;24.1510
107.4143;61.5039;8.4162;40.7090;24.7040
108.5082;61.0570;8.4033;41.0084;24.8273
108.9074;61.0922;8.3803;40.6942;24.3361
110.3759;61.4602;8.3726;42.0664;25.0240
110.8530;61.2031;8.3724;42.4267;25.3461
111.6989;60.9295;8.3680;41.9010;
112.8601;61.2452;8.3507;42.5759;25.1695
113.4132;61.0304;8.3326;43.3097;25.1313
114.2877;61.4114;8.3613;43.3751;25.6357
115.8269;60.9147;8.3490;43.5870;25.9805
116.3456;61.3677;8.3245;44.3784;25.8860
117.2418;61.1051;8.3012;44.4198;26.2446
118.2828;60.7643;8.2850;44.1722;26.0009
119.4133;61.0317;8.2945;44.5835;26.2544
90.3302;60.8943;8.2938;34.0653;20.9057
90.6982;61.1456;8.2721;34.6438;21.6269
92.0632;60.7052;8.2385;34.7617;
92.3938;60.6415;8.2662;35.1874;21.9262
93.8152;61.0567;8.2562;35.8417;21.7020
94.5979;60.8103;8.2128;36.6913;21.6283
95.6736;60.8401;8.2288;36.3377;22.4353
96.5424;60.6780;8.2158;36.2949;22.3863
97.5591;60.9588;8.2074;37.5244;22.4900
97.9523;61.0648;8.2026;37.4463;22.7469
99.0459;60.6055;8.1953;37.6471;22.6123
99.6000;60.7517;8.2146;38.1847;22.7262
101.0652;60.6992;8.1868;38.1681;23.4352
102.0623;60.5393;8.1851;38.9349;
102.4272;60.7251;8.1954;39.1631;22.9997
103.7617;60.6727;8.1922;38.8780;23.6792
104.4765;60.4106;8.2206;39.5604;23.3724
105.3345;60.5314;8.2035;39.8070;23.6203
106.0807;60.7954;8.2140;39.7965;23.7704
107.2800;60.3592;8.2199;41.0345;23.9100
107.8166;60.8482;8.2293;41.3705;24.4846
109.1306;60.8669;8.2529;41.4718;24.6569
109.7207;60.6166;8.2351;41.8969;24.4955
111.0247;60.6014;8.2770;42.4123;25.2985
111.3677;60.8125;8.2848;42.3432;
112.4652;60.7530;8.3006;41.9518;25.4989
113.5958;60.7136;8.2793;42.5834;25.5998
114.5317;60.3770;8.2939;42.7328;25.8300
115.4605;60.4003;8.3073;43.6770;25.8509
116.3205;60.4497;8.3340;44.0391;25.8694
116.9224;60.5120;8.3451;44.4470;26.2585
117.9155;60.2727;8.3602;44.2147;26.0133
119.0431;60.0684;8.3483;44.3244;26.5155
119.4579;60.6303;8.3491;45.2895;26.3452
90.4717;60.2998;8.3679;35.0888;21.5677
91.4676;60.1946;8.3819;34.6657;
92.1046;60.3147;8.3938;35.2694;21.4452
93.4681;60.4980;8.3744;35.7981;21.8899
94.2344;60.4469;8.4072;35.5235;21.8685
95.1068;60.3367;8.4165;36.4611;22.0458
95.7661;60.4506;8.3974;36.6522;22.0399
96.7866;60.2441;8.4048;37.2132;22.2876
97.7132;59.9510;8.3861;36.6101;23.0144
98.3656;60.2232;8.4145;37.3262;22.6366
99.8496;59.9316;8.3966;37.4545;22.8396
100.6348;59.9224;8.3849;38.7283;23.2126
101.7167;60.2781;8.3990;38.9345;
102.3377;59.8642;8.3670;38.9798;23.1854
103.2450;60.0292;8.3823;38.5996;23.6770
104.0987;59.8993;8.3602;39.4212;23.8463
105.0545;59.8878;8.3306;39.2370;24.1752
105.8261;60.1873;8.3365;40.0446;23.9760
106.6789;60.1953;8.3341;40.8830;24.2705
107.9262;59.7763;8.3248;40.4113;24.8210
108.8365;59.7809;8.3056;40.8668;24.4229
109.2885;59.9264;8.3091;40.9797;24.9928
110.1239;60.1133;8.3030;41.2321;24.5349
110.9041;59.8673;8.2798;42.0941;
111.9816;59.9341;8.2557;42.2496;24.7564
113.2318;59.6593;8.2588;42.7923;25.1545
114.0449;59.8642;8.2240;42.6304;25.6363
114.9517;59.8352;8.2516;43.7272;25.8174
115.8070;59.9597;8.2108;44.0507;25.8208
116.5616;59.5925;8.2350;43.3890;26.0989
117.2982;59.7927;8.2008;44.5178;25.7339
118.6592;59.5696;8.1995;44.8994;26.1290
119.1146;59.4652;8.2193;44.2318;26.5372
90.3531;59.7655;8.2178;34.5623;21.4277
91.2502;59.6539;8.2132;35.1284;
91.8193;59.6147;8.1866;35.0544;21.1968
92.9494;59.6268;8.2099;35.7215;21.7095
93.6088;59.4633;8.2200;36.0914;21.9015
95.1409;59.4181;8.2175;36.2200;22.3800
95.9338;59.6971;8.2171;36.8375;22.0696
96.8478;59.8128;8.2116;36.6518;22.7410
97.4500;59.4957;8.2285;37.2261;22.8755
98.0422;59.6878;8.2430;37.2600;22.5739
99.1354;59.7033;8.2600;37.1346;23.0898
100.0394;59.3249;8.2583;38.5735;22.5622
100.8838;59.2715;8.2557;38.7035;
102.1616;59.3424;8.2819;38.6044;23.1412
102.8552;59.3224;8.2817;39.0682;23.2415
104.0630;59.1011;8.3041;38.9396;23.7699
104.5045;59.4381;8.3215;40.0803;24.1737
105.4184;59.2503;8.3057;40.0827;24.1756
106.3502;59.2507;8.3349;40.7604;24.0601
107.0080;59.4004;8.3221;40.4332;24.5424
108.0479;59.0255;8.3563;40.4998;24.5423
109.5684;59.1252;8.3382;41.3598;25.0150
