pressure_kpa,humidity_pct,airflow_cmh,target,energy_index
90.9351,64.7942,8.3196,34.6252,21.2669
96.1413,64.9202,8.3812,37.0937,22.1339
101.9103,64.4887,8.4179,39.4644,23.5472
106.7152,64.5634,8.3924,41.1373,24.3832
112.1356,64.4822,8.3213,42.9495,25.5164
117.7632,64.2997,8.2690,44.4705,25.8807
93.3016,64.1518,8.2066,35.9762,
98.3439,64.0043,8.1968,37.6849,22.3186
104.1491,63.8934,8.2360,40.2443,23.9416
109.6213,63.7089,8.2656,41.2788,24.4394
115.1535,63.8601,8.3565,43.1988,25.7350
90.0373,63.9043,8.3790,34.4868,21.3974
96.0853,63.6471,8.3854,36.2318,22.0440
100.7266,63.6889,8.3697,38.4623,22.9375
106.6020,63.3694,8.2803,41.0485,24.5036
111.8500,63.0334,8.2280,42.8537,24.9370
117.6826,63.2831,8.2166,44.7264,25.9397
93.0800,62.7140,8.2145,35.9323,
98.3175,63.0146,8.2614,37.0216,22.5395
103.1343,62.8361,8.3092,38.8548,23.6319
109.1708,62.5724,8.3815,41.3831,24.9687
114.3687,62.4069,8.3844,43.6815,25.5872
119.4591,62.0617,8.3610,44.6121,26.4517
95.3691,62.0151,8.3398,36.5682,22.3358
100.1808,62.2342,8.2418,38.6271,23.3735
105.5193,62.1118,8.1950,40.2933,24.2272
111.4979,61.6349,8.1968,41.9653,25.3149
116.8312,62.0234,8.2129,43.4109,25.7980
92.4245,61.3890,8.2833,35.5676,
97.4467,61.5642,8.3550,36.9981,22.2288
103.2810,61.3206,8.4079,38.8802,23.4555
108.3141,61.1978,8.4042,41.3050,24.9339
113.6285,61.1989,8.3474,42.9224,25.6806
118.7627,61.2647,8.3040,44.5067,26.1267
94.8027,60.8811,8.2171,36.3206,22.3777
100.0069,60.7520,8.2187,38.5265,23.2142
105.0427,60.9339,8.2004,39.3530,23.7397
110.9989,60.3780,8.2506,42.2098,24.7068
115.7066,60.2333,8.3413,44.0883,25.8145
91.1253,60.5648,8.3651,35.0313,
96.7403,60.1112,8.3963,37.1270,22.6133
102.5758,59.9551,8.3661,38.8534,23.8138
107.6789,60.0310,8.3124,41.0088,24.6656
113.3530,59.8067,8.2670,43.2150,25.0461
118.6752,59.4947,8.1930,44.8958,26.5066
93.5438,59.8463,8.1965,36.2682,21.9060
98.9298,59.7483,8.2370,37.9637,23.0774
104.5291,59.4888,8.2972,39.3534,23.7669
110.1998,59.4024,8.3638,41.2875,24.4630
115.6945,59.2088,8.3786,43.5639,25.7863
