pressure_kpa,humidity_pct,airflow_cmh,target,energy_index
89.6681,64.9244,8.2976,34.4093,20.7428
91.1475,64.9711,8.3105,35.0587,21.1899
92.1093,65.1383,8.3237,35.0833,21.4989
92.6804,65.1690,8.3260,35.4507,21.8315
93.5937,65.0493,8.3386,35.8968,
94.8791,64.8664,8.3474,36.0692,21.9663
95.1631,64.9403,8.3617,36.4736,22.4968
96.1538,64.7671,8.3527,37.3438,22.1921
97.3848,64.6296,8.3874,37.3070,22.5577
97.8043,64.5267,8.3912,37.3086,22.7824
99.3461,64.8774,8.3706,37.6758,23.1039
99.9011,64.9758,8.3834,38.0036,22.6652
100.7413,64.9906,8.4070,38.4224,23.0218
101.6786,64.9912,8.4139,38.8648,23.6058
102.4895,64.7360,8.4094,39.3579,23.1566
103.1183,64.8851,8.4176,39.6959,
104.3812,64.4198,8.4080,40.0418,23.7578
105.0538,64.7806,8.4053,40.1848,24.1058
106.5300,64.5493,8.3976,40.7968,24.0125
106.8722,64.6939,8.3776,40.1638,24.3273
107.7283,64.6005,8.3882,41.3530,24.0371
109.0499,64.7504,8.3560,41.1917,24.4723
109.5304,64.8032,8.3755,41.1411,25.0107
111.0710,64.6486,8.3636,41.5177,24.9317
111.9724,64.6668,8.3501,42.5545,24.7954
112.8157,64.7337,8.3241,43.1823,25.0547
113.2340,64.7618,8.3129,42.6450,
114.6701,64.5184,8.2949,42.8079,25.4149
114.8418,64.4865,8.3115,43.3409,25.7101
116.0784,64.1757,8.3015,44.3845,26.0980
116.8203,64.1410,8.3001,43.7908,26.3578
117.9467,64.5362,8.2568,44.7424,26.0756
119.0151,64.3528,8.2622,45.4505,26.7397
119.3383,64.4642,8.2303,44.7891,26.5989
90.5430,64.0575,8.2549,34.9205,21.1946
91.3591,64.5024,8.2165,35.5685,21.4504
92.2494,64.0059,8.2408,35.3917,21.7264
93.5526,64.4538,8.2348,35.9402,
94.2696,64.1512,8.2105,36.5227,21.5380
95.2093,64.4416,8.2075,36.0062,22.0147
96.0100,64.4772,8.2189,36.7450,21.9355
96.6524,64.2048,8.2199,37.1247,22.3774
97.9648,64.4593,8.1984,37.2583,22.2568
98.7770,64.0581,8.2140,38.0666,23.0944
99.7510,63.8703,8.2124,38.6577,23.0476
100.2365,64.3716,8.1934,38.2839,23.2184
101.2482,64.3711,8.2138,38.4214,22.7570
101.9796,63.8017,8.2284,39.0823,23.0035
103.3582,64.1755,8.2347,39.1152,
104.2606,64.1976,8.2366,39.2422,23.5997
104.9181,64.1670,8.2444,39.5990,23.8682
105.7044,63.9915,8.2242,39.6577,23.9583
107.1019,63.6869,8.2326,40.4633,24.0779
107.5385,63.8565,8.2458,40.4128,24.2294
108.3256,63.9724,8.2805,40.7171,24.7388
109.6269,64.0382,8.2748,41.4589,24.6803
110.7889,63.9650,8.3041,42.1634,25.1651
111.6615,64.1442,8.3210,42.8249,25.1829
112.1881,64.0730,8.3260,41.9947,25.2790
113.2911,63.6935,8.3200,42.7511,
114.2290,63.9875,8.3189,42.9063,25.2798
115.2853,63.8327,8.3601,43.3774,25.7052
116.0219,63.8858,8.3611,44.0573,26.2167
116.7166,63.8276,8.3742,43.6291,25.7623
117.2377,63.8922,8.3696,44.3179,25.8388
118.1759,63.9165,8.3898,44.1999,26.1811
119.2295,63.4843,8.4010,45.1094,26.3505
90.1676,63.9118,8.3812,35.0533,21.3851
91.3819,63.8569,8.4151,35.1603,21.4748
91.9194,63.3790,8.4168,35.5687,21.6116
93.0714,63.4699,8.4129,35.9176,
93.5102,63.6586,8.3933,35.9737,21.8143
94.7809,63.3101,8.4152,36.1591,21.8977
95.4512,63.3023,8.4116,36.3420,22.6021
96.3075,63.2222,8.4093,36.9706,22.4922
97.3594,63.4000,8.3771,37.3928,22.4140
98.6110,63.2704,8.3636,38.2613,23.0049
98.9142,63.4283,8.3678,38.0179,22.5116
100.3010,63.4782,8.3655,38.6334,23.1871
100.9909,63.6715,8.3639,38.3408,23.3484
102.0382,63.5400,8.3584,38.3427,23.3478
102.9991,63.2201,8.3531,39.5356,
103.8941,63.6141,8.3296,40.0667,23.3363
104.5996,63.0955,8.3395,39.3892,23.6739
105.9894,63.2349,8.3239,39.7365,24.2404
106.1497,63.1716,8.2951,39.7928,24.1499
107.6427,63.2338,8.3006,40.6712,24.3555
108.5300,63.4635,8.2565,40.7783,24.2913
109.4727,63.2470,8.2568,41.0686,24.8953
110.2425,63.1883,8.2422,42.0931,24.7771
110.9743,63.0614,8.2651,41.6593,24.5934
111.9231,63.4470,8.2405,41.7838,24.9933
113.1056,63.1820,8.2243,42.5098,
113.5208,63.2997,8.2351,43.2049,25.6233
114.7705,63.0626,8.1979,42.9247,25.5513
115.4698,63.3702,8.2229,43.0192,25.9776
116.2123,62.9158,8.2223,44.0937,25.4680
117.4272,63.0414,8.1846,44.8343,25.8124
118.2552,62.9416,8.2142,44.9425,25.8448
118.9358,63.1113,8.1922,44.6232,26.6859
90.0325,62.7333,8.2188,35.0204,21.4785
90.5168,62.8163,8.1972,35.3448,21.1411
92.0488,62.7001,8.2245,35.3271,21.3074
92.8698,63.2269,8.2085,35.9298,
93.3097,63.0864,8.2207,35.5244,21.5190
94.6693,62.7139,8.2055,36.3482,22.2809
95.2271,62.7817,8.2212,36.2622,21.8623
96.4629,62.5778,8.2385,36.7730,22.6147
96.8509,62.9163,8.2442,36.6367,22.1212
97.8205,62.8438,8.2642,36.9431,22.3876
98.8322,62.5638,8.2609,37.7888,22.6676
100.1124,62.7632,8.2853,38.7762,22.8712
100.6708,62.9630,8.2942,38.9104,23.3020
102.0543,62.5600,8.2802,38.6229,23.4618
102.6386,62.7980,8.2981,38.9161,
103.4265,62.8526,8.3093,38.8382,23.8050
104.1558,62.6103,8.3487,40.1843,23.6337
105.3931,62.6588,8.3381,39.7291,23.6243
106.5706,62.8379,8.3537,41.0416,24.4566
107.2696,62.5166,8.3568,41.0771,23.9270
107.9216,62.8499,8.3660,40.8657,24.3998
108.9830,62.8379,8.3600,41.7265,24.7460
110.1892,62.3817,8.3904,41.6619,24.8851
110.8774,62.6143,8.4072,41.9883,25.0663
111.8286,62.4582,8.3977,42.2687,25.2376
112.4333,62.5167,8.4000,42.6917,
113.4243,62.4227,8.4072,42.6778,25.1158
114.4108,62.6439,8.4193,42.9078,25.8151
115.4996,62.2417,8.3812,44.1200,25.5857
115.9098,62.3479,8.3851,43.2632,25.6023
117.0396,62.4470,8.4022,44.6582,26.0558
117.9831,62.6596,8.4032,43.9712,25.9589
118.7348,62.2234,8.3747,44.6343,26.2216
119.8061,62.1484,8.3766,44.5068,26.5421
90.7822,62.5259,8.3760,34.8280,21.6424
91.1683,62.5125,8.3825,35.1417,21.2919
92.5446,62.1653,8.3517,35.2045,
93.3519,62.2932,8.3308,35.9134,21.9820
94.5200,62.2917,8.3409,36.4642,21.9721
95.3742,61.9874,8.3141,36.8411,21.8398
96.3171,62.0965,8.3235,36.9833,22.3563
97.2295,62.4166,8.3179,37.0819,22.7585
97.5304,62.2789,8.3101,36.6942,22.2976
98.6705,62.2879,8.2735,38.0207,22.9631
99.5280,62.2933,8.2695,38.2358,23.0975
100.5886,62.0507,8.2807,38.7122,22.9880
101.7100,61.9149,8.2431,38.7243,23.0290
102.4748,62.1990,8.2409,38.4695,
103.4052,61.9650,8.2316,39.0745,23.1569
104.3354,62.1562,8.2151,39.0941,23.9503
105.0129,62.0571,8.2092,40.3880,23.9128
106.1753,61.9184,8.2001,40.3861,23.8843
106.5537,61.9339,8.1932,40.5438,23.8010
107.9560,62.1719,8.2154,40.7317,24.4296
108.2120,61.7792,8.1977,41.4877,24.5101
109.5579,62.0733,8.1906,41.8516,24.9930
110.6149,62.0497,8.2057,41.3187,24.8817
111.5847,61.7965,8.1968,41.6771,24.8816
112.3976,61.8654,8.2198,41.9648,
112.7458,62.0042,8.2181,42.2334,24.8509
113.8577,61.9573,8.2172,43.2583,25.2359
114.9454,61.6694,8.2363,43.1163,25.4312
115.9726,61.6217,8.2249,43.2121,26.0014
116.4520,61.6973,8.2257,43.4378,25.7588
117.7047,61.4860,8.2217,44.0514,26.4187
118.2351,61.9334,8.2329,44.8448,26.3385
119.1560,61.8811,8.2533,45.0320,26.1510
90.2295,61.6235,8.2750,34.4357,21.2473
91.5466,61.6150,8.2907,35.6102,21.8086
92.3011,61.4694,8.2767,35.7106,
93.3283,61.6384,8.2964,35.6859,21.5890
94.2065,61.7901,8.3322,35.7133,22.3047
94.9679,61.6275,8.3105,36.1089,22.4185
95.7818,61.5784,8.3548,36.9745,21.8869
96.7884,61.3766,8.3339,37.3745,22.7250
97.2267,61.2512,8.3729,36.6157,22.7586
98.2510,61.6346,8.3711,37.4321,22.8266
99.2754,61.4281,8.3781,37.7324,23.1039
100.0905,61.1870,8.3689,37.6285,22.8113
101.1718,61.2283,8.3775,38.4319,23.1322
102.0064,61.2808,8.3717,38.2875,
102.7770,61.5466,8.3926,39.5084,23.1571
103.4138,61.3916,8.3840,38.7491,23.4888
104.9905,61.5324,8.3857,39.4456,24.1586
105.5075,61.5900,8.3839,39.4893,23.8269
106.4041,61.2180,8.3861,40.6827,24.5829
107.0888,61.3236,8.3866,40.8154,23.9725
108.1081,61.2295,8.3866,41.4388,24.4320
109.4949,61.4734,8.3976,41.2304,24.6069
110.0146,61.4502,8.3726,41.3889,24.4538
111.1647,61.0684,8.3823,41.7538,24.9842
111.7527,61.0519,8.3761,42.1708,
112.9954,61.3137,8.3703,42.2017,25.2048
113.9229,61.2124,8.3338,42.4719,25.7294
114.7430,61.0196,8.3610,43.6068,25.8065
115.5071,61.0038,8.3279,43.9947,25.6034
116.7970,61.3299,8.3361,44.0091,25.8299
117.3892,60.8278,8.2957,44.5990,25.7605
118.3982,60.9847,8.2806,44.6020,26.0947
119.1091,61.2129,8.2858,45.3118,26.4377
89.8504,61.2350,8.2766,34.4049,20.9162
90.9925,61.0731,8.2802,35.1800,21.2633
92.0177,60.8036,8.2530,35.0941,
92.7121,60.9063,8.2643,35.0050,21.3058
93.3436,61.0566,8.2435,35.9367,21.3735
94.6771,61.1547,8.2484,36.3508,21.9301
95.6014,61.0425,8.2308,36.5658,21.9653
96.6651,60.6096,8.2332,36.7465,22.4350
97.0535,60.5952,8.2174,37.2223,22.2522
98.4802,60.5933,8.2157,37.9859,22.9465
