pressure_kpa,humidity_pct,airflow_cmh,target
90.1122,64.7135,8.3135,34.2916
95.6695,64.7340,8.3557,37.2756
100.7874,64.7569,8.4053,38.3210
106.3723,64.4083,8.3711,40.5523
111.3421,64.6687,8.3653,42.3503
117.1337,64.6099,8.2906,44.1437
92.6215,64.0226,8.2131,35.6477
97.9122,64.4115,8.1807,37.3853
103.3230,63.7973,8.2296,38.9438
108.7556,63.8003,8.2686,40.7321
113.8421,63.9209,8.3496,43.2266
119.5862,63.7361,8.3742,45.5230
94.7554,63.8117,8.3834,36.5710
100.0798,63.1777,8.3856,38.1410
105.8608,63.2239,8.3097,40.0818
111.1799,63.3566,8.2287,42.5725
116.2367,63.0781,8.2106,43.8473
91.6180,63.1417,8.1896,35.3477
97.3982,62.6990,8.2617,36.7020
102.7128,62.8158,8.3009,39.0246
107.9437,62.3296,8.3763,41.4218
113.6664,62.6367,8.3978,43.0196
118.8037,62.5711,8.3931,44.7102
93.8463,62.5187,8.3202,36.1376
99.9728,61.9230,8.2570,38.5255
104.6411,61.9400,8.2327,39.1223
110.0804,61.8489,8.1954,42.0022
115.5047,61.6393,8.2311,43.0104
90.9018,61.6523,8.2915,35.4302
96.5449,61.7923,8.3615,37.1278
101.6048,61.3372,8.4066,38.2044
107.0571,61.3629,8.4085,40.4331
112.6560,61.2026,8.3663,41.9602
118.3484,60.7719,8.2951,44.9591
93.5148,60.6317,8.2500,35.9709
99.0911,60.9972,8.1963,37.6540
104.5880,60.5700,8.2052,39.8582
110.0044,60.8402,8.2629,41.5680
115.5658,60.1511,8.3338,43.9087
90.8824,60.5465,8.3941,35.1027
96.3443,60.0682,8.4138,36.3587
101.0039,60.0304,8.3894,37.9732
107.1654,59.9849,8.3086,40.4839
112.5797,59.5992,8.2555,42.8905
117.9210,59.6653,8.2321,44.0640
92.7314,59.5002,8.2103,35.8276
98.1261,59.4820,8.2248,36.9052
103.9787,59.1345,8.2778,39.6611
108.9066,59.1842,8.3391,41.5486
114.3284,59.3149,8.3922,42.8317
