pressure_kpa,humidity_pct,airflow_cmh,target
90.1355,64.9763,8.3048,34.4974
90.6551,64.8608,8.3163,34.9994
91.4876,64.9503,8.3113,35.5910
92.4219,64.8621,8.3464,35.7943
93.8019,64.8429,8.3236,35.6497
94.3131,65.0554,8.3476,36.4226
95.5601,64.6266,8.3785,37.1243
96.0750,65.0316,8.3516,36.2919
97.1963,64.6097,8.3763,37.2052
98.2763,65.1009,8.3883,37.1221
98.6438,64.8584,8.3861,38.1932
100.0015,64.5783,8.4052,37.7925
101.0222,64.6205,8.3809,38.7582
101.6319,64.6576,8.3814,38.3530
102.8436,64.7255,8.3840,38.7791
103.8037,64.4419,8.3994,39.8133
104.3776,64.8826,8.4098,39.2020
105.0479,64.7000,8.3838,40.0607
105.9560,64.6702,8.3843,40.5301
106.9344,64.5543,8.3845,40.3463
108.3553,64.8695,8.3908,41.5701
108.7202,64.3166,8.3649,41.4107
109.4865,64.7434,8.3449,41.2263
110.3981,64.4847,8.3458,41.5278
111.2855,64.5633,8.3403,42.4826
112.7572,64.5869,8.3356,43.1243
113.4369,64.6502,8.3443,42.5496
114.0836,64.6940,8.3154,43.7235
115.1050,64.6994,8.2948,43.4616
116.2059,64.2018,8.2884,43.7318
117.2946,64.5482,8.2842,44.1767
117.7064,64.6147,8.2604,44.6295
118.6156,64.5454,8.2468,45.1000
119.9810,64.5358,8.2459,45.3198
90.4272,64.3285,8.2242,35.4351
91.8241,64.1191,8.2504,35.4126
92.6802,64.4366,8.2058,36.0822
93.0391,64.3592,8.2044,35.2706
94.3749,64.2577,8.1924,36.1071
94.9903,64.0460,8.1913,36.1829
96.1723,63.9777,8.1897,37.0796
97.1580,64.1554,8.1902,37.2153
97.5957,63.9877,8.1994,37.0726
98.9107,64.2137,8.2184,37.3692
99.4310,64.1926,8.2108,38.2776
100.7192,63.8030,8.1859,38.5371
101.3741,64.0747,8.2057,38.1914
101.9872,64.3171,8.2314,39.1919
