input,target_a,target_b
-11.35000000,123.14750000,133.14750000
-11.25000000,120.93750000,130.93750000
-11.15000000,118.74750000,128.74750000
-11.05000000,116.57750000,126.57750000
-10.95000000,114.42750000,124.42750000
-10.85000000,112.29750000,122.29750000
-10.75000000,110.18750000,120.18750000
-10.65000000,108.09750000,118.09750000
-10.55000000,106.02750000,116.02750000
-10.45000000,103.97750000,113.97750000
-10.35000000,101.94750000,111.94750000
-10.25000000,99.93750000,109.93750000
-10.15000000,97.94750000,107.94750000
-10.05000000,95.97750000,105.97750000
-9.95000000,94.02750000,104.02750000
-9.85000000,92.09750000,102.09750000
-9.75000000,90.18750000,100.18750000
-9.65000000,88.29750000,98.29750000
-9.55000000,86.42750000,96.42750000
-9.45000000,84.57750000,94.57750000
-9.35000000,82.74750000,92.74750000
-9.25000000,80.93750000,90.93750000
-9.15000000,79.14750000,89.14750000
-9.05000000,77.37750000,87.37750000
-8.95000000,75.62750000,85.62750000
-8.85000000,73.89750000,83.89750000
-8.75000000,72.18750000,82.18750000
-8.65000000,70.49750000,80.49750000
-8.55000000,68.82750000,78.82750000
-8.45000000,67.17750000,77.17750000
-8.35000000,65.54750000,75.54750000
-8.25000000,63.93750000,73.93750000
-8.15000000,62.34750000,72.34750000
-8.05000000,60.77750000,70.77750000
-7.95000000,59.22750000,69.22750000
-7.85000000,57.69750000,67.69750000
-7.75000000,56.18750000,66.18750000
-7.65000000,54.69750000,64.69750000
-7.55000000,53.22750000,63.22750000
-7.45000000,51.77750000,61.77750000
-7.35000000,50.34750000,60.34750000
-7.25000000,48.93750000,58.93750000
-7.15000000,47.54750000,57.54750000
-7.05000000,46.17750000,56.17750000
-6.95000000,44.82750000,54.82750000
-6.85000000,43.49750000,53.49750000
-6.75000000,42.18750000,52.18750000
-6.65000000,40.89750000,50.89750000
-6.55000000,39.62750000,49.62750000
-6.45000000,38.37750000,48.37750000
-6.35000000,37.14750000,47.14750000
-6.25000000,35.93750000,45.93750000
-6.15000000,34.74750000,44.74750000
-6.05000000,33.57750000,43.57750000
-5.95000000,32.42750000,42.42750000
-5.85000000,31.29750000,41.29750000
-5.75000000,30.18750000,40.18750000
-5.65000000,29.09750000,39.09750000
-5.55000000,28.02750000,38.02750000
-5.45000000,26.97750000,36.97750000
-5.35000000,25.94750000,35.94750000
-5.25000000,24.93750000,34.93750000
-5.15000000,23.94750000,33.94750000
-5.05000000,22.97750000,32.97750000
-4.95000000,22.02750000,32.02750000
-4.85000000,21.09750000,31.09750000
-4.75000000,20.18750000,30.18750000
-4.65000000,19.29750000,29.29750000
-4.55000000,18.42750000,28.42750000
-4.45000000,17.57750000,27.57750000
-4.35000000,16.74750000,26.74750000
-4.25000000,15.93750000,25.93750000
-4.15000000,15.14750000,25.14750000
-4.05000000,14.37750000,24.37750000
-3.95000000,13.62750000,23.62750000
-3.85000000,12.89750000,22.89750000
-3.75000000,12.18750000,22.18750000
-3.65000000,11.49750000,21.49750000
-3.55000000,10.82750000,20.82750000
-3.45000000,10.17750000,20.17750000
-3.35000000,9.54750000,19.54750000
-3.25000000,8.93750000,18.93750000
-3.15000000,8.34750000,18.34750000
