input,target,secondary_target
0000,0.00,0.07
0001,0.17,0.36
0002,0.34,0.65
0003,0.51,0.94
0004,0.68,0.22
0005,0.85,0.51
0006,0.01,0.80
0007,0.18,0.08
0008,0.35,0.37
0009,0.52,0.66
0010,0.69,0.95
0011,0.86,0.23
0012,0.02,0.52
0013,0.19,0.81
0014,0.36,0.09
0015,0.53,0.38
0016,0.70,0.67
0017,0.87,0.96
0018,0.03,0.24
0019,0.20,0.53
0020,0.37,0.82
0021,0.54,0.10
0022,0.71,0.39
0023,0.88,0.68
0024,0.04,0.97
0025,0.21,0.25
0026,0.38,0.54
0027,0.55,0.83
0028,0.72,0.11
0029,0.89,0.40
0030,0.05,0.69
0031,0.22,0.98
0032,0.39,0.26
0033,0.56,0.55
0034,0.73,0.84
0035,0.90,0.12
0036,0.06,0.41
0037,0.23,0.70
0038,0.40,0.99
0039,0.57,0.27
0040,0.74,0.56
0041,0.91,0.85
0042,0.07,0.13
0043,0.24,0.42
0044,0.41,0.71
0045,0.58,1.00
0046,0.75,0.28
0047,0.92,0.57
0048,0.08,0.86
0049,0.25,0.14
0050,0.42,0.43
0051,0.59,0.72
0052,0.76,0.00
0053,0.93,0.29
0054,0.09,0.58
0055,0.26,0.87
0056,0.43,0.15
0057,0.60,0.44
0058,0.77,0.73
0059,0.94,0.01
0060,0.10,0.30
0061,0.27,0.59
0062,0.44,0.88
0063,0.61,0.16
0064,0.78,0.45
0065,0.95,0.74
0066,0.11,0.02
0067,0.28,0.31
0068,0.45,0.60
0069,0.62,0.89
0070,0.79,0.17
0071,0.96,0.46
0072,0.12,0.75
0073,0.29,0.03
0074,0.46,0.32
0075,0.63,0.61
0076,0.80,0.90
0077,0.97,0.18
0078,0.13,0.47
0079,0.30,0.76
0080,0.47,0.04
0081,0.64,0.33
0082,0.81,0.62
0083,0.98,0.91
0084,0.14,0.19
0085,0.31,0.48
0086,0.48,0.77
0087,0.65,0.05
0088,0.82,0.34
0089,0.99,0.63
0090,0.15,0.92
0091,0.32,0.20
0092,0.49,0.49
0093,0.66,0.78
0094,0.83,0.06
0095,1.00,0.35
0096,0.16,0.64
0097,0.33,0.93
0098,0.50,0.21
0099,0.67,0.50
0100,0.84,0.79
0101,0.00,0.07
0102,0.17,0.36
0103,0.34,0.65
0104,0.51,0.94
0105,0.68,0.22
0106,0.85,0.51
0107,0.01,0.80
0108,0.18,0.08
0109,0.35,0.37
0110,0.52,0.66
0111,0.69,0.95
0112,0.86,0.23
0113,0.02,0.52
0114,0.19,0.81
0115,0.36,0.09
0116,0.53,0.38
0117,0.70,0.67
0118,0.87,0.96
0119,0.03,0.24
0120,0.20,0.53
0121,0.37,0.82
0122,0.54,0.10
0123,0.71,0.39
0124,0.88,0.68
0125,0.04,0.97
0126,0.21,0.25
0127,0.38,0.54
0128,0.55,0.83
0129,0.72,0.11
0130,0.89,0.40
0131,0.05,0.69
0132,0.22,0.98
0133,0.39,0.26
0134,0.56,0.55
0135,0.73,0.84
0136,0.90,0.12
0137,0.06,0.41
0138,0.23,0.70
0139,0.40,0.99
0140,0.57,0.27
0141,0.74,0.56
0142,0.91,0.85
0143,0.07,0.13
0144,0.24,0.42
0145,0.41,0.71
0146,0.58,1.00
0147,0.75,0.28
0148,0.92,0.57
0149,0.08,0.86
0150,0.25,0.14
0151,0.42,0.43
0152,0.59,0.72
0153,0.76,0.00
0154,0.93,0.29
0155,0.09,0.58
0156,0.26,0.87
0157,0.43,0.15
0158,0.60,0.44
0159,0.77,0.73
0160,0.94,0.01
0161,0.10,0.30
0162,0.27,0.59
0163,0.44,0.88
0164,0.61,0.16
0165,0.78,0.45
0166,0.95,0.74
0167,0.11,0.02
0168,0.28,0.31
0169,0.45,0.60
0170,0.62,0.89
0171,0.79,0.17
0172,0.96,0.46
0173,0.12,0.75
0174,0.29,0.03
0175,0.46,0.32
0176,0.63,0.61
0177,0.80,0.90
0178,0.97,0.18
0179,0.13,0.47
0180,0.30,0.76
0181,0.47,0.04
0182,0.64,0.33
0183,0.81,0.62
0184,0.98,0.91
0185,0.14,0.19
0186,0.31,0.48
0187,0.48,0.77
0188,0.65,0.05
0189,0.82,0.34
0190,0.99,0.63
0191,0.15,0.92
0192,0.32,0.20
0193,0.49,0.49
