input;target;secondary_target
90.0784;34.5690;21.2537
91.0696;35.0322;21.2710
92.1648;35.3718;21.8105
92.5625;36.0537;21.4467
93.6426;36.0243;
94.4681;35.9060;22.4005
95.7688;36.2110;22.1487
96.4426;37.2686;22.6551
97.1933;37.7694;22.7220
97.8807;37.8625;22.6790
98.9974;37.9503;23.1891
100.1642;38.3364;23.0138
100.4345;38.4622;23.3327
101.8417;39.3724;23.1361
102.2333;38.9599;23.8124
103.3281;38.9947;
104.4457;40.1132;23.9135
105.5106;39.8431;23.6609
106.5901;40.8318;24.2965
107.3894;40.4946;24.0350
107.7580;40.5293;24.3789
109.2268;41.4243;24.8398
109.6465;41.5243;24.9265
110.7487;42.4213;25.2803
111.9288;42.9788;25.2933
112.3137;42.7439;24.9479
113.3468;43.3404;
113.9006;43.0528;25.4857
115.3247;43.3779;25.7652
116.4283;44.3354;26.1381
117.0085;44.7069;26.2720
117.8666;44.4036;26.3876
118.7123;44.7417;26.0380
119.9942;45.2485;26.5345
90.2467;34.8148;21.5875
91.8883;35.0116;21.3285
92.7170;35.2815;21.7374
92.9154;36.2553;
94.1779;36.2097;21.7179
95.0687;37.0895;22.3399
95.7580;36.2812;21.7777
97.2223;37.4682;22.5411
97.8006;37.9220;22.2772
98.7255;37.5467;22.8798
99.4833;38.0868;22.7012
100.7006;37.9106;23.1524
101.2829;38.9411;23.0336
102.4647;38.4876;23.5593
103.2644;39.2284;
103.9933;39.9468;23.9555
105.1566;39.9433;23.9973
105.8780;39.7249;23.9837
106.6207;40.3822;24.2191
107.9630;40.3881;24.2167
108.2560;40.9915;24.5407
109.5647;41.3125;24.6544
110.7474;42.3632;24.7944
111.4240;42.0902;24.7303
111.9669;41.8605;24.8948
112.9113;42.5801;
113.9012;43.4906;25.5161
115.1188;43.3400;25.9906
115.6290;44.2005;26.1582
116.4666;44.1815;25.7131
117.8616;44.0919;26.5866
118.2034;44.2296;25.9419
119.7035;45.1214;26.7255
90.4570;34.9526;21.6205
91.1467;35.5836;21.6146
91.8353;35.3416;21.8614
93.0723;35.4050;
94.1659;35.6101;21.9298
94.9859;36.1106;21.8882
95.4695;35.9952;22.4173
96.6152;37.1663;22.0789
97.6919;37.2042;22.8382
98.4643;37.6497;22.7297
99.3999;37.8390;22.5625
100.2403;37.7965;22.6732
100.8924;38.2239;23.0518
101.7746;38.4451;23.6727
102.9215;38.9389;
104.1662;39.1082;23.5096
104.9935;39.7782;24.0705
105.7055;40.5420;24.0096
106.2253;40.4477;24.0267
107.2704;41.2308;24.0435
108.2020;40.6513;24.7240
109.0902;41.1608;24.7037
110.0772;41.3690;24.7836
111.0757;42.3279;25.1715
111.5717;42.2391;25.2079
112.9349;42.6074;
113.9659;43.2529;25.4564
114.4642;43.0501;25.8325
115.4398;43.1943;25.6668
116.2115;43.4874;25.4634
117.3505;44.6072;26.1965
117.8520;44.4523;25.7432
118.8624;44.4690;26.3184
89.7916;34.8897;20.7974
90.6465;35.2961;21.4986
91.9002;34.7659;21.2826
93.0846;35.1528;
93.9120;35.6204;21.9651
94.2382;36.5729;21.5633
95.4263;36.4436;21.8722
96.2135;36.3391;22.3418
97.3595;37.7612;22.7916
98.1922;37.5409;22.7470
99.2193;37.3584;22.5640
100.1735;37.7864;23.3021
100.8059;38.7043;22.9390
101.4113;39.1704;23.2404
102.2911;39.2984;
103.6353;39.6142;23.5585
104.3091;39.1077;23.4496
105.1481;40.1701;23.7284
106.4013;40.0328;24.1664
107.1651;40.2933;23.9714
107.8869;40.5636;24.4157
108.9210;41.2730;24.7632
110.1313;41.5875;25.1371
111.0681;41.9867;24.7009
111.9157;42.3962;25.5218
112.1291;42.0691;
113.2658;43.3214;25.3954
114.6161;42.6576;25.6445
115.1992;43.9263;25.5313
115.7953;43.3258;25.6525
117.2267;43.6142;25.9271
117.5626;44.3840;26.1732
118.5806;44.2664;26.4234
119.4244;44.9323;26.3345
90.5002;35.0312;21.0542
91.5681;35.2605;21.7871
92.4184;35.4100;
93.5763;35.3045;21.6789
93.8721;36.4149;22.0803
94.9209;36.0973;21.7835
96.2893;36.8609;22.5550
97.1089;36.9032;22.7549
97.8581;37.7211;22.5516
98.6041;37.5325;23.0217
99.2938;37.7863;23.0386
