input,target,secondary_target
91.4614,35.0756,21.1769
97.3802,37.1842,22.5633
102.8764,38.7076,23.4711
108.2556,40.9787,24.8413
113.1681,43.0405,
118.4452,44.9819,26.6424
94.4794,36.6787,22.2724
99.7538,38.3212,22.8048
104.9293,40.4754,23.8654
110.4366,42.4327,25.1683
115.5173,43.0748,26.1897
91.4519,35.0082,21.6653
96.5124,36.7861,22.4399
102.3023,38.7017,23.6851
107.7897,41.0782,24.0277
112.8204,42.7891,
118.4570,44.4851,26.4884
93.7646,36.0915,22.0619
99.3411,37.4246,23.0078
104.0443,39.8736,23.6938
110.1934,41.8386,25.0288
115.2476,43.9035,25.6653
90.7031,34.5534,21.3675
96.0697,36.3998,22.1579
101.4896,38.4112,23.5319
106.9019,40.5248,24.0565
112.3309,42.3598,
117.8398,44.2503,25.8738
93.2634,36.0354,21.8513
98.1277,37.8861,22.6822
103.9044,39.8867,23.7455
109.5318,40.9556,25.0983
114.9070,42.9618,25.3654
89.7975,34.4231,21.3744
95.0416,36.5998,22.1909
100.4899,38.2002,22.9452
106.5870,40.5922,24.2108
111.2883,42.1017,
117.1393,43.8405,26.3430
92.1026,35.0733,21.4284
98.0590,37.6840,22.9553
103.5593,39.7566,23.3374
108.2312,41.0941,24.4037
114.2359,43.1107,25.7644
119.5669,44.7919,26.3171
94.4970,35.6704,22.0320
100.4601,38.0451,23.1260
105.6535,40.5194,24.0014
110.9817,42.1467,
116.0994,43.2309,26.3270
91.7692,35.3141,21.4005
97.0216,37.1544,22.1042
102.6321,38.8139,23.5291
108.0266,40.9126,24.7374
113.4109,42.2376,25.3503
119.1690,44.1271,26.6337
93.9243,35.3592,21.7538
99.4220,38.0865,23.0456
105.3097,39.3100,23.8836
110.7066,41.1630,
115.7564,43.8197,25.4759
90.8170,34.8568,21.3959
96.6140,36.5386,22.1532
101.8926,38.6759,22.9630
107.5345,39.9374,24.0294
112.5512,42.1002,24.9783
118.4275,44.3335,26.1997
93.4678,35.0290,21.5865
98.6869,37.7756,22.8489
