input,target,secondary_target
90.0931,34.9012,21.2172
90.8411,34.5582,21.0703
92.0271,35.5370,21.5285
92.4987,35.8442,21.6836
93.3865,35.3820,
94.8842,36.9852,21.9688
95.0810,36.6690,22.4612
96.2087,37.1505,22.6894
97.1671,37.0553,22.2571
98.1900,37.6464,22.5060
98.6714,38.0805,22.7165
100.2412,38.8033,22.9036
100.5468,38.7964,23.4669
101.6790,38.6597,23.2653
102.8349,38.7760,23.3345
103.3575,39.9980,
104.4729,39.3645,23.6963
105.5121,39.8055,24.0927
105.9890,40.3295,24.0785
107.3481,40.3850,24.7187
108.1269,40.7726,24.3156
108.9575,41.6271,24.6958
109.4314,42.1146,24.7366
111.0342,42.7012,25.1339
111.5473,42.6820,24.8512
112.7554,43.2660,25.0308
113.5687,42.5156,
114.1961,43.3711,25.4067
115.5291,43.6264,26.1563
116.2712,43.4108,26.1631
117.0932,44.0054,25.8066
118.0032,45.1277,26.3113
119.0531,45.4092,26.5981
119.9036,44.6349,26.2077
90.5008,34.3679,21.0304
91.3961,34.8064,21.7045
92.1066,35.9196,21.4792
93.6457,35.6365,
94.1813,36.6498,21.4878
95.1587,35.9881,21.9132
95.8320,36.6551,22.3175
97.0108,36.9628,22.6737
97.8696,37.4355,22.1738
98.8337,38.0848,22.5819
99.5645,38.3171,22.4973
100.4902,38.9120,23.0229
101.4311,38.3861,23.0751
102.6086,39.1946,23.6790
103.2630,39.0741,
103.9880,39.3012,23.4697
105.0204,40.0845,23.7538
105.7950,40.4482,23.9596
106.7707,39.9666,24.3860
107.5993,40.3581,24.3712
108.2462,41.2446,24.1467
109.7129,41.2361,24.5512
110.4711,41.7539,25.0589
111.4354,42.0149,24.6648
112.1875,42.7360,24.8583
113.3744,42.9985,
113.6488,42.7393,25.3255
115.0554,43.3134,25.5460
115.4635,43.7090,25.7171
117.0604,44.2420,26.4059
117.9748,45.0328,26.1634
118.1147,43.9896,26.2566
119.4376,44.6343,26.4170
90.2362,34.5736,21.6751
91.5450,34.6633,21.3987
92.0590,35.8342,21.9981
93.2638,35.9119,
94.0977,35.7268,21.7794
95.1477,36.4862,21.9135
95.3645,36.6705,21.8445
96.3673,37.3550,22.6939
97.1888,37.3644,22.1466
98.2406,37.5853,22.4250
99.1248,38.2848,22.5531
100.0256,37.6542,23.0378
101.1974,38.9608,22.9939
102.2811,38.7858,23.1964
102.8721,39.4807,
103.5196,39.9405,23.4680
104.8541,40.1886,24.0527
105.8310,39.8415,24.2520
106.3861,40.9249,24.3856
107.0459,40.7305,24.3862
108.3288,40.8037,24.5198
109.0840,40.7613,24.3813
110.0750,41.2363,24.8966
111.2938,41.5372,25.1824
112.1029,42.5163,25.0674
112.4858,43.0575,
113.5411,42.3640,25.1470
114.2314,42.8423,25.2101
115.7494,43.1123,25.9061
116.3195,43.4243,26.0856
116.9722,43.8960,26.1784
118.1514,44.5874,26.5267
119.2905,44.5892,26.6292
90.1972,35.0704,21.0092
91.1842,35.4408,21.3997
91.7788,35.7860,21.6134
92.5331,35.6633,
93.2350,35.4506,21.9989
94.5472,36.1937,22.1907
95.6565,36.8450,22.2293
96.3613,36.6388,22.4825
97.3128,36.7385,22.8001
98.3089,36.9598,22.9810
98.6318,38.1492,22.3967
99.7732,37.6101,22.7379
100.9719,38.5885,23.2022
101.7217,38.4238,23.3598
102.3836,38.5713,
103.1608,39.0839,23.4908
104.3307,39.8313,23.7663
105.4721,40.4053,23.9026
105.9655,40.3206,23.7516
107.2943,41.1985,24.5633
108.1700,40.7449,24.8231
109.1889,40.8822,24.5938
110.1131,42.0035,24.9487
110.4153,41.4938,24.6422
111.7605,42.7075,25.5485
112.3186,41.9684,
113.7609,43.0398,25.6611
114.1218,42.5716,25.5823
115.5878,44.1643,26.0169
115.9822,43.1069,25.9282
116.7035,44.1034,26.4135
117.7606,44.3880,26.3026
118.4989,44.7609,26.5442
120.0696,45.6652,26.7862
90.5423,34.3750,21.5469
91.3338,35.1608,21.4069
92.1224,35.3162,
92.9601,35.4317,21.9333
94.1321,35.5739,21.5579
95.1171,36.9371,22.4440
95.7093,36.9029,22.5129
97.1321,36.8097,22.1454
97.9033,37.8103,22.4518
98.5766,37.4919,22.3650
99.6691,38.1307,22.9932
100.5837,38.4738,23.2342
101.3999,38.9349,23.3885
102.2562,38.7145,
103.2358,39.0606,23.3710
104.1941,39.8549,23.3899
105.2273,40.3968,23.6495
105.8771,39.6569,23.8935
106.9474,40.5121,24.0909
108.0984,41.3221,24.2748
108.7787,41.3133,24.1949
109.4219,41.5263,24.9286
110.6192,42.2665,24.8177
111.3136,41.7373,24.6000
112.2437,41.9554,
113.3456,43.1109,25.5489
113.8346,43.4452,25.7245
115.0501,43.4409,25.4016
116.0053,43.6735,25.8424
116.5289,44.1030,25.6229
117.9923,43.9040,26.1116
118.4153,44.5469,26.0205
119.1642,44.7043,26.0040
90.2233,34.2954,20.8567
90.8189,34.9445,21.6650
91.9676,35.3784,
93.1501,35.0953,21.5103
94.0036,35.9224,21.6671
95.1208,36.3607,21.8413
95.5078,36.1067,22.2319
96.8496,37.0665,22.3242
97.6001,36.6587,22.4082
98.2533,37.8457,23.0845
99.2172,38.1851,23.2557
100.2234,37.8580,23.1160
100.7614,37.9269,23.1962
101.9205,38.2165,
103.2844,39.3504,23.3846
103.9590,39.2732,23.3968
104.4125,39.5730,23.6540
105.3629,40.4770,23.9036
106.8143,40.0001,24.4560
107.7097,40.5798,24.6742
108.4884,40.9306,24.5483
109.0685,41.0735,24.9657
110.3627,41.5379,25.2422
111.1565,42.5539,25.0465
112.2034,42.2039,
