input;target
1220.00000000;591998.91713529
1220.03125000;592029.28876573
1220.06250000;592059.66213455
1220.09375000;592090.03724828
1220.12500000;592120.41411333
1220.15625000;592150.79273592
1220.18750000;592181.17312215
1220.21875000;592211.55527795
1220.25000000;592241.93920909
1220.28125000;592272.32492120
1220.31250000;592302.71241975
1220.34375000;592333.10171004
1220.37500000;592363.49279724
1220.40625000;592393.88568633
1220.43750000;592424.28038214
1220.46875000;592454.67688936
1220.50000000;592485.07521249
1220.53125000;592515.47535589
1220.56250000;592545.87732375
1220.59375000;592576.28112008
1220.62500000;592606.68674876
1220.65625000;592637.09421348
1220.68750000;592667.50351777
1220.71875000;592697.91466500
1220.75000000;592728.32765838
1220.78125000;592758.74250094
1220.81250000;592789.15919555
1220.84375000;592819.57774491
1220.87500000;592849.99815155
1220.90625000;592880.42041784
1220.93750000;592910.84454598
1220.96875000;592941.27053800
1221.00000000;592971.69839575
1221.03125000;593002.12812092
1221.06250000;593032.55971504
1221.09375000;593062.99317945
1221.12500000;593093.42851533
1221.15625000;593123.86572370
1221.18750000;593154.30480539
1221.21875000;593184.74576107
1221.25000000;593215.18859124
1221.28125000;593245.63329623
1221.31250000;593276.07987619
1221.34375000;593306.52833110
1221.37500000;593336.97866078
1221.40625000;593367.43086488
1221.43750000;593397.88494286
1221.46875000;593428.34089403
1221.50000000;593458.79871752
1221.53125000;593489.25841229
1221.56250000;593519.71997713
1221.59375000;593550.18341067
1221.62500000;593580.64871134
1221.65625000;593611.11587743
1221.68750000;593641.58490706
1221.71875000;593672.05579816
1221.75000000;593702.52854851
1221.78125000;593733.00315572
1221.81250000;593763.47961721
1221.84375000;593793.95793026
1221.87500000;593824.43809198
1221.90625000;593854.92009929
1221.93750000;593885.40394897
1221.96875000;593915.88963761
1222.00000000;593946.37716167
1222.03125000;593976.86651740
1222.06250000;594007.35770092
1222.09375000;594037.85070818
1222.12500000;594068.34553495
1222.15625000;594098.84217686
1222.18750000;594129.34062937
1222.21875000;594159.84088777
1222.25000000;594190.34294720
1222.28125000;594220.84680264
1222.31250000;594251.35244892
1222.34375000;594281.85988069
1222.37500000;594312.36909245
1222.40625000;594342.88007856
1222.43750000;594373.39283322
1222.46875000;594403.90735046
1222.50000000;594434.42362416
1222.53125000;594464.94164807
1222.56250000;594495.46141576
1222.59375000;594525.98292067
1222.62500000;594556.50615608
1222.65625000;594587.03111512
1222.68750000;594617.55779079
1222.71875000;594648.08617592
1222.75000000;594678.61626322
1222.78125000;594709.14804522
1222.81250000;594739.68151435
1222.84375000;594770.21666287
1222.87500000;594800.75348290
1222.90625000;594831.29196644
1222.93750000;594861.83210534
1222.96875000;594892.37389132
1223.00000000;594922.91731594
1223.03125000;594953.46237066
1223.06250000;594984.00904678
1223.09375000;595014.55733550
1223.12500000;595045.10722786
1223.15625000;595075.65871478
1223.18750000;595106.21178705
1223.21875000;595136.76643536
1223.25000000;595167.32265024
1223.28125000;595197.88042212
1223.31250000;595228.43974130
1223.34375000;595259.00059796
1223.37500000;595289.56298217
1223.40625000;595320.12688387
1223.43750000;595350.69229290
1223.46875000;595381.25919897
1223.50000000;595411.82759169
1223.53125000;595442.39746056
1223.56250000;595472.96879496
1223.59375000;595503.54158419
1223.62500000;595534.11581741
1223.65625000;595564.69148369
1223.68750000;595595.26857202
1223.71875000;595625.84707125
1223.75000000;595656.42697016
1223.78125000;595687.00825743
1223.81250000;595717.59092164
1223.84375000;595748.17495127
1223.87500000;595778.76033472
1223.90625000;595809.34706030
1223.93750000;595839.93511623
1223.96875000;595870.52449063
1224.00000000;595901.11517157
1224.03125000;595931.70714700
1224.06250000;595962.30040482
1224.09375000;595992.89493284
1224.12500000;596023.49071878
1224.15625000;596054.08775031
1224.18750000;596084.68601500
1224.21875000;596115.28550038
1224.25000000;596145.88619390
1224.28125000;596176.48808292
1224.31250000;596207.09115477
1224.34375000;596237.69539670
1224.37500000;596268.30079590
1224.40625000;596298.90733950
1224.43750000;596329.51501457
1224.46875000;596360.12380815
1224.50000000;596390.73370720
1224.53125000;596421.34469863
1224.56250000;596451.95676931
1224.59375000;596482.56990607
1224.62500000;596513.18409569
1224.65625000;596543.79932490
1224.68750000;596574.41558039
1224.71875000;596605.03284883
1224.75000000;596635.65111684
1224.78125000;596666.27037099
1224.81250000;596696.89059785
1224.84375000;596727.51178394
1224.87500000;596758.13391576
1224.90625000;596788.75697977
1224.93750000;596819.38096243
1224.96875000;596850.00585017
1225.00000000;596880.63162938
1225.03125000;596911.25828647
1225.06250000;596941.88580779
1225.09375000;596972.51417973
1225.12500000;597003.14338861
1225.15625000;597033.77342080
1225.18750000;597064.40426262
1225.21875000;597095.03590041
1225.25000000;597125.66832048
1225.28125000;597156.30150918
1225.31250000;597186.93545284
1225.34375000;597217.57013778
1225.37500000;597248.20555035
1225.40625000;597278.84167689
1225.43750000;597309.47850377
1225.46875000;597340.11601737
1225.50000000;597370.75420405
1225.53125000;597401.39305024
1225.56250000;597432.03254236
1225.59375000;597462.67266684
1225.62500000;597493.31341016
1225.65625000;597523.95475881
1225.68750000;597554.59669930
1225.71875000;597585.23921820
1225.75000000;597615.88230208
1225.78125000;597646.52593755
1225.81250000;597677.17011127
1225.84375000;597707.81480993
1225.87500000;597738.46002025
1225.90625000;597769.10572901
1225.93750000;597799.75192303
1225.96875000;597830.39858916
1226.00000000;597861.04571432
1226.03125000;597891.69328546
1226.06250000;597922.34128961
1226.09375000;597952.98971382
1226.12500000;597983.63854522
1226.15625000;598014.28777099
1226.18750000;598044.93737838
1226.21875000;598075.58735469
1226.25000000;598106.23768730
1226.28125000;598136.88836362
1226.31250000;598167.53937118
1226.34375000;598198.19069755
1226.37500000;598228.84233036
1226.40625000;598259.49425735
1226.43750000;598290.14646631
1226.46875000;598320.79894512
1226.50000000;598351.45168173
1226.53125000;598382.10466417
1226.56250000;598412.75788058
1226.59375000;598443.41131914
1226.62500000;598474.06496817
1226.65625000;598504.71881604
1226.68750000;598535.37285122
1226.71875000;598566.02706228
1226.75000000;598596.68143789
1226.78125000;598627.33596679
1226.81250000;598657.99063785
1226.84375000;598688.64544001
1226.87500000;598719.30036235
1226.90625000;598749.95539401
1226.93750000;598780.61052426
1226.96875000;598811.26574248
1227.00000000;598841.92103815
1227.03125000;598872.57640084
1227.06250000;598903.23182028
1227.09375000;598933.88728626
1227.12500000;598964.54278873
1227.15625000;598995.19831772
1227.18750000;599025.85386341
1227.21875000;599056.50941606
1227.25000000;599087.16496610
1227.28125000;599117.82050405
