input,target
298.12500000,34730.65144603
298.15625000,34738.10584882
298.18750000,34745.56116164
298.21875000,34753.01737091
298.25000000,34760.47446302
298.28125000,34767.93242436
298.31250000,34775.39124129
298.34375000,34782.85090015
298.37500000,34790.31138731
298.40625000,34797.77268910
298.43750000,34805.23479184
298.46875000,34812.69768187
298.50000000,34820.16134552
298.53125000,34827.62576912
298.56250000,34835.09093899
298.59375000,34842.55684148
298.62500000,34850.02346294
298.65625000,34857.49078971
298.68750000,34864.95880818
298.71875000,34872.42750471
298.75000000,34879.89686570
298.78125000,34887.36687758
298.81250000,34894.83752678
298.84375000,34902.30879975
298.87500000,34909.78068298
298.90625000,34917.25316299
298.93750000,34924.72622630
298.96875000,34932.19985950
299.00000000,34939.67404917
299.03125000,34947.14878197
299.06250000,34954.62404456
299.09375000,34962.09982367
299.12500000,34969.57610603
299.15625000,34977.05287847
299.18750000,34984.53012781
299.21875000,34992.00784096
299.25000000,34999.48600485
299.28125000,35006.96460648
299.31250000,35014.44363290
299.34375000,35021.92307120
299.37500000,35029.40290855
299.40625000,35036.88313217
299.43750000,35044.36372934
299.46875000,35051.84468742
299.50000000,35059.32599379
299.53125000,35066.80763596
299.56250000,35074.28960147
299.59375000,35081.77187793
299.62500000,35089.25445304
299.65625000,35096.73731457
299.68750000,35104.22045037
299.71875000,35111.70384836
299.75000000,35119.18749655
299.78125000,35126.67138303
299.81250000,35134.15549597
299.84375000,35141.63982364
299.87500000,35149.12435438
299.90625000,35156.60907664
299.93750000,35164.09397894
299.96875000,35171.57904992
300.00000000,35179.06427829
300.03125000,35186.54965288
300.06250000,35194.03516260
300.09375000,35201.52079647
300.12500000,35209.00654362
300.15625000,35216.49239327
300.18750000,35223.97833476
300.21875000,35231.46435752
300.25000000,35238.95045110
300.28125000,35246.43660517
300.31250000,35253.92280951
300.34375000,35261.40905398
300.37500000,35268.89532861
300.40625000,35276.38162351
300.43750000,35283.86792892
300.46875000,35291.35423520
300.50000000,35298.84053283
300.53125000,35306.32681243
300.56250000,35313.81306471
300.59375000,35321.29928053
300.62500000,35328.78545089
300.65625000,35336.27156689
300.68750000,35343.75761978
300.71875000,35351.24360093
300.75000000,35358.72950185
300.78125000,35366.21531419
300.81250000,35373.70102973
300.84375000,35381.18664039
300.87500000,35388.67213821
300.90625000,35396.15751540
300.93750000,35403.64276429
300.96875000,35411.12787736
301.00000000,35418.61284723
301.03125000,35426.09766667
301.06250000,35433.58232858
301.09375000,35441.06682604
301.12500000,35448.55115223
301.15625000,35456.03530053
301.18750000,35463.51926443
301.21875000,35471.00303758
301.25000000,35478.48661381
301.28125000,35485.96998705
301.31250000,35493.45315144
301.34375000,35500.93610124
301.37500000,35508.41883087
301.40625000,35515.90133492
301.43750000,35523.38360812
301.46875000,35530.86564537
301.50000000,35538.34744172
301.53125000,35545.82899239
301.56250000,35553.31029276
301.59375000,35560.79133836
301.62500000,35568.27212489
301.65625000,35575.75264820
301.68750000,35583.23290434
301.71875000,35590.71288948
301.75000000,35598.19259997
301.78125000,35605.67203234
301.81250000,35613.15118326
301.84375000,35620.63004959
301.87500000,35628.10862833
301.90625000,35635.58691669
301.93750000,35643.06491199
301.96875000,35650.54261177
302.00000000,35658.02001370
302.03125000,35665.49711565
302.06250000,35672.97391563
302.09375000,35680.45041184
302.12500000,35687.92660264
302.15625000,35695.40248656
302.18750000,35702.87806231
302.21875000,35710.35332876
302.25000000,35717.82828494
302.28125000,35725.30293008
302.31250000,35732.77726356
302.34375000,35740.25128494
302.37500000,35747.72499393
302.40625000,35755.19839043
302.43750000,35762.67147452
302.46875000,35770.14424643
302.50000000,35777.61670657
302.53125000,35785.08885552
302.56250000,35792.56069403
302.59375000,35800.03222303
302.62500000,35807.50344359
302.65625000,35814.97435699
302.68750000,35822.44496466
302.71875000,35829.91526820
302.75000000,35837.38526938
302.78125000,35844.85497014
302.81250000,35852.32437259
302.84375000,35859.79347902
302.87500000,35867.26229185
302.90625000,35874.73081372
302.93750000,35882.19904740
302.96875000,35889.66699585
303.00000000,35897.13466217
303.03125000,35904.60204965
303.06250000,35912.06916174
303.09375000,35919.53600205
303.12500000,35927.00257436
303.15625000,35934.46888261
303.18750000,35941.93493090
303.21875000,35949.40072351
303.25000000,35956.86626485
303.28125000,35964.33155953
303.31250000,35971.79661229
303.34375000,35979.26142804
303.37500000,35986.72601186
303.40625000,35994.19036897
303.43750000,36001.65450475
303.46875000,36009.11842476
303.50000000,36016.58213469
303.53125000,36024.04564039
303.56250000,36031.50894788
303.59375000,36038.97206330
303.62500000,36046.43499297
303.65625000,36053.89774337
303.68750000,36061.36032109
303.71875000,36068.82273291
303.75000000,36076.28498573
303.78125000,36083.74708661
303.81250000,36091.20904275
303.84375000,36098.67086151
303.87500000,36106.13255038
303.90625000,36113.59411698
303.93750000,36121.05556909
303.96875000,36128.51691463
304.00000000,36135.97816166
304.03125000,36143.43931836
304.06250000,36150.90039306
304.09375000,36158.36139422
304.12500000,36165.82233044
304.15625000,36173.28321045
304.18750000,36180.74404311
304.21875000,36188.20483740
304.25000000,36195.66560244
304.28125000,36203.12634748
304.31250000,36210.58708188
304.34375000,36218.04781513
304.37500000,36225.50855686
304.40625000,36232.96931679
304.43750000,36240.43010477
304.46875000,36247.89093079
304.50000000,36255.35180492
304.53125000,36262.81273738
304.56250000,36270.27373847
304.59375000,36277.73481863
304.62500000,36285.19598839
304.65625000,36292.65725839
304.68750000,36300.11863939
304.71875000,36307.58014224
304.75000000,36315.04177790
304.78125000,36322.50355743
304.81250000,36329.96549199
304.84375000,36337.42759285
304.87500000,36344.88987134
304.90625000,36352.35233892
304.93750000,36359.81500714
304.96875000,36367.27788762
305.00000000,36374.74099208
305.03125000,36382.20433233
305.06250000,36389.66792026
305.09375000,36397.13176785
305.12500000,36404.59588715
305.15625000,36412.06029031
305.18750000,36419.52498953
305.21875000,36426.98999711
305.25000000,36434.45532542
305.28125000,36441.92098688
305.31250000,36449.38699400
305.34375000,36456.85335937
305.37500000,36464.32009561
305.40625000,36471.78721544
305.43750000,36479.25473162
305.46875000,36486.72265697
305.50000000,36494.19100439
305.53125000,36501.65978682
305.56250000,36509.12901724
305.59375000,36516.59870871
305.62500000,36524.06887432
305.65625000,36531.53952722
305.68750000,36539.01068060
305.71875000,36546.48234770
305.75000000,36553.95454179
305.78125000,36561.42727618
305.81250000,36568.90056425
305.84375000,36576.37441936
305.87500000,36583.84885495
305.90625000,36591.32388448
305.93750000,36598.79952141
305.96875000,36606.27577928
306.00000000,36613.75267161
306.03125000,36621.23021196
306.06250000,36628.70841391
306.09375000,36636.18729106
306.12500000,36643.66685703
306.15625000,36651.14712544
306.18750000,36658.62810994
306.21875000,36666.10982418
306.25000000,36673.59228181
306.28125000,36681.07549652
306.31250000,36688.55948196
306.34375000,36696.04425180
306.37500000,36703.52981973
306.40625000,36711.01619940
306.43750000,36718.50340448
306.46875000,36725.99144863
306.50000000,36733.48034549
306.53125000,36740.97010871
306.56250000,36748.46075190
306.59375000,36755.95228867
306.62500000,36763.44473261
306.65625000,36770.93809730
306.68750000,36778.43239628
306.71875000,36785.92764307
306.75000000,36793.42385118
306.78125000,36800.92103408
306.81250000,36808.41920520
306.84375000,36815.91837796
306.87500000,36823.41856573
306.90625000,36830.91978184
306.93750000,36838.42203960
306.96875000,36845.92535226
307.00000000,36853.42973304
307.03125000,36860.93519510
307.06250000,36868.44175158
307.09375000,36875.94941554
307.12500000,36883.45820001
307.15625000,36890.96811797
307.18750000,36898.47918231
307.21875000,36905.99140591
307.25000000,36913.50480157
307.28125000,36921.01938201
307.31250000,36928.53515992
307.34375000,36936.05214791
307.37500000,36943.57035852
307.40625000,36951.08980422
307.43750000,36958.61049742
307.46875000,36966.13245045
307.50000000,36973.65567557
307.53125000,36981.18018494
307.56250000,36988.70599068
307.59375000,36996.23310480
307.62500000,37003.76153924
307.65625000,37011.29130586
307.68750000,37018.82241642
307.71875000,37026.35488260
307.75000000,37033.88871599
307.78125000,37041.42392809
307.81250000,37048.96053030
307.84375000,37056.49853393
307.87500000,37064.03795020
307.90625000,37071.57879022
307.93750000,37079.12106500
307.96875000,37086.66478546
308.00000000,37094.20996240
308.03125000,37101.75660652
308.06250000,37109.30472842
308.09375000,37116.85433859
308.12500000,37124.40544740
308.15625000,37131.95806512
308.18750000,37139.51220189
308.21875000,37147.06786775
308.25000000,37154.62507261
308.28125000,37162.18382629
308.31250000,37169.74413845
308.34375000,37177.30601865
308.37500000,37184.86947633
308.40625000,37192.43452081
308.43750000,37200.00116126
308.46875000,37207.56940674
308.50000000,37215.13926618
308.53125000,37222.71074838
308.56250000,37230.28386201
308.59375000,37237.85861560
308.62500000,37245.43501755
308.65625000,37253.01307613
308.68750000,37260.59279947
308.71875000,37268.17419554
308.75000000,37275.75727222
308.78125000,37283.34203719
308.81250000,37290.92849804
308.84375000,37298.51666219
308.87500000,37306.10653692
308.90625000,37313.69812937
308.93750000,37321.29144652
308.96875000,37328.88649523
309.00000000,37336.48328217
309.03125000,37344.08181390
309.06250000,37351.68209681
309.09375000,37359.28413715
309.12500000,37366.88794100
309.15625000,37374.49351430
309.18750000,37382.10086283
309.21875000,37389.70999221
309.25000000,37397.32090793
309.28125000,37404.93361529
309.31250000,37412.54811944
309.34375000,37420.16442539
309.37500000,37427.78253797
309.40625000,37435.40246186
309.43750000,37443.02420158
309.46875000,37450.64776147
309.50000000,37458.27314574
309.53125000,37465.90035841
309.56250000,37473.52940334
309.59375000,37481.16028424
309.62500000,37488.79300465
309.65625000,37496.42756794
