input,target
-30.00000000,446.25601043
-29.96875000,445.49400542
-29.93750000,444.73218329
-29.90625000,443.97053267
-29.87500000,443.20904223
-29.84375000,442.44770078
-29.81250000,441.68649721
-29.78125000,440.92542051
-29.75000000,440.16445979
-29.71875000,439.40360423
-29.68750000,438.64284315
-29.65625000,437.88216597
-29.62500000,437.12156220
-29.59375000,436.36102147
-29.56250000,435.60053353
-29.53125000,434.84008825
-29.50000000,434.07967559
-29.46875000,433.31928565
-29.43750000,432.55890864
-29.40625000,431.79853488
-29.37500000,431.03815483
-29.34375000,430.27775906
-29.31250000,429.51733828
-29.28125000,428.75688330
-29.25000000,427.99638509
-29.21875000,427.23583471
-29.18750000,426.47522339
-29.15625000,425.71454246
-29.12500000,424.95378341
-29.09375000,424.19293784
-29.06250000,423.43199749
-29.03125000,422.67095426
-29.00000000,421.90980016
-28.96875000,421.14852736
-28.93750000,420.38712815
-28.90625000,419.62559497
-28.87500000,418.86392042
-28.84375000,418.10209722
-28.81250000,417.34011825
-28.78125000,416.57797653
-28.75000000,415.81566522
-28.71875000,415.05317766
-28.68750000,414.29050729
-28.65625000,413.52764775
-28.62500000,412.76459280
-28.59375000,412.00133637
-28.56250000,411.23787252
-28.53125000,410.47419550
-28.50000000,409.71029968
-28.46875000,408.94617961
-28.43750000,408.18182998
-28.40625000,407.41724566
-28.37500000,406.65242166
-28.34375000,405.88735315
-28.31250000,405.12203547
-28.28125000,404.35646412
-28.25000000,403.59063475
-28.21875000,402.82454319
-28.18750000,402.05818541
-28.15625000,401.29155757
-28.12500000,400.52465598
-28.09375000,399.75747712
-28.06250000,398.99001761
-28.03125000,398.22227429
-28.00000000,397.45424410
-27.96875000,396.68592421
-27.93750000,395.91731192
-27.90625000,395.14840469
-27.87500000,394.37920018
-27.84375000,393.60969621
-27.81250000,392.83989074
-27.78125000,392.06978194
-27.75000000,391.29936812
-27.71875000,390.52864777
-27.68750000,389.75761955
-27.65625000,388.98628230
-27.62500000,388.21463501
-27.59375000,387.44267685
-27.56250000,386.67040716
-27.53125000,385.89782547
-27.50000000,385.12493145
-27.46875000,384.35172495
-27.43750000,383.57820600
-27.40625000,382.80437479
-27.37500000,382.03023170
-27.34375000,381.25577726
-27.31250000,380.48101218
-27.28125000,379.70593733
-27.25000000,378.93055377
-27.21875000,378.15486272
-27.18750000,377.37886556
-27.15625000,376.60256386
-27.12500000,375.82595934
-27.09375000,375.04905390
-27.06250000,374.27184962
-27.03125000,373.49434872
-27.00000000,372.71655361
-26.96875000,371.93846687
-26.93750000,371.16009123
-26.90625000,370.38142961
-26.87500000,369.60248508
-26.84375000,368.82326087
-26.81250000,368.04376040
-26.78125000,367.26398723
-26.75000000,366.48394511
-26.71875000,365.70363794
-26.68750000,364.92306977
-26.65625000,364.14224484
-26.62500000,363.36116753
-26.59375000,362.57984239
-26.56250000,361.79827414
-26.53125000,361.01646765
-26.50000000,360.23442795
-26.46875000,359.45216023
-26.43750000,358.66966983
-26.40625000,357.88696225
-26.37500000,357.10404317
-26.34375000,356.32091839
-26.31250000,355.53759388
-26.28125000,354.75407577
-26.25000000,353.97037032
-26.21875000,353.18648397
-26.18750000,352.40242329
-26.15625000,351.61819501
-26.12500000,350.83380600
-26.09375000,350.04926328
-26.06250000,349.26457403
-26.03125000,348.47974554
-26.00000000,347.69478528
-25.96875000,346.90970085
-25.93750000,346.12449999
-25.90625000,345.33919057
-25.87500000,344.55378062
-25.84375000,343.76827829
-25.81250000,342.98269188
-25.78125000,342.19702982
-25.75000000,341.41130067
-25.71875000,340.62551312
-25.68750000,339.83967600
-25.65625000,339.05379827
-25.62500000,338.26788901
-25.59375000,337.48195744
-25.56250000,336.69601289
-25.53125000,335.91006482
-25.50000000,335.12412281
-25.46875000,334.33819658
-25.43750000,333.55229595
-25.40625000,332.76643085
-25.37500000,331.98061136
-25.34375000,331.19484764
-25.31250000,330.40914997
-25.28125000,329.62352877
-25.25000000,328.83799454
-25.21875000,328.05255790
-25.18750000,327.26722957
-25.15625000,326.48202038
-25.12500000,325.69694127
-25.09375000,324.91200327
-25.06250000,324.12721751
-25.03125000,323.34259524
-25.00000000,322.55814778
-24.96875000,321.77388655
-24.93750000,320.98982307
-24.90625000,320.20596895
-24.87500000,319.42233590
-24.84375000,318.63893569
-24.81250000,317.85578019
