input_a,input_b,target
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
03_medium,04_high,3
04_high,05_very_high,4
05_very_high,01_very_low,5
01_very_low,02_low,1
02_low,03_medium,2
