size_band,service_tier,load_level,target
02_small,01_basic,03_heavy,4
02_small,03_premium,02_light,5
02_small,03_premium,03_heavy,6
05_huge,03_premium,02_light,8
01_tiny,03_premium,03_heavy,5
05_huge,01_basic,03_heavy,7
03_medium,03_premium,01_idle,5
03_medium,03_premium,02_light,6
02_small,01_basic,02_light,3
05_huge,02_standard,03_heavy,8
01_tiny,03_premium,01_idle,3
03_medium,03_premium,02_light,6
02_small,01_basic,01_idle,2
05_huge,03_premium,03_heavy,9
05_huge,02_standard,03_heavy,8
01_tiny,02_standard,03_heavy,4
01_tiny,01_basic,02_light,2
04_large,01_basic,02_light,5
04_large,01_basic,01_idle,4
02_small,02_standard,01_idle,3
04_large,01_basic,03_heavy,6
04_large,03_premium,01_idle,6
02_small,02_standard,02_light,4
04_large,02_standard,01_idle,5
03_medium,03_premium,01_idle,5
01_tiny,01_basic,03_heavy,3
05_huge,03_premium,02_light,8
03_medium,01_basic,01_idle,3
01_tiny,03_premium,02_light,4
04_large,03_premium,01_idle,6
03_medium,01_basic,01_idle,3
02_small,03_premium,02_light,5
04_large,01_basic,03_heavy,6
03_medium,03_premium,02_light,6
03_medium,01_basic,02_light,4
02_small,03_premium,03_heavy,6
02_small,02_standard,02_light,4
05_huge,03_premium,01_idle,7
03_medium,03_premium,01_idle,5
03_medium,03_premium,02_light,6
02_small,02_standard,01_idle,3
05_huge,02_standard,03_heavy,8
02_small,01_basic,01_idle,2
04_large,03_premium,03_heavy,8
05_huge,03_premium,03_heavy,9
04_large,02_standard,01_idle,5
04_large,01_basic,01_idle,4
05_huge,01_basic,01_idle,5
04_large,02_standard,01_idle,5
01_tiny,03_premium,03_heavy,5
01_tiny,02_standard,02_light,3
04_large,03_premium,02_light,7
04_large,02_standard,01_idle,5
02_small,02_standard,03_heavy,5
02_small,01_basic,03_heavy,4
04_large,02_standard,02_light,6
03_medium,02_standard,02_light,5
03_medium,03_premium,02_light,6
05_huge,02_standard,02_light,7
01_tiny,02_standard,02_light,3
05_huge,02_standard,03_heavy,8
02_small,03_premium,03_heavy,6
04_large,02_standard,02_light,6
02_small,02_standard,01_idle,3
01_tiny,02_standard,01_idle,2
02_small,03_premium,01_idle,4
01_tiny,01_basic,01_idle,1
04_large,03_premium,01_idle,6
03_medium,01_basic,02_light,4
03_medium,03_premium,03_heavy,7
05_huge,02_standard,01_idle,6
04_large,01_basic,03_heavy,6
05_huge,01_basic,03_heavy,7
02_small,01_basic,01_idle,2
03_medium,03_premium,02_light,6
04_large,03_premium,03_heavy,8
04_large,01_basic,02_light,5
04_large,01_basic,02_light,5
05_huge,01_basic,03_heavy,7
01_tiny,03_premium,03_heavy,5
03_medium,03_premium,03_heavy,7
02_small,02_standard,01_idle,3
03_medium,02_standard,03_heavy,6
05_huge,03_premium,02_light,8
03_medium,02_standard,02_light,5
05_huge,01_basic,01_idle,5
05_huge,01_basic,02_light,6
03_medium,02_standard,01_idle,4
02_small,02_standard,02_light,4
02_small,03_premium,01_idle,4
01_tiny,03_premium,01_idle,3
03_medium,03_premium,02_light,6
05_huge,03_premium,02_light,8
01_tiny,01_basic,02_light,2
03_medium,03_premium,01_idle,5
04_large,02_standard,02_light,6
03_medium,03_premium,03_heavy,7
04_large,02_standard,02_light,6
01_tiny,03_premium,03_heavy,5
05_huge,02_standard,02_light,7
05_huge,01_basic,03_heavy,7
04_large,03_premium,02_light,7
05_huge,01_basic,02_light,6
02_small,01_basic,01_idle,2
03_medium,03_premium,02_light,6
04_large,03_premium,02_light,7
03_medium,03_premium,02_light,6
01_tiny,03_premium,02_light,4
01_tiny,03_premium,01_idle,3
05_huge,01_basic,03_heavy,7
02_small,01_basic,02_light,3
01_tiny,03_premium,03_heavy,5
02_small,03_premium,03_heavy,6
04_large,01_basic,01_idle,4
03_medium,03_premium,01_idle,5
02_small,01_basic,02_light,3
02_small,02_standard,01_idle,3
03_medium,01_basic,03_heavy,5
01_tiny,01_basic,02_light,2
03_medium,03_premium,01_idle,5
01_tiny,03_premium,01_idle,3
01_tiny,03_premium,01_idle,3
04_large,03_premium,01_idle,6
05_huge,02_standard,02_light,7
01_tiny,02_standard,01_idle,2
01_tiny,02_standard,02_light,3
01_tiny,01_basic,01_idle,1
01_tiny,02_standard,03_heavy,4
05_huge,01_basic,02_light,6
01_tiny,01_basic,02_light,2
04_large,02_standard,01_idle,5
05_huge,03_premium,03_heavy,9
02_small,02_standard,02_light,4
02_small,03_premium,02_light,5
01_tiny,01_basic,03_heavy,3
03_medium,02_standard,01_idle,4
01_tiny,01_basic,03_heavy,3
03_medium,02_standard,02_light,5
02_small,02_standard,01_idle,3
02_small,02_standard,02_light,4
04_large,01_basic,01_idle,4
05_huge,01_basic,01_idle,5
03_medium,02_standard,01_idle,4
01_tiny,02_standard,02_light,3
01_tiny,01_basic,02_light,2
01_tiny,02_standard,03_heavy,4
04_large,02_standard,01_idle,5
04_large,02_standard,01_idle,5
04_large,01_basic,02_light,5
02_small,03_premium,01_idle,4
03_medium,01_basic,01_idle,3
04_large,03_premium,03_heavy,8
05_huge,01_basic,03_heavy,7
05_huge,01_basic,02_light,6
01_tiny,02_standard,02_light,3
01_tiny,02_standard,02_light,3
03_medium,03_premium,01_idle,5
02_small,02_standard,02_light,4
05_huge,02_standard,03_heavy,8
05_huge,01_basic,01_idle,5
01_tiny,03_premium,01_idle,3
04_large,01_basic,03_heavy,6
01_tiny,03_premium,03_heavy,5
03_medium,02_standard,02_light,5
02_small,03_premium,02_light,5
03_medium,01_basic,03_heavy,5
04_large,02_standard,03_heavy,7
05_huge,02_standard,02_light,7
04_large,02_standard,01_idle,5
04_large,02_standard,02_light,6
05_huge,01_basic,02_light,6
02_small,01_basic,02_light,3
01_tiny,01_basic,01_idle,1
02_small,03_premium,02_light,5
04_large,01_basic,03_heavy,6
05_huge,03_premium,03_heavy,9
05_huge,01_basic,01_idle,5
03_medium,03_premium,02_light,6
04_large,01_basic,02_light,5
05_huge,01_basic,02_light,6
05_huge,01_basic,03_heavy,7
03_medium,01_basic,01_idle,3
04_large,03_premium,03_heavy,8
01_tiny,03_premium,01_idle,3
02_small,02_standard,02_light,4
05_huge,03_premium,02_light,8
01_tiny,02_standard,03_heavy,4
02_small,03_premium,01_idle,4
03_medium,03_premium,01_idle,5
05_huge,03_premium,02_light,8
02_small,02_standard,02_light,4
05_huge,01_basic,02_light,6
02_small,03_premium,03_heavy,6
01_tiny,02_standard,01_idle,2
05_huge,01_basic,02_light,6
02_small,03_premium,02_light,5
02_small,01_basic,03_heavy,4
05_huge,02_standard,01_idle,6
04_large,02_standard,03_heavy,7
01_tiny,02_standard,01_idle,2
01_tiny,01_basic,01_idle,1
02_small,02_standard,01_idle,3
04_large,03_premium,02_light,7
01_tiny,02_standard,02_light,3
01_tiny,02_standard,03_heavy,4
01_tiny,02_standard,02_light,3
01_tiny,02_standard,02_light,3
03_medium,01_basic,02_light,4
02_small,01_basic,01_idle,2
02_small,01_basic,02_light,3
04_large,01_basic,03_heavy,6
04_large,03_premium,03_heavy,8
02_small,03_premium,02_light,5
02_small,03_premium,02_light,5
05_huge,02_standard,02_light,7
04_large,03_premium,02_light,7
05_huge,02_standard,03_heavy,8
04_large,02_standard,01_idle,5
03_medium,01_basic,02_light,4
04_large,02_standard,03_heavy,7
02_small,02_standard,01_idle,3
05_huge,01_basic,03_heavy,7
02_small,03_premium,02_light,5
03_medium,02_standard,03_heavy,6
