input_a,input_b,target_a,target_b
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
02_low,03_medium,2,3
03_medium,04_high,3,4
04_high,05_very_high,4,5
05_very_high,01_very_low,5,1
01_very_low,02_low,1,2
