size_band,service_tier,load_level,target,priority_level
01_very_low,3_premium,01_very_low,1,3
02_low,3_premium,01_very_low,1,1
01_very_low,2_standard,02_low,1,
01_very_low,2_standard,02_low,1,2
01_very_low,2_standard,02_low,1,2
02_low,2_standard,01_very_low,1,3
02_low,1_basic,01_very_low,1,2
01_very_low,2_standard,01_very_low,1,2
01_very_low,1_basic,02_low,1,1
01_very_low,2_standard,01_very_low,1,2
01_very_low,1_basic,01_very_low,1,1
02_low,3_premium,01_very_low,1,1
01_very_low,3_premium,01_very_low,1,3
01_very_low,1_basic,01_very_low,1,1
02_low,3_premium,01_very_low,1,1
01_very_low,3_premium,02_low,1,3
02_low,3_premium,01_very_low,1,1
02_low,2_standard,01_very_low,1,
01_very_low,3_premium,01_very_low,1,3
02_low,1_basic,01_very_low,1,2
01_very_low,2_standard,02_low,1,2
01_very_low,3_premium,02_low,1,3
01_very_low,2_standard,02_low,1,2
02_low,1_basic,01_very_low,1,
01_very_low,1_basic,01_very_low,1,1
02_low,1_basic,01_very_low,1,2
01_very_low,1_basic,01_very_low,1,1
01_very_low,2_standard,01_very_low,1,2
02_low,3_premium,01_very_low,1,1
02_low,1_basic,01_very_low,1,2
01_very_low,2_standard,01_very_low,1,2
01_very_low,3_premium,01_very_low,1,3
01_very_low,1_basic,02_low,1,1
02_low,1_basic,01_very_low,1,2
01_very_low,2_standard,02_low,1,2
01_very_low,3_premium,01_very_low,1,
01_very_low,3_premium,02_low,1,3
01_very_low,2_standard,02_low,1,2
01_very_low,1_basic,01_very_low,1,1
02_low,2_standard,01_very_low,1,3
01_very_low,3_premium,01_very_low,1,3
01_very_low,1_basic,02_low,1,1
02_low,1_basic,01_very_low,1,
01_very_low,1_basic,02_low,1,1
01_very_low,3_premium,01_very_low,1,3
01_very_low,1_basic,01_very_low,1,1
01_very_low,3_premium,02_low,1,3
01_very_low,1_basic,02_low,1,1
02_low,1_basic,01_very_low,1,2
02_low,2_standard,01_very_low,1,3
01_very_low,3_premium,01_very_low,1,3
01_very_low,2_standard,01_very_low,1,2
01_very_low,1_basic,02_low,1,1
01_very_low,2_standard,02_low,1,2
01_very_low,1_basic,02_low,1,1
01_very_low,1_basic,01_very_low,1,1
01_very_low,2_standard,02_low,1,2
