size_band,service_tier,load_level,target,priority_level
03_medium,1_basic,01_very_low,2,3
03_medium,3_premium,02_low,2,2
03_medium,3_premium,02_low,2,2
02_low,3_premium,02_low,2,1
02_low,2_standard,03_medium,2,3
02_low,3_premium,03_medium,2,1
01_very_low,2_standard,04_high,2,2
01_very_low,2_standard,03_medium,2,2
03_medium,3_premium,01_very_low,2,2
04_high,2_standard,01_very_low,2,2
04_high,2_standard,01_very_low,2,2
04_high,3_premium,01_very_low,2,3
03_medium,2_standard,01_very_low,2,1
03_medium,1_basic,02_low,2,3
03_medium,3_premium,01_very_low,2,2
02_low,1_basic,02_low,2,2
03_medium,2_standard,01_very_low,2,1
02_low,2_standard,03_medium,2,3
02_low,2_standard,02_low,2,3
03_medium,3_premium,02_low,2,2
04_high,1_basic,01_very_low,2,1
03_medium,1_basic,02_low,2,3
02_low,1_basic,02_low,2,2
01_very_low,2_standard,04_high,2,2
03_medium,3_premium,01_very_low,2,2
04_high,1_basic,01_very_low,2,1
04_high,3_premium,01_very_low,2,3
02_low,3_premium,02_low,2,1
02_low,1_basic,03_medium,2,2
02_low,3_premium,03_medium,2,1
04_high,3_premium,01_very_low,2,3
01_very_low,1_basic,04_high,2,1
01_very_low,1_basic,03_medium,2,1
01_very_low,1_basic,03_medium,2,1
04_high,3_premium,01_very_low,2,3
02_low,3_premium,02_low,2,1
01_very_low,2_standard,03_medium,2,2
04_high,3_premium,01_very_low,2,
01_very_low,1_basic,03_medium,2,1
01_very_low,2_standard,03_medium,2,2
04_high,1_basic,01_very_low,2,1
03_medium,1_basic,02_low,2,3
03_medium,3_premium,01_very_low,2,2
02_low,1_basic,03_medium,2,2
03_medium,2_standard,01_very_low,2,1
03_medium,2_standard,02_low,2,1
02_low,1_basic,03_medium,2,2
04_high,3_premium,01_very_low,2,3
01_very_low,3_premium,03_medium,2,3
01_very_low,3_premium,03_medium,2,
02_low,2_standard,03_medium,2,3
02_low,3_premium,03_medium,2,1
02_low,3_premium,02_low,2,1
04_high,1_basic,01_very_low,2,1
01_very_low,1_basic,03_medium,2,
03_medium,1_basic,02_low,2,3
04_high,1_basic,01_very_low,2,1
