size_band,service_tier,load_level,target,priority_level
05_very_high,3_premium,05_very_high,5,1
05_very_high,2_standard,05_very_high,5,3
05_very_high,3_premium,05_very_high,5,1
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,1
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,1
05_very_high,3_premium,05_very_high,5,1
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,
05_very_high,3_premium,05_very_high,5,1
05_very_high,3_premium,05_very_high,5,1
05_very_high,1_basic,05_very_high,5,2
05_very_high,1_basic,05_very_high,5,
05_very_high,3_premium,05_very_high,5,1
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,1
05_very_high,3_premium,05_very_high,5,
05_very_high,3_premium,05_very_high,5,1
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,
05_very_high,3_premium,05_very_high,5,1
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,3_premium,05_very_high,5,1
05_very_high,3_premium,05_very_high,5,1
05_very_high,1_basic,05_very_high,5,
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,3_premium,05_very_high,5,1
05_very_high,1_basic,05_very_high,5,2
05_very_high,1_basic,05_very_high,5,2
05_very_high,3_premium,05_very_high,5,1
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
05_very_high,1_basic,05_very_high,5,2
05_very_high,2_standard,05_very_high,5,3
