size_band,service_tier,load_level,target,priority_level
02_low,3_premium,02_low,2,
03_medium,3_premium,05_very_high,4,2
01_very_low,1_basic,03_medium,2,1
05_very_high,2_standard,03_medium,4,3
01_very_low,2_standard,01_very_low,1,2
05_very_high,3_premium,05_very_high,5,1
03_medium,3_premium,03_medium,3,2
03_medium,3_premium,05_very_high,4,2
04_high,2_standard,04_high,4,2
03_medium,1_basic,02_low,2,3
04_high,1_basic,02_low,3,1
03_medium,2_standard,02_low,2,
02_low,2_standard,02_low,2,3
05_very_high,3_premium,03_medium,4,1
04_high,2_standard,05_very_high,4,2
05_very_high,2_standard,05_very_high,5,3
01_very_low,2_standard,04_high,2,2
01_very_low,1_basic,01_very_low,1,1
01_very_low,3_premium,02_low,1,3
02_low,1_basic,02_low,2,2
01_very_low,2_standard,02_low,1,2
03_medium,3_premium,05_very_high,4,2
02_low,1_basic,02_low,2,
05_very_high,2_standard,03_medium,4,3
04_high,1_basic,03_medium,3,1
04_high,3_premium,01_very_low,2,3
03_medium,3_premium,02_low,2,2
01_very_low,3_premium,04_high,2,3
04_high,2_standard,05_very_high,4,2
03_medium,3_premium,01_very_low,2,2
05_very_high,2_standard,03_medium,4,3
02_low,1_basic,02_low,2,2
03_medium,1_basic,05_very_high,4,3
01_very_low,3_premium,03_medium,2,
03_medium,2_standard,05_very_high,4,1
04_high,1_basic,01_very_low,2,1
01_very_low,2_standard,02_low,1,2
05_very_high,2_standard,04_high,4,3
02_low,2_standard,01_very_low,1,3
01_very_low,2_standard,03_medium,2,2
02_low,2_standard,04_high,3,3
02_low,3_premium,02_low,2,1
01_very_low,2_standard,05_very_high,3,2
02_low,1_basic,01_very_low,1,2
04_high,3_premium,02_low,3,
03_medium,3_premium,04_high,3,2
03_medium,2_standard,04_high,3,1
03_medium,3_premium,05_very_high,4,2
01_very_low,2_standard,04_high,2,2
04_high,2_standard,01_very_low,2,2
02_low,3_premium,05_very_high,3,1
01_very_low,2_standard,03_medium,2,2
02_low,1_basic,02_low,2,2
