size_band,service_tier,load_level,target
01_very_low,2_standard,01_very_low,1
01_very_low,3_premium,02_low,1
01_very_low,1_basic,02_low,1
01_very_low,3_premium,01_very_low,1
01_very_low,1_basic,01_very_low,1
02_low,1_basic,01_very_low,1
01_very_low,2_standard,01_very_low,1
02_low,2_standard,01_very_low,1
02_low,3_premium,01_very_low,1
02_low,3_premium,01_very_low,1
01_very_low,3_premium,01_very_low,1
01_very_low,3_premium,01_very_low,1
01_very_low,2_standard,02_low,1
02_low,3_premium,01_very_low,1
02_low,1_basic,01_very_low,1
01_very_low,2_standard,02_low,1
01_very_low,3_premium,01_very_low,1
02_low,2_standard,01_very_low,1
01_very_low,1_basic,02_low,1
01_very_low,3_premium,01_very_low,1
02_low,3_premium,01_very_low,1
02_low,1_basic,01_very_low,1
01_very_low,3_premium,02_low,1
02_low,2_standard,01_very_low,1
01_very_low,2_standard,01_very_low,1
01_very_low,3_premium,02_low,1
01_very_low,3_premium,02_low,1
01_very_low,2_standard,02_low,1
01_very_low,3_premium,02_low,1
01_very_low,1_basic,02_low,1
01_very_low,2_standard,01_very_low,1
01_very_low,2_standard,01_very_low,1
02_low,2_standard,01_very_low,1
02_low,2_standard,01_very_low,1
01_very_low,2_standard,02_low,1
01_very_low,3_premium,02_low,1
01_very_low,3_premium,01_very_low,1
01_very_low,1_basic,01_very_low,1
01_very_low,2_standard,01_very_low,1
01_very_low,3_premium,02_low,1
01_very_low,2_standard,01_very_low,1
01_very_low,1_basic,02_low,1
01_very_low,2_standard,02_low,1
01_very_low,2_standard,01_very_low,1
02_low,3_premium,01_very_low,1
02_low,2_standard,01_very_low,1
01_very_low,1_basic,01_very_low,1
01_very_low,2_standard,01_very_low,1
01_very_low,2_standard,02_low,1
01_very_low,1_basic,01_very_low,1
01_very_low,3_premium,02_low,1
02_low,3_premium,01_very_low,1
01_very_low,1_basic,02_low,1
01_very_low,1_basic,02_low,1
02_low,2_standard,01_very_low,1
01_very_low,1_basic,02_low,1
01_very_low,1_basic,02_low,1
01_very_low,1_basic,02_low,1
01_very_low,1_basic,01_very_low,1
