size_band,service_tier,load_level,target
04_high,1_basic,01_very_low,2
02_low,2_standard,02_low,2
01_very_low,3_premium,04_high,2
03_medium,3_premium,02_low,2
04_high,2_standard,01_very_low,2
02_low,2_standard,02_low,2
03_medium,2_standard,02_low,2
02_low,2_standard,02_low,2
03_medium,1_basic,02_low,2
03_medium,1_basic,01_very_low,2
02_low,2_standard,03_medium,2
02_low,3_premium,03_medium,2
02_low,2_standard,02_low,2
01_very_low,1_basic,03_medium,2
02_low,2_standard,02_low,2
01_very_low,3_premium,04_high,2
02_low,1_basic,03_medium,2
01_very_low,3_premium,03_medium,2
01_very_low,1_basic,03_medium,2
01_very_low,1_basic,04_high,2
02_low,3_premium,03_medium,2
04_high,3_premium,01_very_low,2
03_medium,2_standard,01_very_low,2
01_very_low,3_premium,03_medium,2
02_low,1_basic,02_low,2
03_medium,3_premium,01_very_low,2
01_very_low,1_basic,04_high,2
04_high,3_premium,01_very_low,2
01_very_low,3_premium,04_high,2
03_medium,1_basic,02_low,2
04_high,2_standard,01_very_low,2
01_very_low,1_basic,04_high,2
01_very_low,2_standard,03_medium,2
03_medium,3_premium,02_low,2
04_high,1_basic,01_very_low,2
03_medium,1_basic,02_low,2
03_medium,1_basic,02_low,2
03_medium,2_standard,02_low,2
02_low,1_basic,03_medium,2
02_low,1_basic,03_medium,2
04_high,2_standard,01_very_low,2
04_high,3_premium,01_very_low,2
03_medium,2_standard,02_low,2
04_high,1_basic,01_very_low,2
03_medium,1_basic,01_very_low,2
03_medium,3_premium,01_very_low,2
03_medium,2_standard,02_low,2
02_low,3_premium,03_medium,2
04_high,1_basic,01_very_low,2
02_low,2_standard,02_low,2
03_medium,2_standard,02_low,2
01_very_low,3_premium,04_high,2
03_medium,1_basic,01_very_low,2
02_low,2_standard,02_low,2
01_very_low,2_standard,04_high,2
03_medium,1_basic,01_very_low,2
01_very_low,3_premium,04_high,2
02_low,2_standard,02_low,2
02_low,1_basic,03_medium,2
