size_band,service_tier,load_level,target
03_medium,2_standard,03_medium,3
03_medium,1_basic,04_high,3
03_medium,1_basic,03_medium,3
02_low,2_standard,05_very_high,3
03_medium,1_basic,04_high,3
02_low,2_standard,04_high,3
02_low,3_premium,05_very_high,3
05_very_high,1_basic,02_low,3
04_high,3_premium,02_low,3
04_high,1_basic,02_low,3
04_high,3_premium,02_low,3
05_very_high,2_standard,01_very_low,3
03_medium,2_standard,04_high,3
01_very_low,3_premium,05_very_high,3
03_medium,1_basic,03_medium,3
04_high,3_premium,03_medium,3
02_low,2_standard,05_very_high,3
03_medium,2_standard,04_high,3
03_medium,3_premium,04_high,3
02_low,1_basic,05_very_high,3
03_medium,3_premium,04_high,3
05_very_high,1_basic,01_very_low,3
05_very_high,1_basic,01_very_low,3
05_very_high,2_standard,01_very_low,3
04_high,3_premium,03_medium,3
04_high,3_premium,03_medium,3
02_low,2_standard,04_high,3
01_very_low,1_basic,05_very_high,3
02_low,3_premium,04_high,3
04_high,2_standard,03_medium,3
03_medium,1_basic,03_medium,3
04_high,1_basic,03_medium,3
04_high,2_standard,03_medium,3
04_high,2_standard,02_low,3
02_low,3_premium,04_high,3
02_low,1_basic,05_very_high,3
01_very_low,2_standard,05_very_high,3
02_low,3_premium,04_high,3
05_very_high,1_basic,01_very_low,3
03_medium,2_standard,03_medium,3
04_high,3_premium,02_low,3
04_high,1_basic,03_medium,3
03_medium,2_standard,04_high,3
05_very_high,2_standard,02_low,3
04_high,2_standard,02_low,3
04_high,2_standard,02_low,3
04_high,2_standard,03_medium,3
03_medium,3_premium,03_medium,3
05_very_high,2_standard,02_low,3
05_very_high,1_basic,01_very_low,3
02_low,1_basic,05_very_high,3
03_medium,2_standard,03_medium,3
02_low,3_premium,05_very_high,3
04_high,2_standard,03_medium,3
05_very_high,2_standard,01_very_low,3
02_low,2_standard,04_high,3
05_very_high,3_premium,02_low,3
03_medium,3_premium,03_medium,3
05_very_high,3_premium,01_very_low,3
