size_band,service_tier,load_level,target
05_very_high,2_standard,03_medium,4
04_high,2_standard,05_very_high,4
05_very_high,3_premium,03_medium,4
03_medium,2_standard,05_very_high,4
04_high,3_premium,05_very_high,4
05_very_high,3_premium,04_high,4
05_very_high,2_standard,03_medium,4
03_medium,1_basic,05_very_high,4
05_very_high,1_basic,03_medium,4
05_very_high,3_premium,03_medium,4
04_high,2_standard,04_high,4
05_very_high,3_premium,03_medium,4
05_very_high,3_premium,03_medium,4
05_very_high,2_standard,04_high,4
04_high,3_premium,05_very_high,4
04_high,2_standard,05_very_high,4
03_medium,1_basic,05_very_high,4
05_very_high,3_premium,04_high,4
04_high,2_standard,05_very_high,4
05_very_high,2_standard,03_medium,4
04_high,1_basic,04_high,4
05_very_high,2_standard,03_medium,4
05_very_high,3_premium,03_medium,4
05_very_high,1_basic,04_high,4
04_high,1_basic,04_high,4
04_high,2_standard,05_very_high,4
04_high,3_premium,05_very_high,4
05_very_high,2_standard,04_high,4
05_very_high,3_premium,03_medium,4
03_medium,2_standard,05_very_high,4
05_very_high,1_basic,03_medium,4
04_high,2_standard,05_very_high,4
04_high,3_premium,05_very_high,4
05_very_high,3_premium,03_medium,4
05_very_high,3_premium,03_medium,4
04_high,3_premium,05_very_high,4
04_high,1_basic,04_high,4
04_high,3_premium,04_high,4
05_very_high,1_basic,03_medium,4
05_very_high,3_premium,03_medium,4
05_very_high,2_standard,04_high,4
05_very_high,3_premium,04_high,4
03_medium,1_basic,05_very_high,4
04_high,1_basic,04_high,4
04_high,1_basic,04_high,4
03_medium,3_premium,05_very_high,4
04_high,2_standard,05_very_high,4
04_high,3_premium,05_very_high,4
03_medium,2_standard,05_very_high,4
05_very_high,3_premium,03_medium,4
04_high,2_standard,05_very_high,4
04_high,2_standard,04_high,4
04_high,2_standard,04_high,4
05_very_high,3_premium,03_medium,4
05_very_high,3_premium,03_medium,4
04_high,2_standard,05_very_high,4
04_high,3_premium,05_very_high,4
05_very_high,1_basic,04_high,4
04_high,3_premium,04_high,4
