input,target_a,target_b
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
03_medium,3,4
04_high,4,5
05_very_high,5,1
01_very_low,1,2
02_low,2,3
