size_band,target,priority_level
01_very_low,1,2
01_very_low,1,2
01_very_low,1,1
01_very_low,1,2
02_low,1,2
01_very_low,1,1
01_very_low,1,1
01_very_low,1,1
01_very_low,1,3
02_low,1,1
02_low,1,3
01_very_low,1,1
01_very_low,1,1
01_very_low,1,1
01_very_low,1,2
01_very_low,1,1
01_very_low,1,2
01_very_low,1,3
01_very_low,1,1
01_very_low,1,1
02_low,1,1
01_very_low,1,
02_low,1,1
01_very_low,1,3
01_very_low,1,1
01_very_low,1,2
02_low,1,3
02_low,1,1
01_very_low,1,3
02_low,1,2
01_very_low,1,3
01_very_low,1,
02_low,1,2
01_very_low,1,1
01_very_low,1,1
01_very_low,1,1
02_low,1,2
02_low,1,2
02_low,1,2
01_very_low,1,2
01_very_low,1,3
02_low,1,
01_very_low,1,2
02_low,1,1
02_low,1,2
01_very_low,1,2
01_very_low,1,3
01_very_low,1,2
01_very_low,1,
01_very_low,1,1
01_very_low,1,2
02_low,1,3
01_very_low,1,1
01_very_low,1,3
01_very_low,1,2
01_very_low,1,3
01_very_low,1,2
02_low,1,1
01_very_low,1,
01_very_low,1,2
01_very_low,1,3
02_low,1,2
01_very_low,1,1
02_low,1,2
01_very_low,1,1
02_low,1,3
01_very_low,1,
02_low,1,3
01_very_low,1,1
01_very_low,1,3
01_very_low,1,3
02_low,1,1
02_low,1,
01_very_low,1,1
01_very_low,1,2
01_very_low,1,3
01_very_low,1,1
01_very_low,1,
02_low,1,2
01_very_low,1,1
01_very_low,1,
01_very_low,1,1
01_very_low,1,1
01_very_low,1,1
01_very_low,1,2
01_very_low,1,3
02_low,1,1
01_very_low,1,1
02_low,1,2
01_very_low,1,
01_very_low,1,3
01_very_low,1,3
02_low,1,3
01_very_low,1,1
01_very_low,1,3
01_very_low,1,1
01_very_low,1,1
01_very_low,1,2
01_very_low,1,3
01_very_low,1,2
01_very_low,1,2
02_low,1,1
01_very_low,1,3
01_very_low,1,1
01_very_low,1,1
02_low,1,
01_very_low,1,2
01_very_low,1,3
02_low,1,3
01_very_low,1,3
01_very_low,1,3
01_very_low,1,2
01_very_low,1,2
01_very_low,1,
02_low,1,1
01_very_low,1,1
01_very_low,1,3
02_low,1,3
01_very_low,1,2
02_low,1,2
02_low,1,1
01_very_low,1,3
02_low,1,2
01_very_low,1,
01_very_low,1,2
01_very_low,1,2
01_very_low,1,1
01_very_low,1,1
01_very_low,1,2
01_very_low,1,3
01_very_low,1,3
01_very_low,1,3
02_low,1,3
02_low,1,2
