size_band,target,priority_level
02_low,2,1
01_very_low,2,
03_medium,2,2
03_medium,2,3
01_very_low,2,1
02_low,2,2
03_medium,2,3
04_high,2,1
03_medium,2,3
01_very_low,2,3
02_low,2,
02_low,2,1
04_high,2,3
04_high,2,2
02_low,2,1
01_very_low,2,2
01_very_low,2,2
03_medium,2,2
03_medium,2,1
02_low,2,3
02_low,2,3
01_very_low,2,3
01_very_low,2,
01_very_low,2,1
02_low,2,3
02_low,2,3
01_very_low,2,3
03_medium,2,1
03_medium,2,1
03_medium,2,
04_high,2,3
04_high,2,
03_medium,2,1
01_very_low,2,2
01_very_low,2,3
01_very_low,2,
03_medium,2,3
01_very_low,2,3
01_very_low,2,2
03_medium,2,
03_medium,2,3
03_medium,2,3
03_medium,2,2
04_high,2,2
01_very_low,2,1
03_medium,2,1
03_medium,2,2
01_very_low,2,2
01_very_low,2,1
04_high,2,3
03_medium,2,2
02_low,2,2
03_medium,2,1
02_low,2,2
01_very_low,2,2
03_medium,2,3
02_low,2,3
04_high,2,2
02_low,2,
04_high,2,1
02_low,2,2
02_low,2,2
01_very_low,2,2
01_very_low,2,2
01_very_low,2,
04_high,2,3
03_medium,2,1
02_low,2,2
03_medium,2,
01_very_low,2,2
01_very_low,2,3
04_high,2,2
01_very_low,2,
03_medium,2,3
03_medium,2,2
02_low,2,1
03_medium,2,2
01_very_low,2,1
01_very_low,2,2
01_very_low,2,2
03_medium,2,2
02_low,2,
04_high,2,1
02_low,2,3
03_medium,2,1
01_very_low,2,1
01_very_low,2,1
01_very_low,2,2
03_medium,2,2
04_high,2,3
03_medium,2,3
03_medium,2,2
04_high,2,1
02_low,2,3
01_very_low,2,3
02_low,2,3
03_medium,2,2
03_medium,2,3
02_low,2,
02_low,2,1
04_high,2,1
01_very_low,2,2
04_high,2,3
01_very_low,2,
02_low,2,1
02_low,2,3
03_medium,2,1
02_low,2,2
03_medium,2,3
03_medium,2,2
04_high,2,1
01_very_low,2,3
03_medium,2,1
03_medium,2,1
03_medium,2,3
04_high,2,
02_low,2,2
02_low,2,3
03_medium,2,3
04_high,2,1
02_low,2,2
03_medium,2,3
02_low,2,2
03_medium,2,1
01_very_low,2,1
03_medium,2,
03_medium,2,2
02_low,2,3
02_low,2,3
03_medium,2,3
04_high,2,1
03_medium,2,2
02_low,2,
04_high,2,1
