size_band,target,priority_level
02_low,3,1
03_medium,3,1
02_low,3,
02_low,3,2
05_very_high,3,1
02_low,3,2
03_medium,3,2
02_low,3,1
05_very_high,3,1
04_high,3,2
05_very_high,3,1
03_medium,3,3
05_very_high,3,
02_low,3,3
05_very_high,3,1
04_high,3,
03_medium,3,3
03_medium,3,2
05_very_high,3,2
04_high,3,2
03_medium,3,2
02_low,3,1
04_high,3,2
02_low,3,2
04_high,3,1
02_low,3,3
03_medium,3,3
05_very_high,3,3
02_low,3,2
03_medium,3,3
01_very_low,3,1
05_very_high,3,1
02_low,3,1
02_low,3,1
01_very_low,3,2
02_low,3,2
05_very_high,3,2
03_medium,3,1
05_very_high,3,1
01_very_low,3,3
04_high,3,1
04_high,3,
01_very_low,3,2
03_medium,3,2
04_high,3,2
04_high,3,1
03_medium,3,2
05_very_high,3,2
03_medium,3,3
04_high,3,3
01_very_low,3,2
02_low,3,3
03_medium,3,
02_low,3,3
02_low,3,3
03_medium,3,3
01_very_low,3,2
01_very_low,3,1
03_medium,3,2
05_very_high,3,2
03_medium,3,1
05_very_high,3,3
01_very_low,3,3
05_very_high,3,1
05_very_high,3,1
02_low,3,3
05_very_high,3,1
04_high,3,2
01_very_low,3,3
04_high,3,2
03_medium,3,2
05_very_high,3,3
05_very_high,3,2
03_medium,3,1
02_low,3,
04_high,3,1
03_medium,3,1
05_very_high,3,1
03_medium,3,1
03_medium,3,2
04_high,3,2
04_high,3,2
03_medium,3,
03_medium,3,1
05_very_high,3,3
04_high,3,
04_high,3,2
03_medium,3,1
05_very_high,3,2
04_high,3,1
04_high,3,
04_high,3,2
02_low,3,1
02_low,3,1
03_medium,3,2
05_very_high,3,3
04_high,3,1
04_high,3,3
02_low,3,3
03_medium,3,1
02_low,3,1
05_very_high,3,3
02_low,3,3
02_low,3,2
05_very_high,3,1
04_high,3,2
02_low,3,1
04_high,3,3
05_very_high,3,2
02_low,3,
03_medium,3,1
04_high,3,2
05_very_high,3,
02_low,3,1
05_very_high,3,2
05_very_high,3,1
04_high,3,3
04_high,3,
04_high,3,3
05_very_high,3,1
04_high,3,1
03_medium,3,1
04_high,3,3
05_very_high,3,
02_low,3,3
05_very_high,3,1
03_medium,3,3
02_low,3,3
05_very_high,3,2
05_very_high,3,1
02_low,3,2
01_very_low,3,2
04_high,3,2
02_low,3,1
