size_band,target,priority_level
05_very_high,4,1
05_very_high,4,1
05_very_high,4,2
03_medium,4,3
05_very_high,4,3
04_high,4,3
04_high,4,1
05_very_high,4,2
04_high,4,2
04_high,4,
05_very_high,4,1
05_very_high,4,2
05_very_high,4,3
05_very_high,4,1
05_very_high,4,2
05_very_high,4,3
05_very_high,4,3
05_very_high,4,2
04_high,4,3
05_very_high,4,1
04_high,4,2
05_very_high,4,1
05_very_high,4,3
04_high,4,1
05_very_high,4,1
04_high,4,1
03_medium,4,2
04_high,4,1
05_very_high,4,1
04_high,4,2
04_high,4,2
04_high,4,
03_medium,4,2
04_high,4,3
05_very_high,4,1
04_high,4,2
05_very_high,4,
05_very_high,4,2
04_high,4,3
04_high,4,3
05_very_high,4,
03_medium,4,1
04_high,4,3
04_high,4,1
05_very_high,4,3
05_very_high,4,1
05_very_high,4,1
04_high,4,
04_high,4,1
03_medium,4,2
03_medium,4,2
04_high,4,2
05_very_high,4,1
04_high,4,1
04_high,4,1
05_very_high,4,2
05_very_high,4,1
04_high,4,3
03_medium,4,3
03_medium,4,2
03_medium,4,2
04_high,4,2
05_very_high,4,3
04_high,4,2
04_high,4,1
05_very_high,4,1
05_very_high,4,1
03_medium,4,1
05_very_high,4,3
04_high,4,1
04_high,4,
04_high,4,1
04_high,4,1
04_high,4,2
03_medium,4,3
04_high,4,1
04_high,4,1
03_medium,4,3
04_high,4,3
05_very_high,4,1
03_medium,4,3
05_very_high,4,2
04_high,4,3
05_very_high,4,3
04_high,4,1
05_very_high,4,2
03_medium,4,3
04_high,4,1
05_very_high,4,
05_very_high,4,3
03_medium,4,1
04_high,4,
03_medium,4,1
04_high,4,
05_very_high,4,1
03_medium,4,2
03_medium,4,2
05_very_high,4,2
03_medium,4,2
04_high,4,3
04_high,4,3
03_medium,4,1
03_medium,4,3
05_very_high,4,2
04_high,4,1
05_very_high,4,2
04_high,4,1
05_very_high,4,
05_very_high,4,3
05_very_high,4,3
04_high,4,2
05_very_high,4,2
04_high,4,3
04_high,4,
05_very_high,4,1
05_very_high,4,3
04_high,4,2
05_very_high,4,3
03_medium,4,1
03_medium,4,1
03_medium,4,2
05_very_high,4,3
03_medium,4,1
04_high,4,3
04_high,4,3
05_very_high,4,2
04_high,4,3
05_very_high,4,3
05_very_high,4,2
04_high,4,1
04_high,4,
04_high,4,2
05_very_high,4,2
03_medium,4,
