size_band,target,priority_level
05_very_high,5,3
05_very_high,5,2
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
05_very_high,5,2
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
05_very_high,5,2
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,2
05_very_high,5,2
05_very_high,5,
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,2
05_very_high,5,2
05_very_high,5,3
05_very_high,5,1
05_very_high,5,3
05_very_high,5,1
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,1
05_very_high,5,3
05_very_high,5,3
05_very_high,5,
05_very_high,5,2
05_very_high,5,2
05_very_high,5,1
05_very_high,5,
05_very_high,5,2
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,3
05_very_high,5,2
05_very_high,5,2
05_very_high,5,1
05_very_high,5,
05_very_high,5,2
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,1
05_very_high,5,1
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,2
05_very_high,5,3
05_very_high,5,1
05_very_high,5,3
05_very_high,5,2
05_very_high,5,
05_very_high,5,1
05_very_high,5,1
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,2
05_very_high,5,1
05_very_high,5,1
05_very_high,5,2
05_very_high,5,3
05_very_high,5,1
05_very_high,5,3
05_very_high,5,1
05_very_high,5,1
05_very_high,5,3
05_very_high,5,1
05_very_high,5,1
05_very_high,5,3
05_very_high,5,
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,1
05_very_high,5,1
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
05_very_high,5,3
05_very_high,5,2
05_very_high,5,1
05_very_high,5,2
05_very_high,5,1
05_very_high,5,3
