input,target
medium-00000,3
medium-00001,3
medium-00002,3
medium-00003,3
medium-00004,3
medium-00005,3
medium-00006,3
medium-00007,3
medium-00008,3
medium-00009,3
medium-00010,3
medium-00011,3
medium-00012,3
medium-00013,3
medium-00014,3
medium-00015,3
medium-00016,3
medium-00017,3
medium-00018,3
medium-00019,3
medium-00020,3
medium-00021,3
medium-00022,3
medium-00023,3
medium-00024,3
medium-00025,3
medium-00026,3
medium-00027,3
medium-00028,3
medium-00029,3
medium-00030,3
medium-00031,3
medium-00032,3
medium-00033,3
medium-00034,3
medium-00035,3
medium-00036,3
medium-00037,3
medium-00038,3
medium-00039,3
medium-00040,3
medium-00041,3
medium-00042,3
medium-00043,3
medium-00044,3
medium-00045,3
medium-00046,3
medium-00047,3
medium-00048,3
medium-00049,3
medium-00050,3
medium-00051,3
medium-00052,3
medium-00053,3
medium-00054,3
medium-00055,3
medium-00056,3
medium-00057,3
medium-00058,3
medium-00059,3
medium-00060,3
medium-00061,3
medium-00062,3
medium-00063,3
medium-00064,3
medium-00065,3
medium-00066,3
medium-00067,3
medium-00068,3
medium-00069,3
medium-00070,3
medium-00071,3
medium-00072,3
medium-00073,3
medium-00074,3
medium-00075,3
medium-00076,3
medium-00077,3
medium-00078,3
medium-00079,3
medium-00080,3
medium-00081,3
medium-00082,3
medium-00083,3
medium-00084,3
medium-00085,3
medium-00086,3
medium-00087,3
medium-00088,3
medium-00089,3
medium-00090,3
medium-00091,3
medium-00092,3
medium-00093,3
medium-00094,3
medium-00095,3
medium-00096,3
medium-00097,3
medium-00098,3
medium-00099,3
medium-00100,3
medium-00101,3
medium-00102,3
medium-00103,3
medium-00104,3
medium-00105,3
medium-00106,3
medium-00107,3
medium-00108,3
medium-00109,3
medium-00110,3
medium-00111,3
medium-00112,3
medium-00113,3
medium-00114,3
medium-00115,3
medium-00116,3
medium-00117,3
medium-00118,3
medium-00119,3
medium-00120,3
medium-00121,3
medium-00122,3
medium-00123,3
medium-00124,3
medium-00125,3
medium-00126,3
medium-00127,3
medium-00128,3
medium-00129,3
medium-00130,3
medium-00131,3
medium-00132,3
medium-00133,3
medium-00134,3
medium-00135,3
medium-00136,3
medium-00137,3
medium-00138,3
medium-00139,3
medium-00140,3
medium-00141,3
medium-00142,3
medium-00143,3
medium-00144,3
medium-00145,3
medium-00146,3
medium-00147,3
medium-00148,3
medium-00149,3
medium-00150,3
medium-00151,3
medium-00152,3
medium-00153,3
medium-00154,3
medium-00155,3
medium-00156,3
medium-00157,3
medium-00158,3
medium-00159,3
medium-00160,3
medium-00161,3
medium-00162,3
medium-00163,3
medium-00164,3
medium-00165,3
medium-00166,3
medium-00167,3
medium-00168,3
medium-00169,3
medium-00170,3
medium-00171,3
medium-00172,3
medium-00173,3
medium-00174,3
medium-00175,3
medium-00176,3
medium-00177,3
medium-00178,3
medium-00179,3
medium-00180,3
medium-00181,3
medium-00182,3
medium-00183,3
medium-00184,3
medium-00185,3
medium-00186,3
medium-00187,3
medium-00188,3
medium-00189,3
medium-00190,3
medium-00191,3
medium-00192,3
medium-00193,3
medium-00194,3
medium-00195,3
medium-00196,3
medium-00197,3
medium-00198,3
medium-00199,3
medium-00200,3
medium-00201,3
medium-00202,3
medium-00203,3
medium-00204,3
medium-00205,3
medium-00206,3
medium-00207,3
medium-00208,3
medium-00209,3
medium-00210,3
medium-00211,3
medium-00212,3
medium-00213,3
medium-00214,3
medium-00215,3
medium-00216,3
medium-00217,3
medium-00218,3
medium-00219,3
medium-00220,3
medium-00221,3
medium-00222,3
medium-00223,3
medium-00224,3
medium-00225,3
medium-00226,3
medium-00227,3
medium-00228,3
medium-00229,3
medium-00230,3
medium-00231,3
medium-00232,3
medium-00233,3
medium-00234,3
medium-00235,3
medium-00236,3
medium-00237,3
medium-00238,3
medium-00239,3
medium-00240,3
medium-00241,3
medium-00242,3
medium-00243,3
medium-00244,3
medium-00245,3
medium-00246,3
medium-00247,3
medium-00248,3
medium-00249,3
medium-00250,3
medium-00251,3
medium-00252,3
medium-00253,3
medium-00254,3
medium-00255,3
medium-00256,3
medium-00257,3
medium-00258,3
medium-00259,3
medium-00260,3
medium-00261,3
medium-00262,3
medium-00263,3
medium-00264,3
medium-00265,3
medium-00266,3
medium-00267,3
medium-00268,3
medium-00269,3
medium-00270,3
medium-00271,3
medium-00272,3
medium-00273,3
medium-00274,3
medium-00275,3
medium-00276,3
medium-00277,3
medium-00278,3
medium-00279,3
medium-00280,3
medium-00281,3
medium-00282,3
medium-00283,3
medium-00284,3
medium-00285,3
medium-00286,3
medium-00287,3
medium-00288,3
medium-00289,3
medium-00290,3
medium-00291,3
medium-00292,3
medium-00293,3
medium-00294,3
medium-00295,3
medium-00296,3
medium-00297,3
medium-00298,3
medium-00299,3
medium-00300,3
medium-00301,3
medium-00302,3
medium-00303,3
medium-00304,3
medium-00305,3
medium-00306,3
medium-00307,3
medium-00308,3
medium-00309,3
medium-00310,3
medium-00311,3
medium-00312,3
medium-00313,3
medium-00314,3
medium-00315,3
medium-00316,3
medium-00317,3
medium-00318,3
medium-00319,3
medium-00320,3
medium-00321,3
medium-00322,3
medium-00323,3
medium-00324,3
medium-00325,3
medium-00326,3
medium-00327,3
medium-00328,3
medium-00329,3
medium-00330,3
medium-00331,3
medium-00332,3
medium-00333,3
medium-00334,3
medium-00335,3
medium-00336,3
medium-00337,3
medium-00338,3
medium-00339,3
medium-00340,3
medium-00341,3
medium-00342,3
medium-00343,3
medium-00344,3
medium-00345,3
medium-00346,3
medium-00347,3
medium-00348,3
medium-00349,3
medium-00350,3
medium-00351,3
medium-00352,3
medium-00353,3
medium-00354,3
medium-00355,3
medium-00356,3
medium-00357,3
medium-00358,3
medium-00359,3
medium-00360,3
medium-00361,3
medium-00362,3
medium-00363,3
medium-00364,3
medium-00365,3
medium-00366,3
medium-00367,3
medium-00368,3
medium-00369,3
medium-00370,3
medium-00371,3
medium-00372,3
medium-00373,3
medium-00374,3
medium-00375,3
medium-00376,3
medium-00377,3
medium-00378,3
medium-00379,3
medium-00380,3
medium-00381,3
medium-00382,3
medium-00383,3
medium-00384,3
medium-00385,3
medium-00386,3
medium-00387,3
medium-00388,3
medium-00389,3
medium-00390,3
medium-00391,3
medium-00392,3
medium-00393,3
medium-00394,3
medium-00395,3
medium-00396,3
medium-00397,3
medium-00398,3
medium-00399,3
medium-00400,3
medium-00401,3
medium-00402,3
medium-00403,3
medium-00404,3
medium-00405,3
medium-00406,3
medium-00407,3
medium-00408,3
medium-00409,3
medium-00410,3
medium-00411,3
medium-00412,3
medium-00413,3
medium-00414,3
medium-00415,3
medium-00416,3
medium-00417,3
medium-00418,3
medium-00419,3
medium-00420,3
medium-00421,3
medium-00422,3
medium-00423,3
medium-00424,3
medium-00425,3
medium-00426,3
medium-00427,3
medium-00428,3
medium-00429,3
medium-00430,3
medium-00431,3
medium-00432,3
medium-00433,3
medium-00434,3
medium-00435,3
medium-00436,3
medium-00437,3
medium-00438,3
medium-00439,3
medium-00440,3
medium-00441,3
medium-00442,3
medium-00443,3
medium-00444,3
medium-00445,3
medium-00446,3
medium-00447,3
medium-00448,3
medium-00449,3
medium-00450,3
medium-00451,3
medium-00452,3
medium-00453,3
medium-00454,3
medium-00455,3
medium-00456,3
medium-00457,3
medium-00458,3
medium-00459,3
medium-00460,3
medium-00461,3
medium-00462,3
medium-00463,3
medium-00464,3
medium-00465,3
medium-00466,3
medium-00467,3
medium-00468,3
medium-00469,3
medium-00470,3
medium-00471,3
medium-00472,3
medium-00473,3
medium-00474,3
medium-00475,3
medium-00476,3
medium-00477,3
medium-00478,3
medium-00479,3
medium-00480,3
medium-00481,3
medium-00482,3
medium-00483,3
medium-00484,3
medium-00485,3
medium-00486,3
medium-00487,3
medium-00488,3
medium-00489,3
medium-00490,3
medium-00491,3
medium-00492,3
medium-00493,3
medium-00494,3
medium-00495,3
medium-00496,3
medium-00497,3
medium-00498,3
medium-00499,3
medium-00500,3
medium-00501,3
medium-00502,3
medium-00503,3
medium-00504,3
medium-00505,3
medium-00506,3
medium-00507,3
medium-00508,3
medium-00509,3
medium-00510,3
medium-00511,3
medium-00512,3
medium-00513,3
medium-00514,3
medium-00515,3
medium-00516,3
medium-00517,3
medium-00518,3
medium-00519,3
medium-00520,3
medium-00521,3
medium-00522,3
medium-00523,3
medium-00524,3
medium-00525,3
medium-00526,3
medium-00527,3
medium-00528,3
medium-00529,3
medium-00530,3
medium-00531,3
medium-00532,3
medium-00533,3
medium-00534,3
medium-00535,3
medium-00536,3
medium-00537,3
medium-00538,3
medium-00539,3
medium-00540,3
medium-00541,3
medium-00542,3
medium-00543,3
medium-00544,3
medium-00545,3
medium-00546,3
medium-00547,3
medium-00548,3
medium-00549,3
medium-00550,3
medium-00551,3
medium-00552,3
medium-00553,3
medium-00554,3
medium-00555,3
medium-00556,3
medium-00557,3
medium-00558,3
medium-00559,3
medium-00560,3
medium-00561,3
medium-00562,3
medium-00563,3
medium-00564,3
medium-00565,3
medium-00566,3
medium-00567,3
medium-00568,3
medium-00569,3
medium-00570,3
medium-00571,3
medium-00572,3
medium-00573,3
medium-00574,3
medium-00575,3
medium-00576,3
medium-00577,3
medium-00578,3
medium-00579,3
medium-00580,3
medium-00581,3
medium-00582,3
medium-00583,3
medium-00584,3
medium-00585,3
medium-00586,3
medium-00587,3
medium-00588,3
medium-00589,3
medium-00590,3
medium-00591,3
medium-00592,3
medium-00593,3
medium-00594,3
medium-00595,3
medium-00596,3
medium-00597,3
medium-00598,3
medium-00599,3
medium-00600,3
medium-00601,3
medium-00602,3
medium-00603,3
medium-00604,3
medium-00605,3
medium-00606,3
medium-00607,3
medium-00608,3
medium-00609,3
medium-00610,3
medium-00611,3
medium-00612,3
medium-00613,3
medium-00614,3
medium-00615,3
medium-00616,3
medium-00617,3
medium-00618,3
medium-00619,3
medium-00620,3
medium-00621,3
medium-00622,3
medium-00623,3
medium-00624,3
medium-00625,3
medium-00626,3
medium-00627,3
medium-00628,3
medium-00629,3
medium-00630,3
medium-00631,3
medium-00632,3
medium-00633,3
medium-00634,3
medium-00635,3
medium-00636,3
medium-00637,3
medium-00638,3
medium-00639,3
medium-00640,3
medium-00641,3
medium-00642,3
medium-00643,3
medium-00644,3
medium-00645,3
medium-00646,3
medium-00647,3
medium-00648,3
medium-00649,3
medium-00650,3
medium-00651,3
medium-00652,3
medium-00653,3
medium-00654,3
medium-00655,3
medium-00656,3
medium-00657,3
medium-00658,3
medium-00659,3
medium-00660,3
medium-00661,3
medium-00662,3
medium-00663,3
medium-00664,3
medium-00665,3
medium-00666,3
medium-00667,3
medium-00668,3
medium-00669,3
medium-00670,3
medium-00671,3
medium-00672,3
medium-00673,3
medium-00674,3
medium-00675,3
medium-00676,3
medium-00677,3
medium-00678,3
medium-00679,3
medium-00680,3
medium-00681,3
medium-00682,3
medium-00683,3
medium-00684,3
medium-00685,3
medium-00686,3
medium-00687,3
medium-00688,3
medium-00689,3
medium-00690,3
medium-00691,3
medium-00692,3
medium-00693,3
medium-00694,3
medium-00695,3
medium-00696,3
medium-00697,3
medium-00698,3
medium-00699,3
medium-00700,3
medium-00701,3
medium-00702,3
medium-00703,3
medium-00704,3
medium-00705,3
medium-00706,3
medium-00707,3
medium-00708,3
medium-00709,3
medium-00710,3
medium-00711,3
medium-00712,3
medium-00713,3
medium-00714,3
medium-00715,3
medium-00716,3
medium-00717,3
medium-00718,3
medium-00719,3
medium-00720,3
medium-00721,3
medium-00722,3
medium-00723,3
medium-00724,3
medium-00725,3
medium-00726,3
medium-00727,3
medium-00728,3
medium-00729,3
medium-00730,3
medium-00731,3
medium-00732,3
medium-00733,3
medium-00734,3
medium-00735,3
medium-00736,3
medium-00737,3
medium-00738,3
medium-00739,3
medium-00740,3
medium-00741,3
medium-00742,3
medium-00743,3
medium-00744,3
medium-00745,3
medium-00746,3
medium-00747,3
medium-00748,3
medium-00749,3
medium-00750,3
medium-00751,3
medium-00752,3
medium-00753,3
medium-00754,3
medium-00755,3
medium-00756,3
medium-00757,3
medium-00758,3
medium-00759,3
medium-00760,3
medium-00761,3
medium-00762,3
medium-00763,3
medium-00764,3
medium-00765,3
medium-00766,3
medium-00767,3
medium-00768,3
medium-00769,3
medium-00770,3
medium-00771,3
medium-00772,3
medium-00773,3
medium-00774,3
medium-00775,3
medium-00776,3
medium-00777,3
medium-00778,3
medium-00779,3
medium-00780,3
medium-00781,3
medium-00782,3
medium-00783,3
medium-00784,3
medium-00785,3
medium-00786,3
medium-00787,3
medium-00788,3
medium-00789,3
medium-00790,3
medium-00791,3
medium-00792,3
medium-00793,3
medium-00794,3
medium-00795,3
medium-00796,3
medium-00797,3
medium-00798,3
medium-00799,3
medium-00800,3
medium-00801,3
medium-00802,3
medium-00803,3
medium-00804,3
medium-00805,3
medium-00806,3
medium-00807,3
medium-00808,3
medium-00809,3
medium-00810,3
medium-00811,3
medium-00812,3
medium-00813,3
medium-00814,3
medium-00815,3
medium-00816,3
medium-00817,3
medium-00818,3
medium-00819,3
medium-00820,3
medium-00821,3
medium-00822,3
medium-00823,3
medium-00824,3
medium-00825,3
medium-00826,3
medium-00827,3
medium-00828,3
medium-00829,3
medium-00830,3
medium-00831,3
medium-00832,3
medium-00833,3
medium-00834,3
medium-00835,3
medium-00836,3
medium-00837,3
medium-00838,3
medium-00839,3
medium-00840,3
medium-00841,3
medium-00842,3
medium-00843,3
medium-00844,3
medium-00845,3
medium-00846,3
medium-00847,3
medium-00848,3
medium-00849,3
medium-00850,3
medium-00851,3
medium-00852,3
medium-00853,3
medium-00854,3
medium-00855,3
medium-00856,3
medium-00857,3
medium-00858,3
medium-00859,3
medium-00860,3
medium-00861,3
medium-00862,3
medium-00863,3
medium-00864,3
medium-00865,3
medium-00866,3
medium-00867,3
medium-00868,3
medium-00869,3
medium-00870,3
medium-00871,3
medium-00872,3
medium-00873,3
medium-00874,3
medium-00875,3
medium-00876,3
medium-00877,3
medium-00878,3
medium-00879,3
medium-00880,3
medium-00881,3
medium-00882,3
medium-00883,3
medium-00884,3
medium-00885,3
medium-00886,3
medium-00887,3
medium-00888,3
medium-00889,3
medium-00890,3
medium-00891,3
medium-00892,3
medium-00893,3
medium-00894,3
medium-00895,3
medium-00896,3
medium-00897,3
medium-00898,3
medium-00899,3
medium-00900,3
medium-00901,3
medium-00902,3
medium-00903,3
medium-00904,3
medium-00905,3
medium-00906,3
medium-00907,3
medium-00908,3
medium-00909,3
medium-00910,3
medium-00911,3
medium-00912,3
medium-00913,3
medium-00914,3
medium-00915,3
medium-00916,3
medium-00917,3
medium-00918,3
medium-00919,3
medium-00920,3
medium-00921,3
medium-00922,3
medium-00923,3
medium-00924,3
medium-00925,3
medium-00926,3
medium-00927,3
medium-00928,3
medium-00929,3
medium-00930,3
medium-00931,3
medium-00932,3
medium-00933,3
medium-00934,3
medium-00935,3
medium-00936,3
medium-00937,3
medium-00938,3
medium-00939,3
medium-00940,3
medium-00941,3
medium-00942,3
medium-00943,3
medium-00944,3
medium-00945,3
medium-00946,3
medium-00947,3
medium-00948,3
medium-00949,3
medium-00950,3
medium-00951,3
medium-00952,3
medium-00953,3
medium-00954,3
medium-00955,3
medium-00956,3
medium-00957,3
medium-00958,3
medium-00959,3
medium-00960,3
medium-00961,3
medium-00962,3
medium-00963,3
medium-00964,3
medium-00965,3
medium-00966,3
medium-00967,3
medium-00968,3
medium-00969,3
medium-00970,3
medium-00971,3
medium-00972,3
medium-00973,3
medium-00974,3
medium-00975,3
medium-00976,3
medium-00977,3
medium-00978,3
medium-00979,3
medium-00980,3
medium-00981,3
medium-00982,3
medium-00983,3
medium-00984,3
medium-00985,3
medium-00986,3
medium-00987,3
medium-00988,3
medium-00989,3
medium-00990,3
medium-00991,3
medium-00992,3
medium-00993,3
medium-00994,3
medium-00995,3
medium-00996,3
medium-00997,3
medium-00998,3
medium-00999,3
medium-01000,3
medium-01001,3
medium-01002,3
medium-01003,3
medium-01004,3
medium-01005,3
medium-01006,3
medium-01007,3
medium-01008,3
medium-01009,3
medium-01010,3
medium-01011,3
medium-01012,3
medium-01013,3
medium-01014,3
medium-01015,3
medium-01016,3
medium-01017,3
medium-01018,3
medium-01019,3
medium-01020,3
medium-01021,3
medium-01022,3
medium-01023,3
medium-01024,3
medium-01025,3
medium-01026,3
medium-01027,3
medium-01028,3
medium-01029,3
medium-01030,3
medium-01031,3
medium-01032,3
medium-01033,3
medium-01034,3
medium-01035,3
medium-01036,3
medium-01037,3
medium-01038,3
medium-01039,3
medium-01040,3
medium-01041,3
medium-01042,3
medium-01043,3
medium-01044,3
medium-01045,3
medium-01046,3
medium-01047,3
medium-01048,3
medium-01049,3
medium-01050,3
medium-01051,3
medium-01052,3
medium-01053,3
medium-01054,3
medium-01055,3
medium-01056,3
medium-01057,3
medium-01058,3
medium-01059,3
medium-01060,3
medium-01061,3
medium-01062,3
medium-01063,3
medium-01064,3
medium-01065,3
medium-01066,3
medium-01067,3
medium-01068,3
medium-01069,3
medium-01070,3
medium-01071,3
medium-01072,3
medium-01073,3
medium-01074,3
medium-01075,3
medium-01076,3
medium-01077,3
medium-01078,3
medium-01079,3
medium-01080,3
medium-01081,3
medium-01082,3
medium-01083,3
medium-01084,3
medium-01085,3
medium-01086,3
medium-01087,3
medium-01088,3
medium-01089,3
medium-01090,3
medium-01091,3
medium-01092,3
medium-01093,3
medium-01094,3
medium-01095,3
medium-01096,3
medium-01097,3
medium-01098,3
medium-01099,3
medium-01100,3
medium-01101,3
medium-01102,3
medium-01103,3
medium-01104,3
medium-01105,3
medium-01106,3
medium-01107,3
medium-01108,3
medium-01109,3
medium-01110,3
medium-01111,3
medium-01112,3
medium-01113,3
medium-01114,3
medium-01115,3
medium-01116,3
medium-01117,3
medium-01118,3
medium-01119,3
medium-01120,3
medium-01121,3
medium-01122,3
medium-01123,3
medium-01124,3
medium-01125,3
medium-01126,3
medium-01127,3
medium-01128,3
medium-01129,3
medium-01130,3
medium-01131,3
medium-01132,3
medium-01133,3
medium-01134,3
medium-01135,3
medium-01136,3
medium-01137,3
medium-01138,3
medium-01139,3
medium-01140,3
medium-01141,3
medium-01142,3
medium-01143,3
medium-01144,3
medium-01145,3
medium-01146,3
medium-01147,3
medium-01148,3
medium-01149,3
medium-01150,3
medium-01151,3
medium-01152,3
medium-01153,3
medium-01154,3
medium-01155,3
medium-01156,3
medium-01157,3
medium-01158,3
medium-01159,3
medium-01160,3
medium-01161,3
medium-01162,3
medium-01163,3
medium-01164,3
medium-01165,3
medium-01166,3
medium-01167,3
medium-01168,3
medium-01169,3
medium-01170,3
medium-01171,3
medium-01172,3
medium-01173,3
medium-01174,3
medium-01175,3
