input,target
high-00000,4
high-00001,4
high-00002,4
high-00003,4
high-00004,4
high-00005,4
high-00006,4
high-00007,4
high-00008,4
high-00009,4
high-00010,4
high-00011,4
high-00012,4
high-00013,4
high-00014,4
high-00015,4
high-00016,4
high-00017,4
high-00018,4
high-00019,4
high-00020,4
high-00021,4
high-00022,4
high-00023,4
high-00024,4
high-00025,4
high-00026,4
high-00027,4
high-00028,4
high-00029,4
high-00030,4
high-00031,4
high-00032,4
high-00033,4
high-00034,4
high-00035,4
high-00036,4
high-00037,4
high-00038,4
high-00039,4
high-00040,4
high-00041,4
high-00042,4
high-00043,4
high-00044,4
high-00045,4
high-00046,4
high-00047,4
high-00048,4
high-00049,4
high-00050,4
high-00051,4
high-00052,4
high-00053,4
high-00054,4
high-00055,4
high-00056,4
high-00057,4
high-00058,4
high-00059,4
high-00060,4
high-00061,4
high-00062,4
high-00063,4
high-00064,4
high-00065,4
high-00066,4
high-00067,4
high-00068,4
high-00069,4
high-00070,4
high-00071,4
high-00072,4
high-00073,4
high-00074,4
high-00075,4
high-00076,4
high-00077,4
high-00078,4
high-00079,4
high-00080,4
high-00081,4
high-00082,4
high-00083,4
high-00084,4
high-00085,4
high-00086,4
high-00087,4
high-00088,4
high-00089,4
high-00090,4
high-00091,4
high-00092,4
high-00093,4
high-00094,4
high-00095,4
high-00096,4
high-00097,4
high-00098,4
high-00099,4
high-00100,4
high-00101,4
high-00102,4
high-00103,4
high-00104,4
high-00105,4
high-00106,4
high-00107,4
high-00108,4
high-00109,4
high-00110,4
high-00111,4
high-00112,4
high-00113,4
high-00114,4
high-00115,4
high-00116,4
high-00117,4
high-00118,4
high-00119,4
high-00120,4
high-00121,4
high-00122,4
high-00123,4
high-00124,4
high-00125,4
high-00126,4
high-00127,4
high-00128,4
high-00129,4
high-00130,4
high-00131,4
high-00132,4
high-00133,4
high-00134,4
high-00135,4
high-00136,4
high-00137,4
high-00138,4
high-00139,4
high-00140,4
high-00141,4
high-00142,4
high-00143,4
high-00144,4
high-00145,4
high-00146,4
high-00147,4
high-00148,4
high-00149,4
high-00150,4
high-00151,4
high-00152,4
high-00153,4
high-00154,4
high-00155,4
high-00156,4
high-00157,4
high-00158,4
high-00159,4
high-00160,4
high-00161,4
high-00162,4
high-00163,4
high-00164,4
high-00165,4
high-00166,4
high-00167,4
high-00168,4
high-00169,4
high-00170,4
high-00171,4
high-00172,4
high-00173,4
high-00174,4
high-00175,4
high-00176,4
high-00177,4
high-00178,4
high-00179,4
high-00180,4
high-00181,4
high-00182,4
high-00183,4
high-00184,4
high-00185,4
high-00186,4
high-00187,4
high-00188,4
high-00189,4
high-00190,4
high-00191,4
high-00192,4
high-00193,4
high-00194,4
high-00195,4
high-00196,4
high-00197,4
high-00198,4
high-00199,4
high-00200,4
high-00201,4
high-00202,4
high-00203,4
high-00204,4
high-00205,4
high-00206,4
high-00207,4
high-00208,4
high-00209,4
high-00210,4
high-00211,4
high-00212,4
high-00213,4
high-00214,4
high-00215,4
high-00216,4
high-00217,4
high-00218,4
high-00219,4
high-00220,4
high-00221,4
high-00222,4
high-00223,4
high-00224,4
high-00225,4
high-00226,4
high-00227,4
high-00228,4
high-00229,4
high-00230,4
high-00231,4
high-00232,4
high-00233,4
high-00234,4
high-00235,4
high-00236,4
high-00237,4
high-00238,4
high-00239,4
high-00240,4
high-00241,4
high-00242,4
high-00243,4
high-00244,4
high-00245,4
high-00246,4
high-00247,4
high-00248,4
high-00249,4
high-00250,4
high-00251,4
high-00252,4
high-00253,4
high-00254,4
high-00255,4
high-00256,4
high-00257,4
high-00258,4
high-00259,4
high-00260,4
high-00261,4
high-00262,4
high-00263,4
high-00264,4
high-00265,4
high-00266,4
high-00267,4
high-00268,4
high-00269,4
high-00270,4
high-00271,4
high-00272,4
high-00273,4
high-00274,4
high-00275,4
high-00276,4
high-00277,4
high-00278,4
high-00279,4
high-00280,4
high-00281,4
high-00282,4
high-00283,4
high-00284,4
high-00285,4
high-00286,4
high-00287,4
high-00288,4
high-00289,4
high-00290,4
high-00291,4
high-00292,4
high-00293,4
high-00294,4
high-00295,4
high-00296,4
high-00297,4
high-00298,4
high-00299,4
high-00300,4
high-00301,4
high-00302,4
high-00303,4
high-00304,4
high-00305,4
high-00306,4
high-00307,4
high-00308,4
high-00309,4
high-00310,4
high-00311,4
high-00312,4
high-00313,4
high-00314,4
high-00315,4
high-00316,4
high-00317,4
high-00318,4
high-00319,4
high-00320,4
high-00321,4
high-00322,4
high-00323,4
high-00324,4
high-00325,4
high-00326,4
high-00327,4
high-00328,4
high-00329,4
high-00330,4
high-00331,4
high-00332,4
high-00333,4
high-00334,4
high-00335,4
high-00336,4
high-00337,4
high-00338,4
high-00339,4
high-00340,4
high-00341,4
high-00342,4
high-00343,4
high-00344,4
high-00345,4
high-00346,4
high-00347,4
high-00348,4
high-00349,4
high-00350,4
high-00351,4
high-00352,4
high-00353,4
high-00354,4
high-00355,4
high-00356,4
high-00357,4
high-00358,4
high-00359,4
high-00360,4
high-00361,4
high-00362,4
high-00363,4
high-00364,4
high-00365,4
high-00366,4
high-00367,4
high-00368,4
high-00369,4
high-00370,4
high-00371,4
high-00372,4
high-00373,4
high-00374,4
high-00375,4
high-00376,4
high-00377,4
high-00378,4
high-00379,4
high-00380,4
high-00381,4
high-00382,4
high-00383,4
high-00384,4
high-00385,4
high-00386,4
high-00387,4
high-00388,4
high-00389,4
high-00390,4
high-00391,4
high-00392,4
high-00393,4
high-00394,4
high-00395,4
high-00396,4
high-00397,4
high-00398,4
high-00399,4
high-00400,4
high-00401,4
high-00402,4
high-00403,4
high-00404,4
high-00405,4
high-00406,4
high-00407,4
high-00408,4
high-00409,4
high-00410,4
high-00411,4
high-00412,4
high-00413,4
high-00414,4
high-00415,4
high-00416,4
high-00417,4
high-00418,4
high-00419,4
high-00420,4
high-00421,4
high-00422,4
high-00423,4
high-00424,4
high-00425,4
high-00426,4
high-00427,4
high-00428,4
high-00429,4
high-00430,4
high-00431,4
high-00432,4
high-00433,4
high-00434,4
high-00435,4
high-00436,4
high-00437,4
high-00438,4
high-00439,4
high-00440,4
high-00441,4
high-00442,4
high-00443,4
high-00444,4
high-00445,4
high-00446,4
high-00447,4
high-00448,4
high-00449,4
high-00450,4
high-00451,4
high-00452,4
high-00453,4
high-00454,4
high-00455,4
high-00456,4
high-00457,4
high-00458,4
high-00459,4
high-00460,4
high-00461,4
high-00462,4
high-00463,4
high-00464,4
high-00465,4
high-00466,4
high-00467,4
high-00468,4
high-00469,4
high-00470,4
high-00471,4
high-00472,4
high-00473,4
high-00474,4
high-00475,4
high-00476,4
high-00477,4
high-00478,4
high-00479,4
high-00480,4
high-00481,4
high-00482,4
high-00483,4
high-00484,4
high-00485,4
high-00486,4
high-00487,4
high-00488,4
high-00489,4
high-00490,4
high-00491,4
high-00492,4
high-00493,4
high-00494,4
high-00495,4
high-00496,4
high-00497,4
high-00498,4
high-00499,4
high-00500,4
high-00501,4
high-00502,4
high-00503,4
high-00504,4
high-00505,4
high-00506,4
high-00507,4
high-00508,4
high-00509,4
high-00510,4
high-00511,4
high-00512,4
high-00513,4
high-00514,4
high-00515,4
high-00516,4
high-00517,4
high-00518,4
high-00519,4
high-00520,4
high-00521,4
high-00522,4
high-00523,4
high-00524,4
high-00525,4
high-00526,4
high-00527,4
high-00528,4
high-00529,4
high-00530,4
high-00531,4
high-00532,4
high-00533,4
high-00534,4
high-00535,4
high-00536,4
high-00537,4
high-00538,4
high-00539,4
high-00540,4
high-00541,4
high-00542,4
high-00543,4
high-00544,4
high-00545,4
high-00546,4
high-00547,4
high-00548,4
high-00549,4
high-00550,4
high-00551,4
high-00552,4
high-00553,4
high-00554,4
high-00555,4
high-00556,4
high-00557,4
high-00558,4
high-00559,4
high-00560,4
high-00561,4
high-00562,4
high-00563,4
high-00564,4
high-00565,4
high-00566,4
high-00567,4
high-00568,4
high-00569,4
high-00570,4
high-00571,4
high-00572,4
high-00573,4
high-00574,4
high-00575,4
high-00576,4
high-00577,4
high-00578,4
high-00579,4
high-00580,4
high-00581,4
high-00582,4
high-00583,4
high-00584,4
high-00585,4
high-00586,4
high-00587,4
high-00588,4
high-00589,4
high-00590,4
high-00591,4
high-00592,4
high-00593,4
high-00594,4
high-00595,4
high-00596,4
high-00597,4
high-00598,4
high-00599,4
high-00600,4
high-00601,4
high-00602,4
high-00603,4
high-00604,4
high-00605,4
high-00606,4
high-00607,4
high-00608,4
high-00609,4
high-00610,4
high-00611,4
high-00612,4
high-00613,4
high-00614,4
high-00615,4
high-00616,4
high-00617,4
high-00618,4
high-00619,4
high-00620,4
high-00621,4
high-00622,4
high-00623,4
high-00624,4
high-00625,4
high-00626,4
high-00627,4
high-00628,4
high-00629,4
high-00630,4
high-00631,4
high-00632,4
high-00633,4
high-00634,4
high-00635,4
high-00636,4
high-00637,4
high-00638,4
high-00639,4
high-00640,4
high-00641,4
high-00642,4
high-00643,4
high-00644,4
high-00645,4
high-00646,4
high-00647,4
high-00648,4
high-00649,4
high-00650,4
high-00651,4
high-00652,4
high-00653,4
high-00654,4
high-00655,4
high-00656,4
high-00657,4
high-00658,4
high-00659,4
high-00660,4
high-00661,4
high-00662,4
high-00663,4
high-00664,4
high-00665,4
high-00666,4
high-00667,4
high-00668,4
high-00669,4
high-00670,4
high-00671,4
high-00672,4
high-00673,4
high-00674,4
high-00675,4
high-00676,4
high-00677,4
high-00678,4
high-00679,4
high-00680,4
high-00681,4
high-00682,4
high-00683,4
high-00684,4
high-00685,4
high-00686,4
high-00687,4
high-00688,4
high-00689,4
high-00690,4
high-00691,4
high-00692,4
high-00693,4
high-00694,4
high-00695,4
high-00696,4
high-00697,4
high-00698,4
high-00699,4
high-00700,4
high-00701,4
high-00702,4
high-00703,4
high-00704,4
high-00705,4
high-00706,4
high-00707,4
high-00708,4
high-00709,4
high-00710,4
high-00711,4
