input,target
very-high-00000,5
very-high-00001,5
very-high-00002,5
very-high-00003,5
very-high-00004,5
very-high-00005,5
very-high-00006,5
very-high-00007,5
very-high-00008,5
very-high-00009,5
very-high-00010,5
very-high-00011,5
very-high-00012,5
very-high-00013,5
very-high-00014,5
very-high-00015,5
very-high-00016,5
very-high-00017,5
very-high-00018,5
very-high-00019,5
very-high-00020,5
very-high-00021,5
very-high-00022,5
very-high-00023,5
very-high-00024,5
very-high-00025,5
very-high-00026,5
very-high-00027,5
very-high-00028,5
very-high-00029,5
very-high-00030,5
very-high-00031,5
very-high-00032,5
very-high-00033,5
very-high-00034,5
very-high-00035,5
very-high-00036,5
very-high-00037,5
very-high-00038,5
very-high-00039,5
very-high-00040,5
very-high-00041,5
very-high-00042,5
very-high-00043,5
very-high-00044,5
very-high-00045,5
very-high-00046,5
very-high-00047,5
very-high-00048,5
very-high-00049,5
very-high-00050,5
very-high-00051,5
very-high-00052,5
very-high-00053,5
very-high-00054,5
very-high-00055,5
very-high-00056,5
very-high-00057,5
very-high-00058,5
very-high-00059,5
very-high-00060,5
very-high-00061,5
very-high-00062,5
very-high-00063,5
very-high-00064,5
very-high-00065,5
very-high-00066,5
very-high-00067,5
very-high-00068,5
very-high-00069,5
very-high-00070,5
very-high-00071,5
very-high-00072,5
very-high-00073,5
very-high-00074,5
very-high-00075,5
very-high-00076,5
very-high-00077,5
very-high-00078,5
very-high-00079,5
very-high-00080,5
very-high-00081,5
very-high-00082,5
very-high-00083,5
very-high-00084,5
very-high-00085,5
very-high-00086,5
very-high-00087,5
very-high-00088,5
very-high-00089,5
very-high-00090,5
very-high-00091,5
very-high-00092,5
very-high-00093,5
very-high-00094,5
very-high-00095,5
very-high-00096,5
very-high-00097,5
very-high-00098,5
very-high-00099,5
very-high-00100,5
very-high-00101,5
very-high-00102,5
very-high-00103,5
very-high-00104,5
very-high-00105,5
very-high-00106,5
very-high-00107,5
very-high-00108,5
very-high-00109,5
very-high-00110,5
very-high-00111,5
very-high-00112,5
very-high-00113,5
very-high-00114,5
very-high-00115,5
very-high-00116,5
very-high-00117,5
very-high-00118,5
very-high-00119,5
very-high-00120,5
very-high-00121,5
very-high-00122,5
very-high-00123,5
very-high-00124,5
very-high-00125,5
very-high-00126,5
very-high-00127,5
very-high-00128,5
very-high-00129,5
very-high-00130,5
very-high-00131,5
very-high-00132,5
very-high-00133,5
very-high-00134,5
very-high-00135,5
very-high-00136,5
very-high-00137,5
very-high-00138,5
very-high-00139,5
very-high-00140,5
very-high-00141,5
very-high-00142,5
very-high-00143,5
very-high-00144,5
very-high-00145,5
very-high-00146,5
very-high-00147,5
very-high-00148,5
very-high-00149,5
very-high-00150,5
very-high-00151,5
very-high-00152,5
very-high-00153,5
very-high-00154,5
very-high-00155,5
very-high-00156,5
very-high-00157,5
very-high-00158,5
very-high-00159,5
very-high-00160,5
very-high-00161,5
very-high-00162,5
very-high-00163,5
very-high-00164,5
very-high-00165,5
very-high-00166,5
very-high-00167,5
very-high-00168,5
very-high-00169,5
very-high-00170,5
very-high-00171,5
very-high-00172,5
very-high-00173,5
very-high-00174,5
very-high-00175,5
very-high-00176,5
very-high-00177,5
very-high-00178,5
very-high-00179,5
very-high-00180,5
very-high-00181,5
very-high-00182,5
very-high-00183,5
very-high-00184,5
very-high-00185,5
very-high-00186,5
very-high-00187,5
very-high-00188,5
very-high-00189,5
very-high-00190,5
very-high-00191,5
very-high-00192,5
very-high-00193,5
very-high-00194,5
very-high-00195,5
very-high-00196,5
very-high-00197,5
very-high-00198,5
very-high-00199,5
very-high-00200,5
very-high-00201,5
very-high-00202,5
very-high-00203,5
very-high-00204,5
very-high-00205,5
very-high-00206,5
very-high-00207,5
very-high-00208,5
very-high-00209,5
very-high-00210,5
very-high-00211,5
very-high-00212,5
very-high-00213,5
very-high-00214,5
very-high-00215,5
very-high-00216,5
very-high-00217,5
very-high-00218,5
very-high-00219,5
very-high-00220,5
very-high-00221,5
very-high-00222,5
very-high-00223,5
very-high-00224,5
very-high-00225,5
very-high-00226,5
very-high-00227,5
very-high-00228,5
very-high-00229,5
very-high-00230,5
very-high-00231,5
very-high-00232,5
very-high-00233,5
very-high-00234,5
very-high-00235,5
very-high-00236,5
very-high-00237,5
very-high-00238,5
very-high-00239,5
very-high-00240,5
very-high-00241,5
very-high-00242,5
very-high-00243,5
very-high-00244,5
very-high-00245,5
very-high-00246,5
very-high-00247,5
very-high-00248,5
very-high-00249,5
very-high-00250,5
very-high-00251,5
very-high-00252,5
very-high-00253,5
very-high-00254,5
very-high-00255,5
very-high-00256,5
very-high-00257,5
very-high-00258,5
very-high-00259,5
very-high-00260,5
very-high-00261,5
very-high-00262,5
very-high-00263,5
very-high-00264,5
very-high-00265,5
very-high-00266,5
very-high-00267,5
very-high-00268,5
very-high-00269,5
very-high-00270,5
very-high-00271,5
very-high-00272,5
very-high-00273,5
very-high-00274,5
very-high-00275,5
very-high-00276,5
very-high-00277,5
very-high-00278,5
very-high-00279,5
very-high-00280,5
very-high-00281,5
very-high-00282,5
very-high-00283,5
very-high-00284,5
very-high-00285,5
very-high-00286,5
very-high-00287,5
very-high-00288,5
very-high-00289,5
very-high-00290,5
very-high-00291,5
very-high-00292,5
very-high-00293,5
very-high-00294,5
very-high-00295,5
very-high-00296,5
very-high-00297,5
very-high-00298,5
very-high-00299,5
very-high-00300,5
very-high-00301,5
very-high-00302,5
very-high-00303,5
very-high-00304,5
very-high-00305,5
very-high-00306,5
very-high-00307,5
very-high-00308,5
very-high-00309,5
very-high-00310,5
very-high-00311,5
very-high-00312,5
very-high-00313,5
very-high-00314,5
very-high-00315,5
very-high-00316,5
very-high-00317,5
very-high-00318,5
very-high-00319,5
very-high-00320,5
very-high-00321,5
very-high-00322,5
very-high-00323,5
very-high-00324,5
very-high-00325,5
very-high-00326,5
very-high-00327,5
very-high-00328,5
very-high-00329,5
very-high-00330,5
very-high-00331,5
very-high-00332,5
very-high-00333,5
very-high-00334,5
very-high-00335,5
very-high-00336,5
very-high-00337,5
very-high-00338,5
very-high-00339,5
very-high-00340,5
very-high-00341,5
very-high-00342,5
very-high-00343,5
very-high-00344,5
very-high-00345,5
very-high-00346,5
very-high-00347,5
very-high-00348,5
very-high-00349,5
very-high-00350,5
very-high-00351,5
very-high-00352,5
very-high-00353,5
very-high-00354,5
very-high-00355,5
very-high-00356,5
very-high-00357,5
very-high-00358,5
very-high-00359,5
very-high-00360,5
very-high-00361,5
very-high-00362,5
very-high-00363,5
very-high-00364,5
very-high-00365,5
very-high-00366,5
very-high-00367,5
very-high-00368,5
very-high-00369,5
very-high-00370,5
very-high-00371,5
very-high-00372,5
very-high-00373,5
very-high-00374,5
very-high-00375,5
very-high-00376,5
very-high-00377,5
very-high-00378,5
very-high-00379,5
very-high-00380,5
very-high-00381,5
very-high-00382,5
very-high-00383,5
very-high-00384,5
very-high-00385,5
very-high-00386,5
very-high-00387,5
very-high-00388,5
very-high-00389,5
very-high-00390,5
very-high-00391,5
very-high-00392,5
very-high-00393,5
very-high-00394,5
very-high-00395,5
very-high-00396,5
very-high-00397,5
very-high-00398,5
very-high-00399,5
very-high-00400,5
very-high-00401,5
very-high-00402,5
very-high-00403,5
very-high-00404,5
very-high-00405,5
very-high-00406,5
very-high-00407,5
very-high-00408,5
very-high-00409,5
very-high-00410,5
very-high-00411,5
very-high-00412,5
very-high-00413,5
very-high-00414,5
very-high-00415,5
very-high-00416,5
very-high-00417,5
very-high-00418,5
very-high-00419,5
very-high-00420,5
very-high-00421,5
very-high-00422,5
very-high-00423,5
very-high-00424,5
very-high-00425,5
very-high-00426,5
very-high-00427,5
very-high-00428,5
very-high-00429,5
very-high-00430,5
very-high-00431,5
very-high-00432,5
very-high-00433,5
very-high-00434,5
very-high-00435,5
very-high-00436,5
very-high-00437,5
very-high-00438,5
very-high-00439,5
very-high-00440,5
very-high-00441,5
very-high-00442,5
very-high-00443,5
very-high-00444,5
very-high-00445,5
very-high-00446,5
very-high-00447,5
very-high-00448,5
very-high-00449,5
very-high-00450,5
very-high-00451,5
very-high-00452,5
very-high-00453,5
very-high-00454,5
very-high-00455,5
very-high-00456,5
very-high-00457,5
very-high-00458,5
very-high-00459,5
very-high-00460,5
very-high-00461,5
very-high-00462,5
very-high-00463,5
very-high-00464,5
very-high-00465,5
very-high-00466,5
very-high-00467,5
very-high-00468,5
very-high-00469,5
very-high-00470,5
very-high-00471,5
very-high-00472,5
very-high-00473,5
very-high-00474,5
very-high-00475,5
very-high-00476,5
very-high-00477,5
very-high-00478,5
very-high-00479,5
very-high-00480,5
