input,target
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
05_very_high,5
01_very_low,1
02_low,2
03_medium,3
04_high,4
