input,target
2024-01-24T00:00:00Z,21.104000
2024-01-24T00:15:00Z,21.431516
2024-01-24T00:30:00Z,21.757631
2024-01-24T00:45:00Z,22.080952
2024-01-24T01:00:00Z,22.400095
2024-01-24T01:15:00Z,22.713697
2024-01-24T01:30:00Z,23.020417
2024-01-24T01:45:00Z,23.318943
2024-01-24T02:00:00Z,23.608000
2024-01-24T02:15:00Z,23.886351
2024-01-24T02:30:00Z,24.152807
2024-01-24T02:45:00Z,24.406229
2024-01-24T03:00:00Z,24.645534
2024-01-24T03:15:00Z,24.869699
2024-01-24T03:30:00Z,25.077767
2024-01-24T03:45:00Z,25.268848
2024-01-24T04:00:00Z,25.442127
2024-01-24T04:15:00Z,25.596864
2024-01-24T04:30:00Z,25.732398
2024-01-24T04:45:00Z,25.848151
2024-01-24T05:00:00Z,25.943629
2024-01-24T05:15:00Z,26.018426
2024-01-24T05:30:00Z,26.072224
2024-01-24T05:45:00Z,26.104795
2024-01-24T06:00:00Z,26.116000
2024-01-24T06:15:00Z,26.105795
2024-01-24T06:30:00Z,26.074224
2024-01-24T06:45:00Z,26.021426
2024-01-24T07:00:00Z,25.947629
2024-01-24T07:15:00Z,25.853151
2024-01-24T07:30:00Z,25.738398
2024-01-24T07:45:00Z,25.603864
2024-01-24T08:00:00Z,25.450127
2024-01-24T08:15:00Z,25.277848
2024-01-24T08:30:00Z,25.087767
2024-01-24T08:45:00Z,24.880699
2024-01-24T09:00:00Z,24.657534
2024-01-24T09:15:00Z,24.419229
2024-01-24T09:30:00Z,24.166807
2024-01-24T09:45:00Z,23.901351
2024-01-24T10:00:00Z,23.624000
2024-01-24T10:15:00Z,23.335943
2024-01-24T10:30:00Z,23.038417
2024-01-24T10:45:00Z,22.732697
2024-01-24T11:00:00Z,22.420095
2024-01-24T11:15:00Z,22.101952
2024-01-24T11:30:00Z,21.779631
2024-01-24T11:45:00Z,21.454516
2024-01-24T12:00:00Z,21.128000
2024-01-24T12:15:00Z,20.801484
2024-01-24T12:30:00Z,20.476369
2024-01-24T12:45:00Z,20.154048
2024-01-24T13:00:00Z,19.835905
2024-01-24T13:15:00Z,19.523303
2024-01-24T13:30:00Z,19.217583
2024-01-24T13:45:00Z,18.920057
2024-01-24T14:00:00Z,18.632000
2024-01-24T14:15:00Z,18.354649
2024-01-24T14:30:00Z,18.089193
2024-01-24T14:45:00Z,17.836771
2024-01-24T15:00:00Z,17.598466
2024-01-24T15:15:00Z,17.375301
2024-01-24T15:30:00Z,17.168233
2024-01-24T15:45:00Z,16.978152
2024-01-24T16:00:00Z,16.805873
2024-01-24T16:15:00Z,16.652136
2024-01-24T16:30:00Z,16.517602
2024-01-24T16:45:00Z,16.402849
2024-01-24T17:00:00Z,16.308371
2024-01-24T17:15:00Z,16.234574
2024-01-24T17:30:00Z,16.181776
2024-01-24T17:45:00Z,16.150205
2024-01-24T18:00:00Z,16.140000
2024-01-24T18:15:00Z,16.151205
2024-01-24T18:30:00Z,16.183776
2024-01-24T18:45:00Z,16.237574
2024-01-24T19:00:00Z,16.312371
2024-01-24T19:15:00Z,16.407849
2024-01-24T19:30:00Z,16.523602
2024-01-24T19:45:00Z,16.659136
2024-01-24T20:00:00Z,16.813873
2024-01-24T20:15:00Z,16.987152
2024-01-24T20:30:00Z,17.178233
2024-01-24T20:45:00Z,17.386301
2024-01-24T21:00:00Z,17.610466
2024-01-24T21:15:00Z,17.849771
2024-01-24T21:30:00Z,18.103193
2024-01-24T21:45:00Z,18.369649
2024-01-24T22:00:00Z,18.648000
2024-01-24T22:15:00Z,18.937057
2024-01-24T22:30:00Z,19.235583
2024-01-24T22:45:00Z,19.542303
2024-01-24T23:00:00Z,19.855905
2024-01-24T23:15:00Z,20.175048
2024-01-24T23:30:00Z,20.498369
2024-01-24T23:45:00Z,20.824484
