input,target
2024-01-08T12:00:00Z,20.660000
2024-01-08T12:15:00Z,20.333484
2024-01-08T12:30:00Z,20.008369
2024-01-08T12:45:00Z,19.686048
2024-01-08T13:00:00Z,19.367905
2024-01-08T13:15:00Z,19.055303
2024-01-08T13:30:00Z,18.749583
2024-01-08T13:45:00Z,18.452057
2024-01-08T14:00:00Z,18.164000
2024-01-08T14:15:00Z,17.886649
2024-01-08T14:30:00Z,17.621193
2024-01-08T14:45:00Z,17.368771
2024-01-08T15:00:00Z,17.130466
2024-01-08T15:15:00Z,16.907301
2024-01-08T15:30:00Z,16.700233
2024-01-08T15:45:00Z,16.510152
2024-01-08T16:00:00Z,16.337873
2024-01-08T16:15:00Z,16.184136
2024-01-08T16:30:00Z,16.049602
2024-01-08T16:45:00Z,15.934849
2024-01-08T17:00:00Z,15.840371
2024-01-08T17:15:00Z,15.766574
2024-01-08T17:30:00Z,15.713776
2024-01-08T17:45:00Z,15.682205
2024-01-08T18:00:00Z,15.672000
2024-01-08T18:15:00Z,15.683205
2024-01-08T18:30:00Z,15.715776
2024-01-08T18:45:00Z,15.769574
2024-01-08T19:00:00Z,15.844371
2024-01-08T19:15:00Z,15.939849
2024-01-08T19:30:00Z,16.055602
2024-01-08T19:45:00Z,16.191136
2024-01-08T20:00:00Z,16.345873
2024-01-08T20:15:00Z,16.519152
2024-01-08T20:30:00Z,16.710233
2024-01-08T20:45:00Z,16.918301
2024-01-08T21:00:00Z,17.142466
2024-01-08T21:15:00Z,17.381771
2024-01-08T21:30:00Z,17.635193
2024-01-08T21:45:00Z,17.901649
2024-01-08T22:00:00Z,18.180000
2024-01-08T22:15:00Z,18.469057
2024-01-08T22:30:00Z,18.767583
2024-01-08T22:45:00Z,19.074303
2024-01-08T23:00:00Z,19.387905
2024-01-08T23:15:00Z,19.707048
2024-01-08T23:30:00Z,20.030369
2024-01-08T23:45:00Z,20.356484
2024-01-09T00:00:00Z,20.684000
2024-01-09T00:15:00Z,21.011516
2024-01-09T00:30:00Z,21.337631
2024-01-09T00:45:00Z,21.660952
2024-01-09T01:00:00Z,21.980095
2024-01-09T01:15:00Z,22.293697
2024-01-09T01:30:00Z,22.600417
2024-01-09T01:45:00Z,22.898943
2024-01-09T02:00:00Z,23.188000
2024-01-09T02:15:00Z,23.466351
2024-01-09T02:30:00Z,23.732807
2024-01-09T02:45:00Z,23.986229
2024-01-09T03:00:00Z,24.225534
2024-01-09T03:15:00Z,24.449699
2024-01-09T03:30:00Z,24.657767
2024-01-09T03:45:00Z,24.848848
2024-01-09T04:00:00Z,25.022127
2024-01-09T04:15:00Z,25.176864
2024-01-09T04:30:00Z,25.312398
2024-01-09T04:45:00Z,25.428151
2024-01-09T05:00:00Z,25.523629
2024-01-09T05:15:00Z,25.598426
2024-01-09T05:30:00Z,25.652224
2024-01-09T05:45:00Z,25.684795
2024-01-09T06:00:00Z,25.696000
2024-01-09T06:15:00Z,25.685795
2024-01-09T06:30:00Z,25.654224
2024-01-09T06:45:00Z,25.601426
2024-01-09T07:00:00Z,25.527629
2024-01-09T07:15:00Z,25.433151
2024-01-09T07:30:00Z,25.318398
2024-01-09T07:45:00Z,25.183864
2024-01-09T08:00:00Z,25.030127
2024-01-09T08:15:00Z,24.857848
2024-01-09T08:30:00Z,24.667767
2024-01-09T08:45:00Z,24.460699
2024-01-09T09:00:00Z,24.237534
2024-01-09T09:15:00Z,23.999229
2024-01-09T09:30:00Z,23.746807
2024-01-09T09:45:00Z,23.481351
2024-01-09T10:00:00Z,23.204000
2024-01-09T10:15:00Z,22.915943
2024-01-09T10:30:00Z,22.618417
2024-01-09T10:45:00Z,22.312697
2024-01-09T11:00:00Z,22.000095
2024-01-09T11:15:00Z,21.681952
