observed_at,ambient_c,wind_kph,target
2025-03-01T00:00:00Z,11.843,7.793,10.366
2025-03-01T00:15:00Z,12.523,8.157,10.714
2025-03-01T00:30:00Z,12.401,7.958,10.530
2025-03-01T00:45:00Z,12.877,7.983,11.093
2025-03-01T01:00:00Z,13.349,7.830,11.458
2025-03-01T01:15:00Z,13.566,8.060,11.516
2025-03-01T01:30:00Z,14.124,7.653,12.264
2025-03-01T01:45:00Z,13.969,7.725,12.133
2025-03-01T02:00:00Z,14.346,8.023,12.367
2025-03-01T02:15:00Z,14.702,7.375,12.693
2025-03-01T02:30:00Z,14.827,7.308,12.576
2025-03-01T02:45:00Z,14.916,7.569,12.653
2025-03-01T03:00:00Z,15.252,7.844,13.137
2025-03-01T03:15:00Z,15.468,7.360,13.244
2025-03-01T03:30:00Z,15.708,7.644,13.163
2025-03-01T03:45:00Z,15.522,7.284,13.340
2025-03-01T04:00:00Z,16.168,7.299,13.840
2025-03-01T04:15:00Z,16.023,7.121,13.628
2025-03-01T04:30:00Z,16.115,7.203,13.653
2025-03-01T04:45:00Z,15.973,7.254,13.632
2025-03-01T05:00:00Z,15.859,6.434,13.204
2025-03-01T05:15:00Z,15.932,6.323,13.444
2025-03-01T05:30:00Z,15.970,6.561,13.632
2025-03-01T05:45:00Z,15.657,6.783,13.225
2025-03-01T06:00:00Z,15.864,6.672,13.377
2025-03-01T06:15:00Z,15.342,6.307,12.946
2025-03-01T06:30:00Z,15.369,6.473,13.118
2025-03-01T06:45:00Z,15.297,6.127,13.008
2025-03-01T07:00:00Z,14.736,5.590,12.531
2025-03-01T07:15:00Z,14.533,5.940,12.075
2025-03-01T07:30:00Z,14.560,5.501,12.121
2025-03-01T07:45:00Z,14.184,5.895,11.912
2025-03-01T08:00:00Z,13.939,5.286,11.608
2025-03-01T08:15:00Z,13.371,5.378,11.427
2025-03-01T08:30:00Z,13.276,5.101,11.119
2025-03-01T08:45:00Z,12.698,5.141,10.866
2025-03-01T09:00:00Z,12.632,5.044,10.643
2025-03-01T09:15:00Z,12.353,5.107,10.531
2025-03-01T09:30:00Z,11.942,4.943,10.244
2025-03-01T09:45:00Z,11.344,4.823,9.737
2025-03-01T10:00:00Z,11.418,4.841,9.702
2025-03-01T10:15:00Z,10.622,4.567,9.069
2025-03-01T10:30:00Z,10.451,4.426,8.914
2025-03-01T10:45:00Z,10.189,4.615,8.536
2025-03-01T11:00:00Z,10.278,4.566,8.617
2025-03-01T11:15:00Z,9.490,4.628,8.047
2025-03-01T11:30:00Z,9.305,4.418,8.042
2025-03-01T11:45:00Z,9.139,4.485,7.560
2025-03-01T12:00:00Z,8.910,4.088,7.557
2025-03-01T12:15:00Z,8.838,3.863,7.559
2025-03-01T12:30:00Z,8.786,3.710,7.519
2025-03-01T12:45:00Z,8.339,4.383,7.062
2025-03-01T13:00:00Z,8.397,4.118,7.320
