observed_at,ambient_c,wind_kph,target
2025-03-01T00:00:00Z,12.000,10.000,11.616
2025-03-01T00:15:00Z,12.589,9.991,12.623
2025-03-01T00:30:00Z,13.175,9.966,12.703
2025-03-01T00:45:00Z,13.756,9.923,13.520
2025-03-01T01:00:00Z,14.329,9.864,14.198
2025-03-01T01:15:00Z,14.893,9.788,13.954
2025-03-01T01:30:00Z,15.444,9.696,14.367
2025-03-01T01:45:00Z,15.981,9.587,14.983
2025-03-01T02:00:00Z,16.500,9.464,15.211
2025-03-01T02:15:00Z,17.000,9.326,15.536
2025-03-01T02:30:00Z,17.479,9.173,16.304
2025-03-01T02:45:00Z,17.934,9.007,16.885
2025-03-01T03:00:00Z,18.364,8.828,16.885
2025-03-01T03:15:00Z,18.767,8.637,17.454
2025-03-01T03:30:00Z,19.140,8.435,17.125
2025-03-01T03:45:00Z,19.483,8.222,17.755
2025-03-01T04:00:00Z,19.794,8.000,17.916
2025-03-01T04:15:00Z,20.072,7.769,18.184
2025-03-01T04:30:00Z,20.315,7.531,18.370
2025-03-01T04:45:00Z,20.522,7.286,17.815
2025-03-01T05:00:00Z,20.693,7.035,18.142
2025-03-01T05:15:00Z,20.827,6.780,18.703
2025-03-01T05:30:00Z,20.923,6.522,18.493
2025-03-01T05:45:00Z,20.981,6.262,18.031
2025-03-01T06:00:00Z,21.000,6.000,18.073
2025-03-01T06:15:00Z,20.981,5.738,18.453
2025-03-01T06:30:00Z,20.923,5.478,18.347
2025-03-01T06:45:00Z,20.827,5.220,17.765
2025-03-01T07:00:00Z,20.693,4.965,17.966
2025-03-01T07:15:00Z,20.522,4.714,17.763
2025-03-01T07:30:00Z,20.315,4.469,17.742
2025-03-01T07:45:00Z,20.072,4.231,17.461
2025-03-01T08:00:00Z,19.794,4.000,17.180
2025-03-01T08:15:00Z,19.483,3.778,16.214
2025-03-01T08:30:00Z,19.140,3.565,16.082
2025-03-01T08:45:00Z,18.767,3.363,16.230
2025-03-01T09:00:00Z,18.364,3.172,15.836
2025-03-01T09:15:00Z,17.934,2.993,15.336
2025-03-01T09:30:00Z,17.479,2.827,14.754
2025-03-01T09:45:00Z,17.000,2.674,14.632
2025-03-01T10:00:00Z,16.500,2.536,13.456
2025-03-01T10:15:00Z,15.981,2.413,13.027
2025-03-01T10:30:00Z,15.444,2.304,12.626
2025-03-01T10:45:00Z,14.893,2.212,12.324
2025-03-01T11:00:00Z,14.329,2.136,12.350
2025-03-01T11:15:00Z,13.756,2.077,11.520
2025-03-01T11:30:00Z,13.175,2.034,10.616
2025-03-01T11:45:00Z,12.589,2.009,10.319
2025-03-01T12:00:00Z,12.000,2.000,10.194
2025-03-01T12:15:00Z,11.411,2.009,10.077
2025-03-01T12:30:00Z,10.825,2.034,8.992
2025-03-01T12:45:00Z,10.244,2.077,9.153
2025-03-01T13:00:00Z,9.671,2.136,8.252
2025-03-01T13:15:00Z,9.107,2.212,7.785
2025-03-01T13:30:00Z,8.556,2.304,7.176
2025-03-01T13:45:00Z,8.019,2.413,7.323
2025-03-01T14:00:00Z,7.500,2.536,6.581
2025-03-01T14:15:00Z,7.000,2.674,6.454
2025-03-01T14:30:00Z,6.521,2.827,5.964
2025-03-01T14:45:00Z,6.066,2.993,5.208
2025-03-01T15:00:00Z,5.636,3.172,5.016
2025-03-01T15:15:00Z,5.233,3.363,4.893
2025-03-01T15:30:00Z,4.860,3.565,4.393
2025-03-01T15:45:00Z,4.517,3.778,4.601
2025-03-01T16:00:00Z,4.206,4.000,4.093
2025-03-01T16:15:00Z,3.928,4.231,4.506
2025-03-01T16:30:00Z,3.685,4.469,4.427
2025-03-01T16:45:00Z,3.478,4.714,3.467
2025-03-01T17:00:00Z,3.307,4.965,4.193
2025-03-01T17:15:00Z,3.173,5.220,3.365
2025-03-01T17:30:00Z,3.077,5.478,3.352
2025-03-01T17:45:00Z,3.019,5.738,3.827
2025-03-01T18:00:00Z,3.000,6.000,3.548
2025-03-01T18:15:00Z,3.019,6.262,4.382
2025-03-01T18:30:00Z,3.077,6.522,3.947
2025-03-01T18:45:00Z,3.173,6.780,4.573
2025-03-01T19:00:00Z,3.307,7.035,4.709
2025-03-01T19:15:00Z,3.478,7.286,4.967
2025-03-01T19:30:00Z,3.685,7.531,4.581
2025-03-01T19:45:00Z,3.928,7.769,5.268
2025-03-01T20:00:00Z,4.206,8.000,5.491
2025-03-01T20:15:00Z,4.517,8.222,5.926
2025-03-01T20:30:00Z,4.860,8.435,5.567
2025-03-01T20:45:00Z,5.233,8.637,6.626
2025-03-01T21:00:00Z,5.636,8.828,6.591
2025-03-01T21:15:00Z,6.066,9.007,7.169
2025-03-01T21:30:00Z,6.521,9.173,7.524
2025-03-01T21:45:00Z,7.000,9.326,7.519
2025-03-01T22:00:00Z,7.500,9.464,8.374
2025-03-01T22:15:00Z,8.019,9.587,8.833
2025-03-01T22:30:00Z,8.556,9.696,9.083
2025-03-01T22:45:00Z,9.107,9.788,9.955
2025-03-01T23:00:00Z,9.671,9.864,10.473
2025-03-01T23:15:00Z,10.244,9.923,10.978
2025-03-01T23:30:00Z,10.825,9.966,11.185
2025-03-01T23:45:00Z,11.411,9.991,11.924
2025-03-02T00:00:00Z,12.000,10.000,12.049
2025-03-02T00:15:00Z,12.589,9.991,12.262
2025-03-02T00:30:00Z,13.175,9.966,13.516
2025-03-02T00:45:00Z,13.756,9.923,13.959
2025-03-02T01:00:00Z,14.329,9.864,14.036
2025-03-02T01:15:00Z,14.893,9.788,14.489
2025-03-02T01:30:00Z,15.444,9.696,14.690
2025-03-02T01:45:00Z,15.981,9.587,15.208
2025-03-02T02:00:00Z,16.500,9.464,16.026
2025-03-02T02:15:00Z,17.000,9.326,16.021
2025-03-02T02:30:00Z,17.479,9.173,16.149
