observed_at,ambient_c,wind_kph,target
2025-03-02T00:00:00Z,16.245,7.933,13.672
2025-03-02T00:15:00Z,15.800,7.405,13.497
2025-03-02T00:30:00Z,15.632,7.494,13.127
2025-03-02T00:45:00Z,15.633,7.590,13.460
2025-03-02T01:00:00Z,15.497,7.780,12.978
2025-03-02T01:15:00Z,15.437,8.118,13.286
2025-03-02T01:30:00Z,15.410,7.555,13.072
2025-03-02T01:45:00Z,15.217,7.865,12.837
2025-03-02T02:00:00Z,14.623,7.967,12.430
2025-03-02T02:15:00Z,14.263,8.369,12.153
2025-03-02T02:30:00Z,13.981,8.158,12.027
2025-03-02T02:45:00Z,14.133,7.938,12.052
2025-03-02T03:00:00Z,13.763,7.669,11.672
2025-03-02T03:15:00Z,13.622,8.354,11.903
2025-03-02T03:30:00Z,13.126,8.293,11.517
2025-03-02T03:45:00Z,12.549,8.250,10.728
2025-03-02T04:00:00Z,12.382,7.533,10.700
2025-03-02T04:15:00Z,12.130,7.541,10.549
2025-03-02T04:30:00Z,11.484,7.965,9.810
2025-03-02T04:45:00Z,11.160,7.780,9.878
2025-03-02T05:00:00Z,11.182,7.496,9.643
2025-03-02T05:15:00Z,10.505,7.581,9.275
2025-03-02T05:30:00Z,10.370,7.437,9.043
2025-03-02T05:45:00Z,10.008,7.623,8.619
2025-03-02T06:00:00Z,9.597,7.604,8.589
2025-03-02T06:15:00Z,9.458,7.150,8.134
2025-03-02T06:30:00Z,9.510,7.323,8.258
2025-03-02T06:45:00Z,8.995,7.153,8.024
2025-03-02T07:00:00Z,8.611,6.701,7.709
2025-03-02T07:15:00Z,8.466,6.919,7.621
2025-03-02T07:30:00Z,8.226,7.231,7.350
2025-03-02T07:45:00Z,8.205,7.138,7.097
2025-03-02T08:00:00Z,8.222,6.823,7.292
2025-03-02T08:15:00Z,8.369,6.919,7.502
2025-03-02T08:30:00Z,8.236,6.235,7.265
2025-03-02T08:45:00Z,8.224,6.525,7.277
2025-03-02T09:00:00Z,8.103,5.899,7.164
2025-03-02T09:15:00Z,8.132,6.045,7.175
2025-03-02T09:30:00Z,7.935,5.964,6.823
2025-03-02T09:45:00Z,8.337,6.050,7.320
2025-03-02T10:00:00Z,8.166,5.435,7.247
2025-03-02T10:15:00Z,8.501,5.397,7.153
2025-03-02T10:30:00Z,8.701,5.714,7.535
2025-03-02T10:45:00Z,8.407,5.575,7.463
2025-03-02T11:00:00Z,8.770,5.580,7.541
2025-03-02T11:15:00Z,8.812,5.363,7.656
2025-03-02T11:30:00Z,9.428,5.184,7.890
2025-03-02T11:45:00Z,9.700,4.977,8.346
2025-03-02T12:00:00Z,9.734,5.003,8.411
2025-03-02T12:15:00Z,10.250,4.540,8.629
2025-03-02T12:30:00Z,10.243,4.573,8.805
2025-03-02T12:45:00Z,10.731,4.673,8.915
2025-03-02T13:00:00Z,10.793,4.448,9.262
2025-03-02T13:15:00Z,11.170,4.031,9.233
2025-03-02T13:30:00Z,11.763,4.188,10.027
2025-03-02T13:45:00Z,11.843,4.285,9.906
2025-03-02T14:00:00Z,12.495,4.042,10.305
2025-03-02T14:15:00Z,12.722,3.946,10.452
2025-03-02T14:30:00Z,12.837,3.811,10.525
2025-03-02T14:45:00Z,13.244,3.815,11.145
2025-03-02T15:00:00Z,13.749,3.989,11.459
2025-03-02T15:15:00Z,13.967,3.697,11.710
2025-03-02T15:30:00Z,14.149,4.318,11.667
2025-03-02T15:45:00Z,14.705,4.089,12.196
2025-03-02T16:00:00Z,15.015,3.629,12.452
2025-03-02T16:15:00Z,14.794,4.160,12.291
2025-03-02T16:30:00Z,15.091,4.009,12.531
2025-03-02T16:45:00Z,15.274,3.675,12.598
2025-03-02T17:00:00Z,15.637,4.354,12.980
2025-03-02T17:15:00Z,15.954,4.402,13.289
2025-03-02T17:30:00Z,15.661,3.985,12.920
2025-03-02T17:45:00Z,15.892,4.327,13.204
2025-03-02T18:00:00Z,15.835,4.363,13.147
2025-03-02T18:15:00Z,16.239,4.289,13.268
2025-03-02T18:30:00Z,15.967,4.181,13.278
2025-03-02T18:45:00Z,15.817,4.326,13.170
2025-03-02T19:00:00Z,15.674,4.687,13.010
2025-03-02T19:15:00Z,15.578,4.275,12.692
2025-03-02T19:30:00Z,15.846,4.694,13.105
2025-03-02T19:45:00Z,15.379,4.453,12.751
2025-03-02T20:00:00Z,15.726,5.190,13.034
2025-03-02T20:15:00Z,15.260,4.907,12.576
2025-03-02T20:30:00Z,14.971,5.343,12.440
2025-03-02T20:45:00Z,14.992,4.755,12.451
2025-03-02T21:00:00Z,14.800,5.173,12.480
2025-03-02T21:15:00Z,14.378,5.002,11.983
2025-03-02T21:30:00Z,13.799,5.430,11.687
2025-03-02T21:45:00Z,13.623,5.448,11.451
2025-03-02T22:00:00Z,13.498,5.298,11.511
2025-03-02T22:15:00Z,13.035,5.666,10.860
2025-03-02T22:30:00Z,13.029,6.083,10.917
2025-03-02T22:45:00Z,12.626,6.025,10.874
2025-03-02T23:00:00Z,12.217,6.450,10.604
2025-03-02T23:15:00Z,11.947,6.477,10.081
2025-03-02T23:30:00Z,11.796,6.467,10.027
2025-03-02T23:45:00Z,10.921,6.722,9.413
